id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
fea0b4c18673aa3b0bb91ab059aa34393784b419,-1,-1,-1,-1,-1,-1,-1,0.000
6a491d26531c9680ca55c77449ec8ff01c4ed38a,-1,-1,-1,-1,-1,-1,-1,0.000
d22cb59e8b1707cf6fe5923de4c8567f0510fe08,1677,317,242,129,35,2182,1473,0.000
3218e8193589908547be9167a073d3c5debac9de,257,61,60,56,3,215,37,0.001
b0955502341a59bca6b7b7194144458251054a41,342,102,166,103,1,4,783,0.001
65fbac166fe80db0b0c5c2135d29e110ddf343b3,211,-2,193,20,2,187,67,0.001
567d8b6151d9170a04ac3bbe15f2ef686272fa84,362,31,158,35,1,10,1,0.001
a6dabbdce1a2c13cd27588e2a2eb1616638c52f4,202,36,52,33,0,0,77,0.001
d1144e311c02fcb4a7372f55ca6ca8d84e9e26a8,-1,-1,-1,-1,-1,-1,-1,0.001
69a9a4a1dd3f5b40e60930e60092c5c80b3b2a1a,398,14,260,12,0,0,168,0.001
002285c116a1ba24be3fbe5a8bf158c023418b56,156,4,129,5,0,0,103,0.001
93a2372a0c8f476231902a5bf7f0a9837b81aeac,-1,-1,-1,-1,-1,-1,-1,0.001
c4294b1d0681ddbc0f58672bac2d4ba629f6979a,355,18,113,23,36,2647,1651,0.001
c3d4a9632bdaf066e0094108afd62c32a67e7651,105,29,126,28,0,0,14211,0.002
d50324d5d17a9ea9831f1033d235d0a33cf72f10,1213,168,6011,168,4,153,1514,0.002
b7802b1949fb5422075e0282d606b1c81a4ef2e6,-1,-1,-1,-1,-1,-1,-1,0.002
2c4f15aa75a4aac84dbbec4909f626e78b931947,-1,-1,-1,-1,-1,-1,-1,0.002
93cb83f1c829f5fe7d235839407819c4465648cd,79,13,53,13,4,4,0,0.002
59c8ea7cab0b249de183b0a4b2cc31b9d7130576,682,183,546,213,0,0,2112,0.002
72c63c56da83f76ad927eb0c8120f14c43dbb01b,93,32,104,37,4,36,708,0.002
cacb026f80fcba5a317be1d63ea145872bdb6a39,1207,27,51,26,0,0,141,0.002
ab9f5bc9d2e585da58463909527b63649d0258c7,673,58,307,60,14,486,1113,0.002
a061aca556a527adab0b7b81bd02bfbf3eeae232,78,9,13,9,9,273,435,0.003
8095d0e1969a6ae1e7e9a693a9596b8d7c92a721,-1,-1,-1,-1,-1,-1,-1,0.003
f333cbe782645c29dcb7cc695977e38e10933bfa,2402,139,656,148,9,247,389,0.003
c7e02facdc9325d0b04614f23dc0ff66ec758a1c,-1,-1,-1,-1,-1,-1,-1,0.004
e69bcf1669a52079528c607100dd3951079c7982,98,2,39,2,0,0,377,0.004
e8cacb59063746363a537ba76e56acea490ae302,451,154,119,80,5,308,794,0.004
f05f9457bc5ea1a743e3f66891512194154be722,249,1000,211,93,67,3343,939,0.005
2d1bd824c7fa0a6c89f6fc21827d73c18f59a2a3,189,26,104,26,2,25,1728,0.005
99707e8c23079ba0e120b67634b1d38f3be029b1,582,74,175,76,1,1,89,0.005
20a15cd438fcfadcf09385d504e09bde9999b811,289,43,246,49,2,165,322,0.006
ddd830cfe49413bfdbdc95fb2bbfda6a510a8f51,248,80,126,76,0,0,1,0.006
fd0d854124ce2f41c83a59b2ff69765552d05873,193,10,44,12,0,0,255,0.006
2d4e469eea9326f1b1ca2a180c38bcf33926ec60,149,76,326,73,0,0,212,0.006
a55015052dafc5ee8730b9a90bdcc67d8813b7aa,105,75,33,56,4,44,66,0.006
0ad5772bd90d201c173059c1a72c033aee306888,195,14,85,16,0,0,13,0.007
3b0336f35c035d12462c154731d49162fc73e81b,-1,-1,-1,-1,-1,-1,-1,0.007
1fb28ec44f21342fc2471a1a82bfd1d7f720bf28,186,6,84,7,0,0,170,0.007
64af0affac51d8484f776780a2164164ba3a340a,540,49,466,48,0,0,342,0.007
b450cfad075a8e9406e84b034dcb8b8bde4bfd04,157,71,67,68,27,1913,988,0.008
2b3108d09e9fa3a7f16b00f920d4f5aafe7cf9c8,-1,-1,-1,-1,-1,-1,-1,0.009
b771d942aee3c1fa43c2b14994ef66626b0be486,466,202,234,192,0,0,885,0.009
4a64d7fb74d16f9470538ef923b9a5a69227bbe1,-1,27,44,26,0,0,0,0.009
9851e8ebb64fc325be57d339c974dc1d8a079d3f,447,28,374,27,6,171,448,0.009
d271efbc319e1dd5bf47df81da047ed1eff91a00,303,33,187,32,0,0,5522,0.010
5392dc198b93003d200e6d1da76ef7b0cc1511b5,355,121,164,126,0,0,422,0.010
45130ab3f59c91de9a6ef6492f32fc99bbd8ff64,-1,-1,-1,-1,-1,-1,-1,0.010
49fe598b19cf46bfb606b082bd8a79662e2f0373,113,28,55,26,6,74,667,0.011
af96823d60c5dbbb4887da7fad170d46e012af1d,-1,-1,-1,-1,-1,-1,-1,0.012
afc918cd0e3a4a95a004abd6e25b94ff637f59d0,209,37,369,38,3,94,2445,0.013
76220a328968cf98634ee523c329b20908c1ecfc,-1,-1,-1,-1,-1,-1,-1,0.013
1bd83f9dde132dae74b4fa2638adb45f6b063389,438,434,168,411,6,28,3232,0.013
ed692b65709b3c16a56c4ed012d3c250ae5e59b7,44,24,60,4,0,0,99,0.014
a32fb5d2188aacc00fefbf9ec8af3e41f483f31c,155,38,210,39,0,0,372,0.020
81bedb2a9afe5625f6cc1023aabbbee756a140fa,215,67,46,61,0,0,14,0.021
ca9bd58cb2721b80d771c327a8062dd81685e58a,394,154,130,116,4,54,670,0.026
bf9061e4bd94454ce25617d051704ec225761cef,1397,312,694,341,19,614,898,0.027
f6e5253a9764e3d8c5d95ad6902d4c44d8a743ca,136,8,52,10,3,7,54,0.027
4fbed29f189d8e91945aa2aaa4327c01fa1483a7,-1,-1,-1,-1,-1,-1,-1,0.028
834613b610289a50bc62bd590cd02aa0d775c971,336,153,60,46,14,493,2490,0.028
1ee1e6c975f247b0a0b39a1cfc7174022f7d7ffc,128,4,217,4,0,0,242,0.031
c1d2212e7b1cfea2b6fd7ca2e3fcb6e9c83e684f,182,50,81,49,3,63,139,0.033
df34dc4f14df3a6f36c5c03f631be9679df77cca,651,473,213,562,25,1161,9707,0.034
55592d7b1b1fd3c1b528a536684dc3e22805fc98,174,27,103,34,0,0,11,0.035
d88e8d4ebb8e4ca74eccf329d4afbeb4b5122f61,-1,-1,-1,-1,-1,-1,-1,0.037
ba83168fc7fa0f5d8873f13dc16cdcc890365920,671,88,0,80,2,130,73,0.040
8b5fc4cf0c5568a0aeeb5e46311f939e4d752b93,164,15,127,16,0,0,10,0.044
7778eb152d2697c4ee436eea88e02bea924bf7e2,-1,-1,-1,-1,-1,-1,-1,0.044
177912cc5604c332a5b9a121fd47d604fcff216c,9658,0,2355,12,1,6692,1563,0.053
cb292758c9f37ac4c999f71493b5a0086b61c71a,-1,-1,-1,-1,-1,-1,-1,0.061
f81b668944078d4cc3535315b5f1454fbe75e9a2,-1,-1,-1,-1,-1,-1,-1,0.063
0c2a447c715ebad9d2a3a76a9b974e3cdc15d9c1,871,10,111,10,14,867,629,0.068
42ad967de1baa7d8158b7d413548d873e29dbf44,254,58,384,57,0,0,752,0.074
3b9a9913de6d5994c230c1c2025f19d453f01b32,115,50,124,46,0,0,281,0.076
0976950e914f2489a03742d4f6e4aacf16d5cc66,169,31,78,32,0,0,1400,0.081
77a966a5fbfe2ac9056155db680fd5ce5938f225,172,215,112,146,0,0,0,0.105
e21e8b5c6842f1ecd9538c7292174f1a13f89ba0,136,78,100,31,0,0,231,0.131
e4882e0f8a18f348cf89b66828793f2695bb4f0f,-1,-1,-1,-1,-1,-1,-1,0.144
48b230e4f27d1f32a53920b00ca1913b3c7c1caa,1,0,1,0,0,0,0,0.149
f2a96005d0103061f3ac74f1de3b281b8961d534,165,51,245,48,1,75,192,0.152
c6407e2c19b392fcab846c90b60f1f3ea1c606d9,69,22,47,21,0,0,6,0.153
cb8003a8039af101a7458a8cb6388f7d232783c1,21,1,13,1,0,0,4,0.166
ed593d2480dcc3320af205a0c4e22a34da57ab26,191,132,400,126,0,0,358,0.166
b8b35770e061352d17946dc0b1fd9f0cc6a6d14a,80,85,13,32,1,2,60,0.171
fdd699cd56b1b47e55e6dcd7b06682e84b633fc3,87,93,155,88,0,0,1375,0.246
af6b523c4927d5f4676c8d5c48a29fe2a31932b4,-1,-1,-1,-1,-1,-1,-1,0.256
c238f60284087edfa08213099b8b540d254b9fda,485,115,492,31,3,97,64,0.261
ae995729ab1ed55cf69d7a58ff622f3bf86d7701,0,22,19,19,4,0,42,0.316
e743bfc5945403a9d8eac08e2283a93b35968704,133,35,87,35,0,0,11,0.431
6fad74749d135a452228545aec62c9c04bf80863,-1,-1,-1,-1,-1,-1,-1,0.879
