id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
778a30115bd5c14271b40f2fe183385811b3f8dd,414,34,1396,36,0,0,1852,0.000
14eabe412fa6673ab4f73d40a0925599c28f2b38,1093,707,1047,144,202,24097,2578,0.000
552069eed615b3f8174a8d53d89fdecf5c154e39,2364,2147,8052,2211,17,751,4750,0.000
b7ceb45674a4d7360c4714fcd2979e620e9ba2a0,-1,-1,-1,-1,-1,-1,-1,0.000
a36f0372009b2fc4cdbbb55dc4d096895ad7edbd,-1,-1,-1,-1,-1,-1,-1,0.000
8ba4efc1a57cf17bec4f1a33e26fb5fdde84ba9f,1196,586,384,360,2,250,898,0.000
4332140d182a14a5c1a208a5a6921fc274ab9406,411,45,1803,44,1,12,241,0.000
dc6673e07a123492c7e79530ce93847f5cc70403,2290,112,1878,106,19,1322,871,0.000
c8f77261b0721079b83c15e573f2b4bf1505e9ed,-1,-1,-1,-1,-1,-1,-1,0.000
85ae8d3a0e80996d416081e72faf0f683f209878,5389,124,5493,153,6,118,2818,0.000
0498221aaa9f1ba24ca32034b1e8afc78188803e,5612,688,2649,1196,0,0,6107,0.000
f76a24345c940e3bd5874c4643628d467d15a3a9,2058,97,898,156,2,0,1037,0.000
64d232bacdbd822cfce949d4c96595db064bb41b,-1,-1,-1,-1,-1,-1,-1,0.000
824d3d4d1b92303d37876bacd93753730fbc2f11,6466,269,3537,1381,1,49,146,0.000
bcf8d01f321ebaaeabaa010debe12027137cecac,298,67,208,68,2,131,275,0.000
eda73d5fe87120edc74c05383a9d65e33ee5f230,1687,601,2378,810,2,130,1383,0.000
c6db789063b9b596733b3ef02f5ff08bba082ab1,1998,351,1201,475,0,0,957,0.000
3979abde61c2f41a1fe77e5d7a05627f5def244d,7401,24,2936,35,0,0,60,0.000
105c7922670affb1068cadf89cc82aa9a3279c57,6187,227,1690,983,16,1903,1413,0.000
2892387902b20961daf4ed0c6bc78460fb371f25,4480,363,1873,409,1,23,4034,0.000
1444636414feae48f18d8ad658b41cc56a47cd4b,1517,369,583,362,0,0,6336,0.000
cf7a3547ee10254866dd76cf7a832605a9da3369,3127,47,393,1131,2,37,480,0.000
03e195bed5faaf61bc43cb1b9063614260cc9bc7,1213,572,3518,577,8,336,658,0.000
df20fce0150aea83118da8903e91e59645ffb3b9,2148,471,2773,536,36,8021,6491,0.000
a4290c1c0e5c2ceb800563ce6e8019b672b36b26,3400,94,5641,83,1,0,1561,0.000
d9bb3b9dd28ba8734b5bed3b01d5c281acae2660,-1,-1,-1,-1,-1,-1,-1,0.000
f6e9faefade68f77b98da1c4d0931ff3718cd4e3,1127,288,457,145,1,2,43,0.000
fdb83df36a1963f9b99dec9d246d6aef35b44a8a,-1,-1,-1,-1,-1,-1,-1,0.000
703f1f46dd1816c0114ff7d86eb657794608fc06,-1,-1,-1,-1,-1,-1,-1,0.000
51643ff9afe96955183a8206456a6f0756b3b620,2589,88,1091,417,2,57,870,0.000
f4111010dd67f4cddbefb30d976e06e462129918,6503,271,3270,325,79,11175,4372,0.000
bfeb2a5fb847b73e90a0240106a12de063aae567,721,55,203,81,23,1688,9497,0.000
7d45ba691e1ea6747b66161528d0b1eee4673354,310,8,150,7,5,71,307,0.000
cc9ad3479ca78aa8941c5759c5b911895b815e6a,523,355,446,65,30,1109,1228,0.000
0305ee1def6aa9ca170121e914dade0d37cc421d,1802,481,391,460,28,1452,4482,0.000
7ba8ba7572614dbe1870dc07276e37b487943266,7875,176,5505,340,72,4034,6738,0.000
4233b20764da2fe3b741fda9dd03d40435f05f79,2606,22,111,282,6,57,1264,0.000
f689ab8a7db2b4f6be8aab3cc78ea191d23e8c9c,3361,121,950,704,2,191,9305,0.000
7b9455d4d51212ebc54a9df809db1ff8a9b6a2d3,258,63,215,60,3,117,486,0.000
ead8bd239da596c55490b8c9d01a4313bfca66b8,1228,123,4910,159,4,77,646,0.000
4000d15f8b4d0feaa3dc2a8f057133d9fcec71eb,413,88,578,85,29,1958,1019,0.001
3dad2cdcb90645ac3f8c1627317a91c2cffc5d1a,219,26,107,27,2,102,797,0.001
50a88738dac4447f3a8d171842ccc46c0d6e0d29,361,325,391,320,0,0,883,0.001
91391112000d2b0f42b0b36b341cab299b8c80a2,6004,21,13757,20,27,894,6532,0.001
95090c20fe1d879bf33256c1e9ab2a35469427c0,4319,18,1949,18,0,0,1038,0.001
ba6e4550e771564de740651429049d681c8f78c8,3151,463,2029,548,2,110,2298,0.001
f39faa1827213ba4cddcce376085e0a5dbac7b9b,576,119,263,115,12,429,1296,0.001
869accba77a6c44e64e571d17fb0fb4b8796485c,-1,-1,-1,-1,-1,-1,-1,0.001
5b425ef2c3aa881f8125ac7ee8fd022b67af0fdf,2437,578,1797,721,3,13,5730,0.001
c6faaeae6b69ea99f07259a24349ef267002c45d,4035,739,8287,679,0,0,11349,0.001
0f34df741f9b18af2335143d3ae0148afb7bc061,-1,-1,-1,-1,-1,-1,-1,0.001
19c5864daf84ce08657a40ff9f3ec1f962d55dcd,1022,321,486,361,4,40,954,0.001
9db456969b8fe83cfb4c17a55a1e038708393414,3658,57,731,56,0,0,388,0.001
99bf99c6981d49f434d89c7905107615c321c6b8,357,77,337,83,0,0,343,0.001
6eaffe4ebdb7d4c657dc31e1c9a758bc106b0c85,-1,-1,-1,-1,-1,-1,-1,0.001
db81b27f3c7e88d712ee85a1cdf2e5858e1dfcaa,2764,276,376,474,0,0,3939,0.001
be1b3c866b65a15487c57b89c12540331d77a2e2,9273,445,4001,423,4,265,7104,0.001
7444378765a49cd6ac7ec9d0a5473b0d93debaba,2059,181,252,220,47,4459,352,0.001
929619d29e56f4686df2e014fc7ac18232cfcb64,-1,-1,-1,-1,-1,-1,-1,0.001
375cca015eee70f754e15120179ee2040c0053a5,1776,584,234,101,17,1256,1628,0.001
89fd93466620d59c7a8284e8fbbeb2762afd0fd2,2049,130,349,861,4,185,2297,0.001
b75c753ddb336b76973ed16404d3a62e33f65d38,264,70,176,74,0,0,141,0.001
fbdad484fb7347ad08a159bf61e1bd90fde5aa83,4842,457,2428,443,4,1533,169,0.001
394c4076444de137d1eb5cb1fe75cf13f97be6f8,2997,17,500,613,20,930,754,0.001
4c24707c88c4895cec75e9818aeb1eb27caac2cb,-1,-1,-1,-1,-1,-1,-1,0.001
