id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d31cbb338dd516d1804d478b97625996885dbce7,634,422,1763,110,3,60,2387,0.000
d6368566fb017266b8b206a6984e0f274784e72d,1099,17,199,18,0,0,568,0.000
476725fd67d3493ab5181d94b0ee3172f17ac57a,3027,440,790,416,1,1,9047,0.001
14021c809f2363f19c109a186191877c6ac01c0d,1237,428,143,476,0,0,608,0.001
c4f336c7350eb1b01fdb321c1862f0440f1d7c38,2000,126,1126,125,14,1538,11112,0.001
4af4988b5fa9eee7147d6a3255fe4e0596d1178d,1624,81,832,101,19,723,614,0.002
c89163e656e83c5c84b81607232e0b95da4a15d4,556,556,215,593,22,5391,12728,0.002
4bac2e9e7b7bb3b640928d55701ddf5b98db1adc,-1,-1,-1,-1,-1,-1,-1,0.003
a3290ade57044e72cea1859ce0f8f487d8712962,5095,295,63,106,4,40,955,0.003
0eb281a8946758e389d1ed3942d0f33a1c2d4051,3372,249,93,258,68,784,5064,0.004
fb8b1014f2a3111fbf3e9590a4003a8311fa4742,9998,87,3203,85,3,25,3458,0.004
a20aca1375001deaedfc86ac949c38ecd8547a27,1222,512,383,485,46,2430,5153,0.004
df80b9d51d6fc34436522c32dcb88d52ce8cf652,1431,98,233,203,0,0,942,0.005
f0376a7994908b176ce16070bbadf7eaa06d8087,473,52,200,50,0,0,142,0.007
bd851d90ecaa795850a1c9f09ca2ca800c698ea6,-1,-1,-1,-1,-1,-1,-1,0.008
57a4d640dc8abb85a68f99df76a6d8f8cbadc4bb,54,72,34,77,0,0,79,0.009
2fddc71c90fbc1f8c7ac7552444f57072a41d0bd,666,105,99,103,8,199,654,0.012
6f8b03962702873d78b267dbc288e4087a852931,9999,70,21188,69,0,0,2039,0.016
d0d97941223618d9ab7da60edaab2abd5c78d1a3,182,130,238,124,14,221,551,0.017
b1bad26d64730834989fc14fdbab997d3d3eb18d,643,45,108,44,0,0,392,0.022
3b0dd5a2c2f9e9cf1cfbe2b3da9678ad4d5811da,2094,81,2493,39,0,0,2488,0.032
4c37511b26c2c22c18a94e700f52aab50b3163ce,324,20,62,18,0,0,303,0.033
10dae1a6656b407b2e856c4802096da992cfa4ca,1501,395,412,208,12,2821,1101,0.038
d6c08d712f60502c75697abbae658624b452b3f4,1906,811,36,226,13,135,4158,0.041
988fdf7f33895266e2ec7b1ac167553684798b46,310,55,1881,57,0,0,1022,0.067
820b12f9a65974362d0c477e22a47a420fd91e48,-1,-1,-1,-1,-1,-1,-1,0.069
11de31801fa74e18e8bfd6b44dd454619c6cc58a,136,222,462,224,1,15,11,0.069
b6556307f3e3ef334495afefbb9dc858228bae24,1441,1000,119,510,3,420,1852,0.098
82016793583a591871b6f94fd80b077b9cef40bc,394,45,137,45,0,0,2,0.106
aaaf7802f0fd3003ef38b3d23c72b22dea54be2c,562,52,138,77,3,20,10554,0.108
29a6e2201a85c3dc56cefbf9e5d8ea967ed56ddc,541,469,283,329,2,26,775,0.108
0a35fa93d107495873356d19f4685f4eb53cd9c2,133,91,296,83,0,0,7,0.108
7594aa3aa742259632026fff25365e234a92e02c,730,141,49,133,22,10107,11644,0.115
12cd93c7757d5fa52c38b3081150deedcc7bd59e,5100,76,55,74,1,15,1534,0.126
bbacdbf0e0ced904bdb6922a7759fe55ba057f1b,143,13,38,16,0,0,287,0.140
18c114769400bae5bfca3c57ad5f6c5beb1e7a85,75,28,99,28,1,0,0,0.164
