id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0a98dbb0c18b64e57044ad94bc886c59f7d03114,193,6,433,6,3,162,251,0.000
cadbc1d95ed148992695ce19c0f9c2420a791520,691,1000,1726,239,45,1577,4551,0.000
02538b80a3002e4396fd13dc5c973392bcc9d536,1183,107,261,153,1,33,20,0.001
004f0035cc5a136521d622ac655b69e38448865a,537,23,162,23,3,28,690,0.003
92e606d9674d07c0b53947797e30605dbe0693b5,500,17,143,19,1,78,1035,0.003
3f854a1dd59a51b7612852ad8131e7a91b1ff721,1032,124,261,131,2,2,1836,0.003
6b65d40d00ce8b69cd76a17831b7ebb6d4bba1c1,1435,253,1082,242,2,11,3606,0.004
37a3b2271e31b27ac05cee0852755253679670e4,570,33,91,31,1,48,291,0.004
fd297d71e7147ba953d32af6fa8929ccd217b440,296,164,137,40,11,224,1335,0.004
f9244d031b2d4b0302961582097232cf2cd969a0,1487,853,772,67,36,1436,2519,0.004
9e32eb4d033ac9b5361faea4fad6eea9d8dea977,989,76,784,84,9,340,1152,0.004
3b110bd53035ed0019d4a4c27e1c96ae10fc478a,-1,-1,-1,-1,-1,-1,-1,0.006
36a183cf6084afebeac3f2d03360e4f908a89b70,747,42,1049,40,34,2042,1615,0.006
0052888a001d6c08bb953ace1afbbd59c6dae21f,145,80,65,85,0,0,239,0.006
387b8cd3718be061824faa9bdca75ea68f0df3c6,516,309,172,91,0,0,1952,0.007
b1ba7705628574f7ebbdb3c8d3bf7d6dcc4f3a0a,558,100,404,96,5,177,638,0.009
f81eb15bbda9aa4cca11087f674b1dc76ab38541,386,102,178,100,1,2,752,0.013
0f2a38721b0a19ef0a1403c99c94a73cd685590e,292,15,217,19,0,0,14,0.017
2570eed58d2189647e5fd8b66d8ac6d6baa37657,392,29,233,25,0,0,293,0.020
511cad9a5871c6029b49c915005db4c87620a402,54,4,3,6,0,0,28,0.022
d4ee496257b6fedb6b322dd9b6d0a8ce5e961a7a,805,94,268,92,2,41,828,0.022
6909d842b7c07e625b746d5a1f2d1683e2385b7e,204,42,84,39,0,0,195,0.024
bfb6a3db3cb4cfd5c9d8136711312a55299ccdca,889,289,258,110,0,0,556,0.026
9f7361ba06dd2e94d7375dacac41b32b315bd081,-1,-1,-1,-1,-1,-1,-1,0.027
a1e407e03ccc1cc88bd4bbffdc2ba58b14396c81,142,5,15,5,0,0,379,0.028
20b51386f2ebc4919eac1e76814cfe65c358a2ab,637,106,247,107,6,54,481,0.031
f5111c7263e272fabe816aedd679707eacb2b034,4687,31,99,34,7,278,582,0.033
3897deb381b3f889d007606df170ce526ee7f86b,-1,-1,-1,-1,-1,-1,-1,0.037
8bf7d72d7621de200e000e2ab6e41d98331501f8,1438,88,261,81,2,44,801,0.038
b3b62813889c77660c33c33e8a826ef6b04409fb,273,323,216,304,8,841,871,0.038
a4d078a5dddd9c2d2c3090a09866772a18001519,549,29,253,29,0,0,12,0.039
