id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
fcfbc85b9446162f04f2f5fc7288368c3af3bbaf,250,48,259,47,1,0,2,0.008
4406257aeba3caa4ee95b1bffd67c970041fbe92,-1,-1,-1,-1,-1,-1,-1,0.036
e427aed7be5fcbfcf3a5dc93a3bb866d413831ec,57,444,67,443,1,0,625,0.053
437b61ab3539eeb96d1a4b54f2152109847b33a3,178,132,422,119,2,0,238,0.070
38910f2f2b6fe969ed828c84e9fba51d2c3d4560,1506,106,52,108,2,24,3496,0.071
eaf012ed110329fe0297a0ebc0fbb7247bc0044c,-1,-1,-1,-1,-1,-1,-1,0.082
e0da1aa75eb6819f0890c0e83aed08ed83ff348f,-1,-1,-1,-1,-1,-1,-1,0.083
3f6df71694946ee87f5fef01bc2f1d13711803df,-1,-1,-1,-1,-1,-1,-1,0.084
6105100d92d8aa947cb747f6ad07150188ba9830,1658,91,199,142,1,0,33,0.095
988001fb81c76964e655f55ad0cf5adee3c9aa1f,326,524,247,555,6,0,1346,0.096
93cf3207beca5afa581ea5ce0487ef5cab317e7b,-1,-1,-1,-1,-1,-1,-1,0.102
102e557000b4c3d4099ca1df5633f4e04add0c0e,118,352,212,329,3,6,19,0.102
a5577a3e3caccce0b4c99daff4786f27095b68ba,306,293,61,265,27,1710,3812,0.107
88948de559c4e45ded82178132ea03a6c0650d06,174,22,107,21,1,1,58,0.117
7920a2cbd2e41e1ae3e1a0279c96814a1318ffb1,1855,341,166,723,0,0,1456,0.137
c4c0b27bf9acab90d53f87d0f70e21f363858dbb,162,175,159,166,1,14,16,0.141
d16b9881fef6aa3d5d2703ebc7fd3cca7440c831,54,50,25,37,3,28,488,0.147
b9854531baa4044c36575a9381655ad1b935242b,190,145,79,141,16,0,1670,0.201
27a9a02e1098c39611ae24755265faa8383c6f9a,544,0,112,3,0,0,11,0.205
4472e84bb4c89ff7fd07ac196ecb8383ed639945,261,135,139,100,3,0,0,0.207
b5387597e3cef7719c7cfcabf996ded7db540572,89,45,21,33,2,40,12,0.215
7b93b25fc85c36b190d4a52e301ec6cba93f0ac4,329,106,94,32,0,0,260,0.216
671014c3c4722653bfecb88632efbb38136d1eb0,276,111,126,112,0,0,30,0.222
bd4ad040ea6450e3a04a42ccfe9653b245934a55,83,13,50,13,1,1,10,0.229
6e1f9bd14fb8a79ed2ef393ef57d2f7fb7215dc1,27,16,74,18,0,0,23,0.231
16551fd0920cb2e37d75159a49377ca4620e78f6,-1,-1,-1,-1,-1,-1,-1,0.235
569e890509a14104c3a707c93c2ee7f9c3d4eaea,-1,-1,-1,-1,-1,-1,-1,0.236
7c190620054e06f6597d0f4ca17d8481d0c4b287,140,62,193,61,0,0,1,0.236
1152cd37a84c370d24b9c8404ffbaf1641a021ae,213,30,90,47,2,52,1034,0.239
6d1192d9db89b320d7043818f2ed58a3af417a7c,-1,-1,-1,-1,-1,-1,-1,0.247
4e5f03b808ae59fe8fff5fc4914a0beaf38826c1,-1,-1,-1,-1,-1,-1,-1,0.249
1446f536122afd2acf9367fc5538903873be9a65,430,392,12,373,11,0,0,0.251
64a4176e27a14682c0d1c134854ecee2b68f26ef,252,156,33,158,0,0,0,0.251
2d27b69301f19ea7b51103c23d33125247b003d3,129,95,522,87,1,0,76,0.253
7f73f9ae032e58d829682356eb7780b09130e5e1,6568,26,22430,105,0,0,2470,0.253
ea032026cb639ac66529de2b2f7712c64a784e99,-1,-1,-1,-1,-1,-1,-1,0.255
3894319552061bb22d6d006d7e93ddaae8e96af4,543,321,363,308,0,0,29,0.264
5ed580673685fd07a6091fcbc07a9bf3bc7a6b09,238,109,249,105,0,0,6,0.265
5b3a22b1f523f5479014afdfda4f282c85b8eb20,25,5,5,6,3,8,87,0.266
dc7ada00f6bcb17e4d37e06e58141b2d93a8b5c3,69,85,157,81,0,0,2,0.267
f028e3d1bfd5245bb06146727d4e14c1541abf51,65,27,35,14,16,26,857,0.271
072efb3be2470d87436d289c4eaa650290d009a0,86,108,28,85,1,0,109,0.271
dac84bbacac42495cf8c85bad0b79e2c4ce4ccf0,79,53,69,51,36,26,28,0.271
abd87a45e5c7675fea50b85dd6579c82c27bd715,307,101,84,93,0,0,0,0.271
91388d5c17322274f33e82a2092c42618e0ccfcb,565,188,488,181,0,0,387,0.271
d2714383727cf94e9cc5d8135a7c524f890333d7,1116,18,216,826,0,0,197,0.272
94997a8ea9421fc2766edf8347856935c4041781,187,266,337,253,0,0,142,0.273
ee1ed1b10f391b2d06ccf72ceb414f283c060414,186,65,91,49,0,0,1,0.275
4f97f4f9357f779586ab045198609d7688f71fed,80,82,169,80,0,0,46,0.275
f606dd3089fa320847c3d66ef92390d8f6161ad7,-1,-1,-1,-1,-1,-1,-1,0.279
9f1c595ba735f1bd7184e88d562a011bf34273e3,502,916,61,990,0,0,95,0.291
51d3df63b0ab4e70053bb322f1df8e4bcb5f2c5b,340,438,126,424,3,172,2488,0.293
fe352f9a1f1684f7f23a5500711803a0b2dc4044,-1,-1,-1,-1,-1,-1,-1,0.296
250929b89ab37ff2a07355bd60252ac00a9c9baf,-1,-1,-1,-1,-1,-1,-1,0.298
7b2b34085921fd9395f18951a9730b7aec8a3c93,196,1,4,6,0,0,12,0.307
1a3485e64ea9e2da40eab3a980345bd9d6f91f79,113,345,191,297,0,0,279,0.309
844a271e02768d6acda65a63480a87c476919ade,66,819,267,743,0,0,4,0.310
98b647fc97bba082e89a8fae118bf1d4452f9966,553,98,229,111,1,12,651,0.311
61a2154fe038fd104196837ca7effd388c4b5c23,79,119,82,109,3,8,40,0.318
f07c7d5f23391ba5979f16ff28add3906c65c296,117,63,107,61,0,0,6,0.321
f51c3edc5a5f25213fcf758444c515c68205a7b0,546,307,70,196,0,0,365,0.323
79814e0cef23982e93beb868d47680e3790ac486,-1,-1,-1,-1,-1,-1,-1,0.326
025724b5bc523f8b1fb18347860987ef74d0b598,166,49,39,48,1,0,15,0.327
c77fd89749ef294075bd77c1b10253abfd93db09,57,31,15,25,0,0,1,0.335
32a9874314a8690d304a94721578bfcee6c44683,1050,23,15,76,1,3,203,0.339
dc0fdd437089710e79971aea818cc586ce5086ff,184,113,206,107,0,0,10,0.345
b19524b8c411e9e84d26839dd4e86106ff4997f5,-1,-1,-1,-1,-1,-1,-1,0.347
3c1dd786696bfd53dd1a862f14fdbbe0c428bd5f,404,751,97,707,4,1,9,0.350
7f87f881bfb41466a135936c3ca33a319f2f8dba,223,91,51,128,1,0,174,0.356
8502bb36f7b49327c029da9350e5cb5123fb3d1e,217,175,165,202,2,0,33,0.362
9bf01c64db36a5f94400ec1dc874bf28ab178f1b,-1,-1,-1,-1,-1,-1,-1,0.366
5b114a70793b133799869e1f66236671c6fe0edc,411,114,129,115,1,0,923,0.366
14e399fea5fa333bf7fa733367b013fb9825981e,108,482,73,473,0,0,78,0.367
a92f260b2a3ee5fb391ddb333c888a0cf48cfe0c,44,8,7,8,0,0,16,0.368
6c2ddbeccb5e353a6dc1765f8117d7f087a1da0b,-1,-1,-1,-1,-1,-1,-1,0.371
83f6efacdbefc82ac4d1444b7682fb0864ef2422,285,1,1,8,0,0,43,0.374
1fe4479ef602475e0e2a2bc59ec8159a1b628237,-1,-1,-1,-1,-1,-1,-1,0.374
06fc6b5385566729c9c3f42bd3945712a1bd8c66,115,92,75,98,0,0,4,0.375
33076b916f3277f7cef83c8779434cc2a2e77a96,85,132,22,129,2,30,185,0.375
5d3f6f689a23a6d09119d6618a25dbe74d0670c8,1286,273,8,67,0,0,203,0.379
83a5fcadd72a201e6acc1c1df1db9da6aca93def,-1,-1,-1,-1,-1,-1,-1,0.380
c3e38fe66cb860e37136f44f9db5ba97f983a5a6,9978,142,4913,123,1,4397,1,0.383
dcb6e8a3735c2a32a9dbe43f74fab3a1da168fa4,151,161,130,159,0,0,112,0.389
f7c04c7e0dcc14d7827d77ea7dd8e50676c67f93,-1,-1,-1,-1,-1,-1,-1,0.404
ab5a6e1beded36a1cd35f7edd0534f38fc001939,241,94,39,89,1,10,23,0.420
2012bb15e369c16be4a92f51aaf69661c560a2e5,60,24,9,15,1,5,103,0.430
2075975a7682b5896c01c5aa5edd2ca81a71c331,390,210,36,131,2,4,31,0.430
d52a4eb6f421c655d66b395ed07966a9c73ba960,-1,-1,-1,-1,-1,-1,-1,0.435
b5174fe2a45317f9f90ab536d84290749061050b,639,30,110,69,0,0,27,0.447
0daf1d71979f703597c0c4b383bb230cf660b9be,129,70,110,68,1,1,146,0.448
e917d659c0599a289eaaef2c0b8ad0a7f36e0f11,30,27,17,11,8,31,147,0.450
e8829ac04fb2a1eb700e13ad018392f356510c7b,72,8,414,8,2,32,15,0.452
f25307da469742f261154e606fdd5213aa27e156,-1,-1,-1,-1,-1,-1,-1,0.454
e1af6168ff000668dadc8eb654c3f49a0f222863,-1,-1,-1,-1,-1,-1,-1,0.454
890ed5850c21f81978e7b7ab4e48d894a57faaaf,398,618,374,582,0,0,3144,0.455
9699432015ed80f52a34228db88ab935bd11ac18,419,252,110,249,0,0,73,0.462
4f1fb496cacdaf3808754af3c735473f0713a225,22,73,6,75,0,0,5,0.463
18c5f1a808eafb14613b2747d6e5db987064000e,207,93,169,88,4,0,14,0.464
b397a3fd26cd3e60bd2ef84b8faf368b1b3a2a62,849,302,4,647,0,0,1627,0.473
b12287249d11f29356d0426ea6d7476cb2115462,218,1000,39,935,5,25,7200,0.477
2b02e7026ea4562d139ee8743dd45486d3dcc33f,6671,849,931,1411,1,2,439,0.481
cf220210c9481d69d586db2756d13784c84157cc,-1,-1,-1,-1,-1,-1,-1,0.484
d84d847edf7a97e6ab4eaf51e5be4354a919b973,1039,365,38,446,17,61,855,0.492
a080fe1aa504c19bed0df389b174cbfc63c9bba3,-1,-1,-1,-1,-1,-1,-1,0.493
71257b7eddc4e79435b8a74899cf01a2a0a6b714,6752,370,10685,2125,2,29,9,0.497
98dc716c2a89c96790c92472c28f100fe97aa710,-1,-1,-1,-1,-1,-1,-1,0.503
cd7bb0734ba36e8ec5c2d6cca3e213f684144f62,-1,-1,-1,-1,-1,-1,-1,0.510
b78c938b5ca6c42c6b405d0033ee679b782fd787,238,147,53,108,1,0,36,0.512
788af26bd831ec2e3b2926c5bb0adcf757564dfc,-1,-1,-1,-1,-1,-1,-1,0.513
286611770ad9056354654d8317c3655807787fe0,291,97,296,90,0,0,4,0.520
a14ea21acfea6e6511e6085d8c2cc82d44e4c3ea,322,117,69,111,7,13,164,0.524
7b2dae8b03931b2744f448992ed25695d0945f2a,-1,-1,-1,-1,-1,-1,-1,0.524
8a39130d188a9be8bf0360bf85dc39f0836d2df4,130,13,17,12,0,0,9,0.524
ee62028b635fe16d36fb6972f594088ae54bf771,863,72,111,49,0,0,0,0.528
29563dac04abb1c7cac2c13e0c4e0451eb1896a6,84,126,59,105,0,0,0,0.530
29349bb28b6eca78f1ed940df2f29b776132bd8a,-1,-1,-1,-1,-1,-1,-1,0.534
5e8b077a2cfbfaa0e29842c7b2ab9b424e4dbc43,46,6,25,11,5,0,3,0.538
8df588e1741fdc7b5924a67e1afa20ebdd2f838a,147,112,97,134,0,0,37,0.543
ed8d8db5bc00b16bd0dbd51d5ad8d8f5f6eed56c,-1,-1,-1,-1,-1,-1,-1,0.545
d5b1832bddffd2f09ba2d0f5e97c00e0b75c56d3,944,542,26,663,1,8,2492,0.554
db0b154fa7cfefcae259bd49a9e651f72c2b87c1,1015,881,287,820,3,0,6,0.563
6c77a64a4b08b0472fa27a50e512f40f4b7510b0,4550,26,2778,18,0,0,4,0.564
