id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bca7fcfd85e783cd6c830e5214bed17279895563,-1,-1,-1,-1,-1,-1,-1,0.047
18589708510cd45b58a4672cee251b5a2eb5e9dd,96,64,35,64,6,38,2978,0.131
1d350c0611bfe743d8126fb36dd4732251fbc392,-1,-1,-1,-1,-1,-1,-1,0.200
4c17a1d9a62ff8c3bc8119402f3c030470a09d9c,-1,-1,-1,-1,-1,-1,-1,0.218
1c8074bf7b716706af43579531f98fa8be1fe64f,191,147,40,142,60,0,2,0.222
d5560ec901f5eaefa6d717b3642e54d70ff07587,95,73,78,72,0,0,9,0.226
ece7ecd0cc078d8346ca0af15cc6b5e5094892ae,93,25,88,19,0,0,875,0.250
f25f57bee8009adbe8d8819a7fd46d14935b0921,-1,-1,-1,-1,-1,-1,-1,0.255
6cc1eb1ccdc56492588e2da42364ab58cb2c0134,75,26,265,29,0,0,2386,0.288
1c25bc43584fd0c681533aee237c58d357ac1c9f,136,292,29,224,0,0,699,0.337
6cad01e441c9b86b7b4cd55f655ae92c601dc996,71,46,1535,45,0,0,28,0.370
572ef20b6e1a322da3d1bd800bc3b01e204cb144,397,127,506,113,0,0,2,0.371
08f8ffa1e4cb7d9b18758a8dea7d8cb3f6ea3df3,63,92,102,92,0,0,0,0.375
7ca9a0d50397a227c86dd9ef178793de076de2f8,37,288,4,272,0,0,1,0.410
c6b6d0edd4cc2a80a5cf2e86acebe060771f57b4,46,200,359,182,0,0,5,0.411
71d00a8c5711e7aff381030a469a7a7d2a61abad,114,22,22,22,3,0,17,0.426
7919e97effdf940f2e5e2bfb28d655648df19efa,99,400,136,397,0,0,19,0.439
fcbed01b72db94e0875d3aa399bcb0293e53ff23,57,65,0,63,0,0,0,0.446
73d7ae9320967002ace50e9792f2329725ad08ed,-1,-1,-1,-1,-1,-1,-1,0.475
809051e112ff3203287dd235bdc05773dd061845,-1,-1,-1,-1,-1,-1,-1,0.490
ac355ee634ba930ef88c200217f7aba42d3c35fb,170,49,34,35,1,33,1513,0.491
fcbbcfb6e2d05d18dc5d54c7b66b3034d23216e6,78,74,100,70,0,0,2,0.511
e1686744bec4cb330f8f24ae2ea1cd82332b1008,67,41,6,41,1,0,5,0.542
6c64f6b9d52f61e861fd30077cdd146b39e10c92,320,174,192,164,3,0,205,0.543
828634f2b5582aa9e721fd5a65ddb5d245c7c73a,92,193,140,189,0,0,17,0.568
7d71959710c5dfb2d835616fe739fa762384c2fd,-1,-1,-1,-1,-1,-1,-1,0.575
c292a6f5e3583b456c8603e9b5d1c5a5ef699c12,72,248,264,225,0,0,1,0.592
99bb37cf77e6c7079fbd2fc70dba4fe7fb24b907,187,57,68,41,2,0,12,0.664
799d93b1b7f77b05691cc3ab81fbf71e73280412,165,576,119,556,0,0,8,0.667
fb1de671f25c7cb1b2d60c908939f6cc0a2cadfb,10,20,9,20,0,0,1,0.668
f8c7a81bfb5b9d1f547fc2540fc4001b033d2c59,3740,20,19,164,1,0,257,0.688
90e7d42ecc7a9e9de268e1e8f55cfb86526c95e3,-1,-1,-1,-1,-1,-1,-1,0.703
056579fdc21a6cc7d0b8b02ad186bfa3f95e2b6a,-1,-1,-1,-1,-1,-1,-1,0.723
22d9e0745651b86b524312f06b28f0bf7f535d09,-1,-1,-1,-1,-1,-1,-1,0.739
03ddb85d5552de3561ebe0fc13ff77a178d9f886,116,298,82,293,3,1,10,0.762
dbd18fdfd29bbc23e4fa6c32a9fd6a9f378dec67,71,4,62,6,0,0,9,0.773
07c9d57acb00abe8f092df27ea144efc768e43e6,47,6,29,5,1,0,1,0.811
f4e096f63421fbe8d78bbc0ea2bef07b9b8ea620,43,15,38,15,0,0,1,0.835
0b41d493e67f907e3e4884cf14e35f155f27f663,51,13,1,13,0,0,1,0.866
713a17cadffaedbe5028fe9515ba0b8250a2ca27,8,3,10,3,0,0,9,0.907
975ae091e19210a2b4b8ab0058c0a802360b03f2,-1,-1,-1,-1,-1,-1,-1,0.912
