id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
17a605dd0f984ba58c112d05c5dd81d6b842d0d2,303,41,104,40,0,0,867,0.007
1c46bb409e730ec604e1aff080043034d5ef2268,130,66,79,65,1,0,910,0.008
7d142422b57697e234ca295bbebd6104fd7d6be9,112,17,99,17,0,0,16,0.020
56aea29ffb7b989923c0add9cfe6909bf6e042b7,150,36,91,34,1,4,906,0.031
01c6c3ee9448c3cceebe66c9dec4132f4bdd5800,-1,-1,-1,-1,-1,-1,-1,0.031
58cd8fd919dd4e3ec30afd2aab225b1e21d5aded,356,183,379,179,21,3582,2783,0.040
ed4abfcedb701b20aa40c3e3108da43a4177333b,406,106,550,101,11,378,1084,0.056
8990779d3906798e2950e29225f826eaf1f66b92,-1,-1,-1,-1,-1,-1,-1,0.066
8b24daf1b13c51438e3e00c30ba05a76d238268c,225,111,737,107,1,2,1165,0.073
dea9873c96f8f523a6a86038b1200fd825e074cc,323,77,292,74,0,0,601,0.079
98fa67d16a9d9a349996e9f10fe77616b2a763b0,54,2,10,0,0,0,46,0.092
f886a580c4c67af3576d68b988ddf9fcdddcd504,-1,-1,-1,-1,-1,-1,-1,0.108
c367da8424c0649169e1f561c40c987148db12c2,-1,-1,-1,-1,-1,-1,-1,0.112
39c34ac40e8f8539697d5b33f515258c345b8e45,171,34,31,27,1,0,3,0.113
7cc70e837777e9f0d6d1703e5ffb2a7241db6c30,44,12,119,12,10,349,6265,0.114
990a1e7c6924b1ccb8f7d49e3e4d78afe6ccd9b6,142,32,113,29,0,0,1,0.115
fce8a331614b1a105d5e00b04965ba46123a858d,3064,450,130,1404,4,59,3509,0.123
9351a6c783a92a0db92241449146cce45cf26b21,174,54,274,53,1,0,7,0.129
53da6de9c988b708605ed8a67aab5145432e4386,-1,-1,-1,-1,-1,-1,-1,0.144
295922b63b4c6908ebbb2e8819744677b9941d38,101,55,23,55,0,0,88,0.151
15aead33e0b1f2440917d125f6fe0cfb6d954c53,651,45,195,43,0,0,106,0.153
55b743de674d7b441f621e242bdda1b72c8e0550,131,46,53,18,0,0,545,0.154
719b3c9b2ca7c597a7236d6689a53be533edaeba,307,67,160,66,0,0,20,0.155
