id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
34ac3bbb54eca9bbdfd6cee27a9e6050a8223a11,78,25,382,24,1,9,20,0.021
5bb1789d7c4ca2033d4010919744d3f475438a7f,332,30,956,30,0,0,42,0.021
f42af7ed8ba6938aacc07bc47d667dc5fa8d8bdd,-1,-1,-1,-1,-1,-1,-1,0.031
fc24c825050ad163a7f0930efcf3ba74eef20627,349,104,274,97,1,1,9,0.071
3b1b22bec3608d31b4930bfb39e915a5370fdf82,182,98,31,96,1,5,23,0.094
59c0f4efd4934f067eba36f6a9263c69ed8c4d53,17,8,180,8,0,0,0,0.102
d84ac96ff7e8754c1cc8de58862e94e2ec287e57,127,91,120,88,0,0,61,0.113
0cc535110adcca7bf55b53f4723ffc0cd43deab1,281,91,295,120,0,0,4,0.132
6f5e6d807f067feb8bcccf41f019b4e1259f37ca,74,48,98,48,0,0,7,0.138
37706f0ac840a8ec070efe38e7325abfaf100266,86,43,167,39,0,0,6,0.146
c02c53e5be2075f5db5ac2d39a9f34990fcc7878,80,50,188,47,2,46,6,0.171
860d88e92472b9a0405f428527bb60af64380927,170,10,268,9,3,35,1227,0.178
c820edc537a52237099df374a51b74aeb2b7550d,200,360,155,355,0,0,13,0.223
9d98bd2a4fc87a6e5513aa36fc747df3d1cdf084,-1,-1,-1,-1,-1,-1,-1,0.223
f3ab0b05374846e733c3756041944a5779ddd654,409,463,249,439,1,0,6,0.225
f17ba9cffbc5ffcd0d7eb2d030e5020c7b964985,134,36,126,35,0,0,0,0.226
c014fc8492b2e76f036f25f605949001bd340079,95,59,168,54,0,0,4,0.233
196320e0457d438e3b358dfba4b3ce6dc3ccd2f7,53,42,2,33,1,25,3109,0.248
3e9b9563e8eaeea26db8ec42fed14acaa9f75ded,210,410,156,396,1,3,19,0.250
a5f348820f68b4886c706bcd079d18fb52050ef2,14,10,13,1,1,6,32,0.256
b05b1e3da8270ca8650c694ab80744ed5eb69f51,113,6,182,6,3,180,0,0.260
c5b80b30c121501563ea72c334e1c9bf9a735bcc,98,351,392,338,1,0,8,0.265
3a23acea666e978f4ac1a831afd644d285d6c9f2,23,25,12,26,6,11,129,0.266
40c57560986ec4a59fc0265a7bdf150726526417,224,96,262,88,0,0,50,0.272
36a153dce4ea1906f80fce531fc166d0269661af,184,495,328,425,3,34,28,0.282
6e4cfc8c95966b81abcbfe492c84d1ed35b2afbb,90,49,189,31,0,0,18,0.292
a022b9ba6f54eefa2f2b872f78a92320d80f9e3a,4,11,1,12,4,1,43,0.293
99c9534bebdd4ca103e9bf722224055f67d40b2f,87,262,94,248,0,0,2925,0.302
c42c8a0170e66a3df3239f502d07fdb676073d4c,375,88,63,87,1,0,113,0.308
0d1ccf1cad42c149a2adbc3f4e918cb1cfbe6baa,109,205,183,144,1,1,116,0.319
bf9baf383de1f91020fac2c10faffd539f332952,269,261,336,250,1,4,12,0.321
86c20bf0433d3eaa41e38efdbc14e021f2c8084a,110,99,110,97,1,1,2,0.335
d54f884fd3ced0597470afb4c9e50302dbac3f36,178,12,80,12,0,0,0,0.336
790e3d0b72424a3ab8c5edaa8f1368c134d44f4d,122,94,613,93,0,0,4,0.342
118b569b93ce9b6508ffcb105059b5bf23417755,642,88,201,39,0,0,768,0.343
787a07e8ed86a570720e34d7881312a368928b91,222,250,76,243,0,0,400,0.346
184339b7387135cc271ab654342a42dada431d28,177,395,248,329,1,0,1,0.356
e867760eebad67091d47fa05340312749b2011cc,91,47,52,45,0,0,1,0.358
54ebeed83ef2603972256aaae7a24ed8584e3f41,106,23,87,22,0,0,46,0.408
4e36c40cfb9ffd21162e548bf29e1e298a8ff554,163,124,83,123,0,0,3,0.423
2c4b2c4a1b4942b71567d7571cd7078da6de893b,-1,-1,-1,-1,-1,-1,-1,0.431
774630f17e5f9499056e0d03cad81f33d4f88180,216,165,210,163,0,0,234,0.433
0a7bb5d870e03ee4303f238769c8bb3cdb40bea3,92,143,37,138,0,0,2,0.434
91b735f89c1eee6a772f751c8957a6e4b7375829,138,154,96,160,1,0,18,0.437
3aa13f00a0537941a54eb1ef52a322a7eca87134,13,8,54,3,0,0,0,0.437
a3c917fe8d426bc03b1bcb74e88f92142ee93923,54,29,32,27,0,0,0,0.438
2bc6f9a5cbc9900319b1ab962e9f11db5346c8d0,18,0,4,1,0,0,89,0.442
70c403951d95af555daac39f86eabeacba74fbe0,-1,-1,-1,-1,-1,-1,-1,0.444
