id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bdc4a83c5ab41e908c2bc6704c5edead0fb82166,184,738,54,672,19,74,10495,0.247
c3e6f535ea57a788d5b3d8299580d3ca22e56a5d,58,103,44,123,4,20,442,0.269
6fd9323158499cf7a531768642960e4267a0d011,82,40,125,34,2,3,30,0.307
0edbc0b1a9e1e73fdab8552b336358af63550543,16,31,10,37,5,6,144,0.314
aa8f3abf7b9601fd6315ccef1115334b483162e9,18,38,0,35,1,4,15,0.316
71e623f6ff506121d287dc77c6b60b02841208b5,107,259,571,508,0,0,6330,0.443
643dea9cb97461bcc4312464f982bb65df1e4c00,131,69,44,123,0,0,8,0.476
0a7c1a56732712c3e4c173f90f522844b2a1f4a0,439,530,181,575,10,84,700,0.496
4d6f93acf45e9e8d1342654a30a4066785b7353e,31,45,31,53,4,0,98,0.544
9550b4dd78b71636505928562e44532f10bb21c9,142,81,152,78,1,0,1,0.574
9883eede8c16a2356ae5ba8c2cdcef39a0a615eb,109,54,0,54,29,776,137,0.626
f64c02c22b5eca75b71263b7855de44acec9a057,32,2,14,2,0,0,1,0.641
130bce4fc933cabce95adf49e9697e5779a71a13,-1,-1,-1,-1,-1,-1,-1,0.828
8185687e45e18d63b560873b96b0ca4dd77f2eab,9,27,0,27,1,1,7,0.884
23fef5bc51f6b7b1c1925dcd1e8d1cd939f658cb,-1,-1,-1,-1,-1,-1,-1,0.903
afc30c5df550a2686c03d4adad5d791bef4b9dd9,99,79,29,76,1,1,29,0.904
