id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6296b1a6315afb559979c05e0c498732c447b91f,101,64,295,63,0,0,13,0.023
2b47369f5872b335cc70ab10edc84eec6368ede2,309,148,112,156,3,21,1008,0.040
5579086a5326858491fad04c40d9fc48d057e0cf,92,69,159,81,1,0,2,0.041
db1f45e9e43625e13b3bdc2c759176de2e25eca9,126,64,12,57,1,0,296,0.044
07f619233fbf0ae59f5caf75b352f7f84d03e253,137,134,66,128,0,0,19,0.098
63683fac3e9772d6ab92dc9244b7a4f7867752d6,-1,-1,-1,-1,-1,-1,-1,0.099
62076d5e88f9288b8041ac337ff320f89b709dbf,153,62,177,60,0,0,19,0.107
d239e62a3077f149a4e41b33530225ba1e98b3fb,193,104,281,96,1,1,2,0.143
2ee838df4fb5e1a3e9825722ef948aba8d62c4b1,104,1,72,1,0,0,2,0.160
5672b6f0311bcd2067894031c708c6a4e5bbe179,196,117,166,118,0,0,275,0.162
c109fa61d5ed8ce7f6a0b0a8340f2adafa9ba002,150,55,41,55,0,0,50,0.173
5a0269f8b3b94a5e6edb4cb6e6fa9c9c21a3665f,-1,-1,-1,-1,-1,-1,-1,0.194
83bb6497947b17985d5ace7dd000ccdb7caba275,-1,-1,-1,-1,-1,-1,-1,0.195
9386911a7815dd79ccb6d42c6622ee16a8130fec,69,70,75,71,0,0,15,0.215
f28971b45f417c8f5c9b029373c919e844d2e039,134,71,152,74,1,3,21,0.219
6ba4ea2684b1fc719abb823b60910349c4a0755d,680,326,332,294,1,2,19,0.222
b401edc4a23e477a807174329448f9258ebf3961,-1,-1,-1,-1,-1,-1,-1,0.223
4305308ed6c5433982457e6771de3c7dcd2df9fc,320,205,430,304,17,23,1535,0.237
d84a2dbc0049315f6c019b8748fbd02fa7a36bd1,777,173,182,124,1,1,136,0.237
2975418ae28010ed1860682a2a1c82ad60bd9603,535,1150,159,1047,2,1,65,0.239
fad4efe7377616f8441e9b62fc76d5f4a2749b63,115,88,93,90,2,0,8,0.253
ab39dbc575d5bb217a8f423599a9194e8e8f1b90,829,1103,311,1092,3,3,1536,0.255
69ea6db628d6d8822202b6c1b4dd056b2ddf334f,89,106,86,104,1,0,2,0.257
e485a2b441c9e405fc372c70627f6f1cd7170bee,107,92,128,91,0,0,5,0.259
65abba46a09a4c435ce9d3d65786941e928e510b,23,16,65,11,0,0,3,0.272
7cff1a843e79d0b62bd5b2170d703b16bf96e760,148,241,208,226,0,0,1,0.274
4063492cc0fb616622625d3ccca3362c16b404d1,195,7,74,10,0,0,119,0.277
f89377f1edd1f2c829328ebeb2430468931d026b,80,47,65,43,13,1056,198,0.287
7541222001d693dd2409acb031c82d55956b6674,197,102,0,98,0,0,5,0.288
86739872c204646c8db230e21f379470d353facc,-1,-1,-1,-1,-1,-1,-1,0.298
4ca53498d91ad5da204ce419e552b3e1ed96620b,308,260,62,309,6,5002,4812,0.314
2b2b6c668ab69146a81ac805e27e697b5d5ccfb2,193,203,88,189,1,0,27,0.322
ec448eb579363994e5b16702047aa99622e00b4f,68,113,45,110,0,0,33,0.322
5c10ff0ce8bf1089061afca831c70dd619ec612e,295,186,140,196,1,0,33,0.332
5d9cedd39877997473e3e862490a7f0a4f00cb97,51,54,4,53,1,3,15,0.332
fa78dfe36b8e45b2e77c0df6a335cde6b00ccb9f,16,21,120,21,1,0,9,0.336
1f70150eed3597a408b217d3bd336cccae24ebcb,100,256,118,158,1,2,88,0.342
1e81243f3a7a95e5fb9302eb4c69ade1c05a2c3d,87,21,40,18,2,0,1,0.369
b70c4668feba53b74257fafbc251fd1bc6270010,133,123,71,119,0,0,2534,0.373
de14380803c1a98a77d25c3d47cd98621ba3b931,136,117,56,88,2,0,90,0.380
68ac9e9261ec9faddca4fb4177a6b40d4071494b,-1,-1,-1,-1,-1,-1,-1,0.471
f69f46a7c25124d3a9c27a253c25eb9ec72a9a67,139,158,56,162,0,0,39,0.483
1f85f3cf0e1dec4f109850e6d3de7cbb83975755,-1,-1,-1,-1,-1,-1,-1,0.560
76fa052e6fed38a4bdad0c3b320099cb961a93cb,-1,-1,-1,-1,-1,-1,-1,0.610
a4d4ecf5a89f91578f067c09bd0d89027b99d726,11,0,2,0,0,0,0,0.624
16825593de9a57e24de3413ddf4f0b2f8064e0c9,40,7,0,86,3,33,11,0.626
3200c5dbdd4f97dfe697963eb0d09d0f78b3a056,189,15,28,13,2,1,15,0.716
4422ffb22589f60f6d1d998bcf8ff52c4eaaa7ab,101,33,20,36,2,12,41,0.820
