id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bf0cfcde2b14cf37f1a8164140bcdd1042a0807b,-1,-1,-1,-1,-1,-1,-1,0.000
813ab1b2573aed6d9f6939cb6c6b33925fc61bfa,1361,119,177,23,4,507,16,0.003
7fd1791649620e249c2bf927552591cc15b2b3a5,685,13,23,26,4,62,57,0.006
5fc747a07b2dad2eddc2bfb76a8e1f7b5320a336,-1,-1,-1,-1,-1,-1,-1,0.020
93115b7318a3f95ba6d7af386077df44d1b6e86c,585,41,24,42,79,9190,222,0.020
a6a1a7ccafaa83376736790c376f6cfe197852ac,1696,55,108,54,112,11797,343,0.036
cad424cb4063713972d71e437b0fba8aa942c7d5,584,127,269,115,9,433,1419,0.037
eae35f9994de1543b2e480c75fe8e3b25ce774f9,583,121,35,133,2,48,114,0.044
b1393fcbf53c41d15b8a885134a2bd0305e998cb,579,138,61,22,15,962,868,0.047
098cb527f04c8250361bed8893701d04c62ae35c,671,332,33,66,10,202,872,0.052
f0f69d6b316a99f6cb39017f0f8775857ef12655,1012,149,70,25,15,490,67,0.076
2de56afac9d90f5d56b10181cff921ef938e51fd,-1,-1,-1,-1,-1,-1,-1,0.081
193a3ec2ed4bf74b445bd56697baf11297540998,905,183,50,186,5,243,183,0.132
c1851d060066d00f9a4eea183418b5c8d64c20ad,939,17,17,18,6,103,180,0.174
30a1366cc1c481428b212bb32469b18d9795de86,1355,22,64,39,0,0,70,0.190
dc3b77f62d95d3942a7ff23376f817dace0208c2,908,988,377,504,55,5985,934,0.217
37f37f39004fb63f71d41bf7683560a2806bcfd0,648,613,44,127,53,2115,318,0.225
3db4d65aec3c06722adbae61c29442e871aaa6e1,847,45,128,56,9,177,683,0.250
b48b23d7a3c0a87db88b85cb6268a94a80d303a8,311,150,121,133,0,0,39,0.278
41cc28e4afd7540c85b5c27066e095250a315916,436,22,32,8,1,1,87,0.303
beb631fdfecac9874cc473b47cdbd73ca56b40d0,-1,-1,-1,-1,-1,-1,-1,0.321
f714856bbcbe97df03df31cc2eed5a97275dbd43,452,32,5,46,0,0,97,0.336
5266c6c2177a5b3abd1baaaf7df44bee37515800,415,143,172,80,48,2379,3222,0.352
c39a0da47a1588fc0c9fbb8007e36eae6a877ec4,126,69,80,14,14,299,247,0.436
065489790ce99a5c25db5e446664426e582a7684,369,375,4,127,7,1393,256,0.547
9fe9a67792f749c96a3137e63d9be65da73572be,8334,6,1249,4,2,54,72,0.556
d2232c0e7cad7d9b9b820577626d8d2c08272c2d,568,18,5,17,0,0,111,0.599
dc208989ee2e0acf0d11a78a152b81e87807db93,-1,-1,-1,-1,-1,-1,-1,0.623
7dd0f7372bdfcdbabd02199260fd83bf34e5256c,3262,176,171,69,2,29,7186,0.633
e54cb2ff98c5623ff4ed1963b1737036371c4d71,6440,10,303,10,32,322,2759,0.645
21d4a1cf342d957028a2edd649221065ce33ea8a,1914,486,50,521,0,0,10568,0.668
a9cefb53e0a6d834b955ce1835b2f627568eee79,708,67,21,24,7,143,140,0.686
58fc70a4de88f6a2c79de39c78391da1475abde7,-1,-1,-1,-1,-1,-1,-1,0.690
3c1f8bb398acc5f2a879e19d7a5b6aab04afda2e,4106,19,33,17,2,184,551,0.697
