id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b974244f6f483ee8095415588bb52978e199815e,217,32,3144,31,4,144,4955,0.001
20f2a4cb9387f642073457daedd79aa4ec7416fc,3396,61,1836,124,0,0,2697,0.005
8efd717b5d11d697997ef72d39a79d4d327ff301,-1,-1,-1,-1,-1,-1,-1,0.015
4b23dad6cfab5b705563cf3250361f9d4ccbcfd7,130,217,210,206,1,11,33,0.017
fdc4de1eb999910f271e64de6ae8391c76c65819,62,93,54,90,2,104,393,0.020
c59ad2f81f578a8d1926a702051f509ddfabe829,-1,-1,-1,-1,-1,-1,-1,0.020
84c7b2118404b72cfd01fa041a3daa683b022c19,1016,196,164,189,8,319,2566,0.022
0442f0363c113d8488f8ac2b834fcda9742abe2a,-1,-1,-1,-1,-1,-1,-1,0.025
b6a8c929648beadf73f299f1a2d225483ce714f0,186,152,172,148,1,13,1838,0.030
faf95b925981b62a87596b445fae6746c11f1f80,-1,-1,-1,-1,-1,-1,-1,0.038
ae6208f40a3b84c408943c11d2db252d5d768df3,-1,-1,-1,-1,-1,-1,-1,0.084
798563fe0ba4f0a10a2327877abd16f616a579fc,73,8,167,7,0,0,6,0.090
a1df7badb4c0536a3e0d37f2f14b6feca0e518e1,84,58,93,58,2,0,26,0.108
5122c95d402990e4d8da71ee24a2c5dff0a4815c,67,609,160,580,0,0,148,0.119
538dea744b676768c13862ded540d14f5a87b40d,123,6,134,4,0,0,4,0.120
681c2335c82d472b02e762435c1f8aa9c127bb17,134,14,75,6,0,0,0,0.129
d1bd6851e99214c852a4abfa124ffce1c62cc0bd,-1,-1,-1,-1,-1,-1,-1,0.146
35e1de88e4c7472574d27c9ae47bb99602f35c9c,85,65,111,65,0,0,4,0.161
318132cb483e12cc6a5a69f6371e4aea636ae48c,26,22,0,21,0,0,12,0.181
c1122603d7fac03e4886ad65d381f4845bd5d3b8,150,250,81,242,1,0,4,0.210
c6cceff7d0a25c70c9ea94ca80e8070c154ab450,205,11,9,10,1,1,16,0.215
08b33903baad2d69df7625a6d5c351b31cf78d4f,-1,-1,-1,-1,-1,-1,-1,0.248
af3713c5077850d1ff5e8cced6b8a965dffffe2f,290,2120,1164,2098,0,0,14426,0.251
39ab1d6dc7b2b9a1b60a0c73e59987ee841466fe,378,650,126,390,2,0,698,0.279
219cde300d438cd15b40c7a820a14e2b47d3b8da,209,863,220,795,2,26,406,0.289
c409a36315406efa3ce17f375d09a3c283872ae1,199,181,331,174,4,82,100,0.291
83cbe3ff391cdd5570bbafc49e85cbfc767b10c1,23,103,443,97,0,0,2,0.304
4b380fffd9c8bdfc6781b8bf77eed4332d5c9838,400,88,52,86,5,164,28,0.313
8ac7fa32a4181df3fe83867c781ac481689f9fb4,73,262,147,254,4,35,480,0.332
898c425c7eedb6fa238a66147484988f7c36ecd2,-1,-1,-1,-1,-1,-1,-1,0.371
71fc043094e3b0edbdc86a322ac8e494acb91738,130,17,27,15,0,0,116,0.418
d9bd36a13f940b26550d824072d0b10a7a5a6cb0,-1,-1,-1,-1,-1,-1,-1,0.482
34d363bf32c26c3992bbe6b26d3c706e44f7bf0e,35,138,55,129,0,0,12,0.556
3dccf13438d95b0e3d0deb88a0e367e8d17b77c2,-1,-1,-1,-1,-1,-1,-1,0.565
6f2d983c5da27e0f66ea7dffc4c66c3c24fb3b06,14,56,41,53,0,0,5,0.607
752480b3e36c0077bfc83dd448a1169c0e2766e2,123,116,66,114,0,0,47,0.621
9339610c72bf627a3c1f2aeec4e3e055af28191f,-1,-1,-1,-1,-1,-1,-1,0.676
bde281111d64a5dd8b48f4428810390cc3184385,-1,-1,-1,-1,-1,-1,-1,0.679
a701038dc176c8eb8dee60f24ba0978b4fdad78a,2,84,274,74,0,0,2,0.732
9b2ebf845f9e8d317870470a4bf5acbbe5171ce0,60,30,30,24,0,0,1,0.819
