id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
094319c46258934a53cc7aba6e669597da54e361,-1,-1,-1,-1,-1,-1,-1,0.004
a4577d38dfd168034c5e0ecf3627513b94ca47d4,190,44,121,48,7,110,1274,0.010
12d6f3a36cdba37cf3aae76339177c32deea7eb4,3358,127,91,350,1,1,1826,0.020
3dfe518e73b19e4a9b89e94d127ba6ee53e07150,5007,863,484,208,42,380,4107,0.022
fdeb596d22898a7b604a4ac98fdb1bad42d663b8,159,41,59,38,2,4,35,0.023
4f4b2f1f2088c42b7c2fc9a7d8a1d752141a94ac,222,105,98,34,2,94,693,0.025
346a617659fb0a39e05c192efe696de9e51cbe1c,1405,110,335,113,2,137,693,0.026
0743ab985bf5e90cdde7fbfb591d23a040625e09,590,51,58,57,7,482,1280,0.028
f5b1734bf77aed21f60b9a5cec720ebcbf2532fd,207,53,50,48,0,0,5,0.084
744ac68f0cca9b99d833dce7ccd8896a3399f635,1178,27,278,22,0,0,6,0.087
31e0198f7397bdfda0b93fbba46846a2cffe2b8f,258,61,67,60,0,0,106,0.104
3aebdbfa2c3dbdb8ac5ede313533ee7b5d478976,120,28,12,3,4,58,133,0.106
3197565891ad731d2281769eb5746764229c2140,80,72,136,22,2,4,470,0.106
05857edb6c6ab9b7d50f7a5763b53cd2ad7ec628,-1,-1,-1,-1,-1,-1,-1,0.130
1b398d95d2133a93510b457aa24d36f9d49e4605,183,336,92,320,73,4997,224,0.140
c122533162b6619273feaf3697d6d5967724cdf2,132,54,11,53,1,0,17,0.141
1e21a7c4ae6cf636ec451fad5481084549d4de93,156,92,254,83,3,250,478,0.163
4863aceecfe579f3a697b3fd0cb6f3ea425f20e7,1316,553,263,536,4,241,2416,0.164
b2aba39381f1cea79f27d467c1dedeba4584e2ed,-1,-1,-1,-1,-1,-1,-1,0.174
5fb6e836bdee9d7bea5ab2328c5729d2a873f4e2,68,133,3,140,1,0,6,0.175
2fa139527ba8462bdbcc7e46a5e908d668e09bc9,1008,140,141,160,5,179,1527,0.196
6d66c0cad9ee69fa1d110d57d3433e8cc2076bba,5596,342,658,309,11,764,17922,0.204
d7f646c58b92d9885930d2d4798dbc05495fe1c6,183,177,299,89,5,93,5733,0.208
b2009c66d93ae2fff0a9e02cdd32c0e7529932f7,379,309,375,297,1,0,130,0.222
0a2907fc4d2a7470899866a8be7455ce44737082,219,29,84,28,2,0,1,0.223
cf1ce1e11ac40795422200804a8c37fe4b88b5e9,493,1234,881,1183,16,1830,17896,0.225
d5a81ea70b30cd34a252b7903c687240aa66cbc7,78,37,15,34,1,16,238,0.225
2264ebefd35b2e8e03ed27663436ce2949483283,225,65,155,63,0,0,1217,0.229
9e7bd1c1e855763645a26dbfd05f9fa7b2cc630d,217,87,758,87,3,0,2,0.233
e742881825464ece403a9738a722a2f3f7ad6327,1745,50,0,45,0,0,2,0.235
b72126f059c4ef9c640d3eb9257a3ba9c52d5014,79,81,10,80,5,117,689,0.241
8b7bdfdcb431ff6c082187b1dfa30cb8212e5dec,-1,-1,-1,-1,-1,-1,-1,0.243
13a5baf593d4358d6e838666752cdebdcc6568b9,204,85,66,84,0,0,0,0.250
49baef54bfc5ae0650481b0815a77353239298df,908,1780,1045,1680,1,26,121,0.257
217942dd32d56d07fe6f781290a993ac4bcc5a49,-1,-1,-1,-1,-1,-1,-1,0.258
2f6e623e55148af696243ab0e8a6316f5016258c,75,377,60,357,0,0,3,0.263
5901fc949c09807b6a40891fd008573e755301ac,138,15,208,15,1,0,3,0.265
39a517426b5bd24ab66d5d1e99f224a2319b5de5,92,364,120,353,3,6,57,0.267
0568ffdcb9856aa45c8a4b5656434b92ee023cff,-1,-1,-1,-1,-1,-1,-1,0.269
3dd49242ed8ecf304bdc3979e5133e5754c74f10,362,843,358,846,0,0,4,0.271
6d3012a8b76fc0ca92ca1f1b067c279e513c945a,335,37,136,36,7,319,951,0.272
6282ad9a1c800bc29eae54a3f0766538133eaa83,7567,721,1746,742,2,0,207,0.280
900b45123a9ece96f76f4fdc3bfee64cd30bb64a,238,89,133,53,0,0,97,0.283
1ff40e563f7b06ed76403c4ab4dbbd1dd5cc1b74,240,247,316,278,5,0,9,0.292
c0c2472de81e12250ae3f074aa632c2b3eaa4a4f,9110,188,4017,184,0,0,492,0.293
73e5aaafd1afd023726d11e671a7e9b571a11ee1,173,138,385,114,2,0,577,0.308
d1a41debd87f7c24616f3403cb905c3515c4f32e,357,28,191,27,1,12,135,0.311
b5cc40a4f7c59f60e1fd0092b2dd3f82c44509fe,-1,-1,-1,-1,-1,-1,-1,0.321
a0e4e5a0a3fd7d3eee1325b4bc36ca0b7f25682f,367,77,228,75,0,0,3,0.323
925d839db78d2e429b73f09a91e303969cbcf117,146,260,248,243,0,0,3,0.323
26bbfc4af9a4397f57696725194b493682a230de,50,23,22,23,1,0,1,0.325
94e601dc0e331fa9d036b45db283c77c4ab73095,52,89,12,86,0,0,883,0.326
875dc7d06f379ad762a665c72d04e22c8451f2e3,101,130,54,126,0,0,2,0.329
af304d541dcc6f073c13343422cc56c9dfadb35d,656,257,320,246,0,0,4,0.332
92dc0dc7bfe6f159d056763e6c38763c8ebd0fc9,339,40,78,42,0,0,2,0.334
cac853ab5d4a023b594f115c264643432064d760,232,427,178,406,8,98,2166,0.338
824f4e4c049ac63a2313c46fd7486028ee925ab0,110,51,104,49,0,0,2,0.339
fcdebb93ceabbe42cc87e2ede982ac1391ed6a41,-1,-1,-1,-1,-1,-1,-1,0.346
50900be1b5c7ed1a01d3c3673a0207d2ff3ba71c,129,179,214,120,0,0,3,0.348
e5f7394c699f6cd8baac3f85fba7ba987e466787,93,593,344,567,0,0,14,0.348
912b954652e7d56a51dc8fa72d8a5a4b4eb2cd8d,-1,-1,-1,-1,-1,-1,-1,0.348
5fa2acbb745ec3fbed28898e479195ed329764c1,180,262,101,250,1,0,2,0.350
60e40176579b588e9f4ed2347f83b89bb114bc6a,199,121,91,82,0,0,100,0.354
b72330ad1555f1f7001bec81dece432b70e63405,71,268,9700,235,1,90,18,0.356
fe99099a25d106ecf8b5e329669d5b6d7dff0d82,18,463,302,296,0,0,21,0.360
4acf7ca4ac6fe2c06b1eb5da4d961bdaa820ed07,-1,-1,-1,-1,-1,-1,-1,0.369
fc0a9255707deac14ab69f09de3410516a37b345,-1,-1,-1,-1,-1,-1,-1,0.370
664dfadc32f7efc8742a0cb7f63be536fbf2a666,1333,164,271,169,1,8,356,0.377
7bc37bb5a45463bda52d7deff7601e4f880a8070,121,192,78,192,3,3,6,0.378
0af651cd918cc7dc8e62b3cd1385e1fee16501d7,214,345,59,332,0,0,240,0.378
7c7830f04412cdf8feb2352c6ac46c2c371c9d73,97,53,82,52,3,0,609,0.379
5c446a5c258907e63c5600a65d91ebf39cf93a7b,414,247,970,308,4,26,25,0.381
07d4e2be0a23a611b488963279aac42744d01da7,33,39,282,43,0,0,1,0.384
ed6bd07e4a482e120deb32d9c4604a3ba30c2ebe,-1,-1,-1,-1,-1,-1,-1,0.385
86b56a7f78307173394caad6c8c07fd151cf3f4a,154,191,149,190,0,0,30,0.386
90dac7279a998b89750a5073445cd2a7b6802a36,429,348,110,177,1,1,343,0.386
0f58c7066ee60d674e867b0dcc36c8e3cf04a207,129,294,108,279,4,0,5,0.388
144103f214572c5e89c5a61b6bbaf45a457041fa,203,-2,104,343,0,0,64,0.389
befa839dcf1780a69473399bdcca6c426860bdfa,-1,-1,-1,-1,-1,-1,-1,0.395
2c6a97de8ac36a2b0bffd95957beafbe0e58add0,173,395,85,371,1,84,769,0.397
80a380d939ff173ec2e31131873d914d0656a41d,-1,-1,-1,-1,-1,-1,-1,0.405
ebf13791ac2e1b84e63c2adb91f011837a8c3ba7,145,99,1,94,1,0,0,0.407
2ff5045937fdf57defdd91b61be0e080a47b6c65,418,97,67,131,0,0,1,0.413
8b720f5180e714577e476661b179280661676b28,115,200,145,194,0,0,16,0.415
ab509845064ed42a61e0cfc7b8da6d5fd0bdbef6,661,1089,27,1112,2,1,113,0.417
dd0222d850130521c779e1b159a127b490c1a4f0,90,75,85,73,0,0,15,0.419
ebdc071c59f0c36afe7761316b036da97ca81f65,8650,105,6561,106,0,0,107,0.426
2f619daae46ef68433f43a53aa7d2108c875fcd0,-1,-1,-1,-1,-1,-1,-1,0.428
b0ae1ffc166a23ce008698981e4e9588589592dd,179,59,45,61,0,0,15,0.429
5226b9f9726a7cd700900d2c6862134124825413,-1,-1,-1,-1,-1,-1,-1,0.431
a74ac377e871e09d05a8a0ba7b236150d5fd7ad7,75,1093,400,1070,2,0,21,0.431
040b7035901f2ea1f0f4e90acc996f1930a9de8b,-1,-1,-1,-1,-1,-1,-1,0.431
d89c915776daa96f71676fcf34eaed86086d98c2,155,52,16,61,2,0,20,0.434
b8a61a409d3dbf15b4717e8f68ad50e0227f4e6a,797,2944,977,2749,2,2,846,0.435
42aa5520489a6fda29e37171371dec63af876469,207,101,227,109,1,0,1,0.435
406cac246d78b37099bd3407578b640157f94234,35,-2,232,280,0,0,8595,0.439
cf0e37d83171f7006dd59bb72df1dee80da58396,134,109,120,105,6,19,45,0.439
dc85215b1d45e4537f744641a7f80e3b3e7451c6,203,234,89,254,4,0,4,0.440
99b890cb51719189ee73dfea8a12a8489a98ae7f,144,105,435,105,3,0,1097,0.440
c8704d7ad0b1a5b32bbf2d55c873305b34b544ff,406,178,44,163,1,1,3251,0.442
241daf69061662d9637c89bad591f03c1caf8d8f,45,27,13,23,0,0,0,0.443
f8b3f4bacaf36ca1b7c697e4ef6d3b30977bb91e,83,32,134,33,0,0,6,0.444
89ff724179aca92873975d0fbd506f99aebfd882,172,339,164,304,4,17,59,0.445
a5bd5e0c3f80500ab2f71e6779c56cdc475cf075,229,7,106,12,2,0,1427,0.446
52fdd9c80b342788859dd8c6e22a77ccfe9faf51,109,68,6,68,1,2,31,0.448
e7289e480fef85a1c14fdae13a600358c94bacd4,137,194,17,186,1,0,1748,0.449
4b54ca5efbb5810d99ea8c5a262f261ae571ffa9,474,286,0,268,1,6,86,0.451
bfffdfd92990bb2b8ccd4ad1bb316f8a774a8c8b,9412,57,1317,50,13,87,29,0.454
