id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
5d0c8cecc6bce7ea8fa8d70c925d6785a0bed7df,535,10,327,11,6,231,956,0.005
49d8b5c607c6788836b2ee0273e1859f000a8da4,401,9,155,9,2,39,5,0.008
c6b1c326c7fcd243928fa78288443f5f63e0f255,-1,-1,-1,-1,-1,-1,-1,0.010
645a779f63008ba5dd228f1f433f0cf13c6b2d63,731,36,641,37,2,92,1170,0.011
8870bea8b1f1dc5ae6b5a4c80f1f200df597d1ec,702,175,639,158,3,241,495,0.014
73784dcbdf137c783de74e62693e287f990dc6af,857,122,612,117,0,0,221,0.018
69e0a82928b8a5d1aa665433fca239fce019e0fd,878,16,166,20,0,0,95,0.019
97bd78505ab58aac6891e4874d7e561a67ac7ecb,-1,-1,-1,-1,-1,-1,-1,0.020
9944e66020bd03b26a70300200b112b162ba2b77,268,334,255,88,0,0,504,0.027
bf5ef592bc2e73822cbaac4fb9fc40ed0799fece,-1,-1,-1,-1,-1,-1,-1,0.029
fe4d66e0b38c7d26febf55f382934e5dd690bf46,-1,-1,-1,-1,-1,-1,-1,0.032
b7b59a69265d148b135e41b451c009dfce665325,1628,197,530,272,1,0,80,0.032
fd7e454c9ecb61626f86d0f5eccd1c24285b5421,-1,-1,-1,-1,-1,-1,-1,0.034
55bce1951cebc51881f3f7ba5a099153273ba807,1593,292,285,312,1,0,5,0.049
1b2933489da0c2ef0b5825f41b380acc31309761,779,85,263,78,2,87,2748,0.050
da91a5dc92079f0523ca3bf18088965c49e5f81a,2257,77,947,74,1,68,132,0.050
da178756fb680920c1380bdc6cc088269ee7372f,479,128,516,120,1,0,61,0.058
a3fb35cc9991cfd48703d2ac5f967b8cbb09038a,793,156,142,170,8,653,954,0.064
0121558e09179eb72c7da835b867280efc1f284d,854,31,188,51,16,680,1037,0.065
9e4726f0ccd0e5459bdd3a1af4d57c6085afdd5e,98,9,102,9,1,0,81,0.067
71ad96be417c9ef5686e742a816df37e65a0766a,-1,-1,-1,-1,-1,-1,-1,0.076
a1431efe3c5dead076980bb65b36dbe47bf5232c,-1,-1,-1,-1,-1,-1,-1,0.077
256395c1349fcac2cedde7a78614f1362cfcb569,96,44,170,42,0,0,0,0.082
9803813d7c71569afe2fc6ccf87e082c86ea6eed,41,26,66,25,0,0,4,0.083
b6c5db22b52688df9f51309a94360b426ca7a025,327,134,237,135,5,29,51,0.087
292124d1c5ec28a5cc2bca9954deef49448c7431,163,360,73,301,0,0,34875,0.088
775f4113ded4d22eae7b67f08ee170408b0b838d,139,24,87,23,0,0,10,0.093
9be4bb9574dde58993c8ba084a79c83b7e55a282,892,139,670,135,4,15,961,0.097
51f6c25d8099a5d193e127cf3d5d241c8ed2e5d0,1873,116,221,114,1,0,304,0.098
e2fe2bca5fd89023d4024aaaaabbff9765f435cc,372,196,345,178,2,0,1,0.107
3a1d8f025786bc5968ed40a3a42a9f6ddc93b534,719,156,543,149,1,2,46,0.108
74162f6b29204e3a45e8bccd5eb4ab2d6378ba79,297,99,136,109,1,4,1,0.111
6bd9287670e9abdcb5506bbe5e9a75eaeaf270ae,192,41,201,37,1,27,3,0.114
69b1d5f2684c80e2fab2cf8ec692a003677bafb6,86,38,102,35,2,122,28,0.116
9a1078d68bdd3bce4660b437bc9446f67c51fbea,605,165,442,168,1,2,8222,0.117
26df1a7eda112886cdd6d84014aaf7bd3ab034c7,451,60,149,57,1,19,8,0.121
2652358e6fd1f92d5114f17f6c544bfc8b218ef0,217,98,199,92,0,0,4,0.124
63ec65f00990e04aa0fad639b0d2702c42a901f8,116,208,36,203,0,0,10,0.128
c83bf5ad7be08f83b73682fcba529a5014661ca1,331,164,103,162,0,0,166,0.133
c1ed1410f249f45e6b105e8063931cffe558ef99,-1,-1,-1,-1,-1,-1,-1,0.135
eeb90bd3e43e752d9ed24a05ca94cf9cda31fca3,162,70,102,91,0,0,12,0.135
562b99922d52283d8a95d266ea23002b39102533,41,26,27,26,0,0,0,0.141
b80f44f65655796a0da36cc7a5fa10c22ea18608,-1,-1,-1,-1,-1,-1,-1,0.141
5c1efedc7ad57769b36d7986000cc3a43da0f6cf,429,205,1073,192,1,0,563,0.141
ead1d752a183cc9bb95e7df3126e661ac96e3685,1244,272,1628,271,4,264,8094,0.147
0a574c15c3cff0b47c2c3d9aa93fd0aa5f919a40,-1,-1,-1,-1,-1,-1,-1,0.147
46241c97b49d4a635959c0e850b774f5ecbea291,194,71,144,70,0,0,1,0.149
883768937e39c514d21a22b349240c82bea06e01,256,182,168,173,4,11,7,0.151
e534ee84c8e5fa5f8c25beaa8041693f6841c93e,456,166,184,165,3,50,1222,0.152
b911e628047e5ced1b86e493d7c2de17896d8b30,154,268,42,268,0,0,2,0.153
eda3d6e13034c765f8f9efe67bf53460bc99c6d8,292,67,394,69,2,24,26,0.154
a4eb442c62dd27052b038640b91d39e5d064dc5d,592,122,218,116,0,0,5,0.158
0f114f21d8e1b10972b4757b6706a1a0f06f7379,-1,-1,-1,-1,-1,-1,-1,0.164
5218c85bb59879b6119bc1efa17786e1be9fb679,122,130,108,126,0,0,2,0.164
7a0975d619acb25e51df0a4b81a0738fbf5f0685,-1,-1,-1,-1,-1,-1,-1,0.165
a60ea0e27dd0d4d2998b5967319db6aeb849d347,78,23,96,22,0,0,0,0.171
4908d4b16477f07e919e56c9536a734c4453dfa4,571,137,1259,131,1,13,510,0.175
f21ee81d9d4607bf88b47f00a69ce4cb32023804,-1,-1,-1,-1,-1,-1,-1,0.176
8c8c6a3fce2b3f06bd32c66e9416d64805f2894c,472,90,343,87,0,0,773,0.182
07d33eca79d88c8b2011e64def2715a0c8c471ae,263,60,163,63,4,17,202,0.183
93d7e4e370d978bf0855bc7a2ef57d2cb6cfa931,614,41,433,38,0,0,176,0.183
21c4d1560cbcaa29a62ba264f1e328d1ebc2c50a,66,64,149,65,0,0,193,0.189
fd707c85edf24391b392066c610deb57219185e9,218,132,58,133,1,71,568,0.192
d9027c735f2d031045235024978c319ab74bc5fb,184,46,171,45,0,0,7,0.193
4078cf3c686005c58f0a8d174169677db50bb6ae,810,377,644,360,0,0,102,0.194
461ab4b1dbf8a30658d6acfab418b4431f65faa1,-1,-1,-1,-1,-1,-1,-1,0.199
281fac1e8bb220eb9989e92dcdecc3b2faed8897,-1,-1,-1,-1,-1,-1,-1,0.206
af3700bb46ab085572bc780e8ac305c144299d3d,172,32,120,52,41,15,501,0.209
67484c5a6894f3ee9d8a884064789f0c87c58e9a,262,274,148,258,1,1,25,0.209
cb4cc22e182415acf27bf75160e89c36010b8880,295,32,98,21,1,0,9,0.211
a6ecd0ed1730d02c46c28dedf10959fc73195d74,215,7,70,8,0,0,1799,0.216
9461e8f323155d2039da0d82b1c0765ae5e950b3,928,201,377,47,52,691,1152,0.217
d5cb56c63e298c7df9bfa21f54643732e0fc0d36,256,56,119,56,0,0,302,0.219
c3f4c2694c69e13a35e58deb20237f7af2389714,-1,-1,-1,-1,-1,-1,-1,0.221
147da0934914a9833285eb79598cc37b22ac1928,137,74,398,74,1,0,21,0.221
7ae28526cdf3384ca98c6e655c6325bb6cb2843e,135,395,300,341,1,0,2,0.228
1791a1aa4c705546e55e0604d4fb9074e190d0cd,227,43,239,40,0,0,10,0.230
597bdf41e9281f6736e40c0dc5e6a896f1571ace,493,115,35,75,0,0,93,0.232
2881324124ded3d2b8aa19492abca737c667750b,-1,-1,-1,-1,-1,-1,-1,0.232
f79bb21433284ff2d5fc398c2ba214e2cdd22450,467,311,141,288,1,0,47,0.233
90e23df77808973a999cf7b62c445c70677dd27e,-1,-1,-1,-1,-1,-1,-1,0.234
0f6475cfdd82ebfe1f2b9ee750a1d3018c95d13b,124,157,210,165,0,0,93,0.234
cddcdb60b28f17f7280c0b2ac9954b620bb0884a,597,180,82,308,2,8,3109,0.234
f977c125f882f7d26b279f80c41f9fe85138d425,310,98,387,93,0,0,21,0.234
