id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b2f1da926e048fb80f9191d76fd12b189c6e4078,-1,-1,-1,-1,-1,-1,-1,0.001
63aaa7be569358f82dad843c47aeea526af77ef1,-1,-1,-1,-1,-1,-1,-1,0.002
07488d1b6557755a6abcd10f314fd51844d972be,-1,-1,-1,-1,-1,-1,-1,0.006
4615fc94435d3fc8c54cc28f8e90f856b33b0224,68,70,28,66,1,0,4,0.008
f322d5a1d93fc5408017398797e34ba7929dba2f,291,39,307,36,1,76,126,0.011
13655c107cedbaae6a8e13e0c673ba802ee00660,245,62,255,58,3,53,2082,0.024
37e579df4ed3288440c6d5a0f0327a171f0ce461,103,162,36,94,4,297,436,0.027
9d38efe144a824ec7e6f629c77af3ff5ac8a9c79,-1,-1,-1,-1,-1,-1,-1,0.027
1854634075b5f7f229f87fb782b2a92e0fefbdac,-1,-1,-1,-1,-1,-1,-1,0.027
3486c08a689ab4197c36fad425f6824929ad450f,202,98,151,38,2,49,527,0.030
dbec30c359f001e60462369dad67f4a5ea6d136c,-1,-1,-1,-1,-1,-1,-1,0.031
6ea003a7e4bb58430981b5ac58f22bcd803bd74d,116,81,32,79,1,15,12,0.033
edb382c8ce91169b0217b8fc3c3bbc2d5d3bd411,252,3,47,6,0,0,112,0.044
ef1b2cecd40233afa3e5b9277eabfc755ae7d811,69,174,165,168,4,46,3538,0.044
2a31c89820a4fdcd5910d4336c59dec7f18d4c36,138,76,42,46,1,73,104,0.063
eed02e3e73ee9fac347da14d14d76aa08fd723ae,601,1000,519,712,24,399,2823,0.072
17c9f0c557997b1e796ed6e7a4949da4376fbd94,97,42,24,18,1,3,205,0.089
a88bd490f08c4bd14c134bee4873e3ab39f7efd9,-1,-1,-1,-1,-1,-1,-1,0.097
0c5b7ef0459eb794ab3a200482f5dfffb53afe0b,43,69,131,67,10,299,1114,0.099
b30cdd44262683cc6f360ade1755c73ddba51275,-1,-1,-1,-1,-1,-1,-1,0.101
d46a710545346060a4cb0602a3c1fc6f9857fa52,131,637,194,574,1,0,3104,0.111
e67b3b69429039f9e907eebf3ebe0df83900713a,62,60,130,49,7,2195,1563,0.120
b77fdd5c0d0d3b60ddaaca503f5ae45a8b4cc455,593,288,318,279,0,0,3,0.123
00e5f4775a86beeec242f29812b311ab6afae17c,30,1,30,1,3,14,15,0.144
e18341e5193a43ad231d004c2ec19c299b9b4f37,-1,-1,-1,-1,-1,-1,-1,0.149
b3c56c708a7b644598db32097989d30dfc6f30d1,284,283,92,276,3,84,1092,0.216
60ef2a91c87fbae5891bf0a9e68b13aa19a5eec1,63,49,4,48,0,0,0,0.221
c8848302f7ea025781cdb884794dec8afcb866b8,150,241,182,230,4,449,22,0.226
82a77fae9f8a4fee59019790c0600057c1e4fdb1,112,291,101,119,0,0,134,0.230
5ae63026b0c4b0e42fa9fb462b273469bcba8cad,112,11,215,11,5,501,22,0.235
08f30a1397f8f825e7adecd3a936f0b194bf50b1,-1,-1,-1,-1,-1,-1,-1,0.237
ebbc0902420157614ded3c388db74f4c0f6e6ebe,-1,-1,-1,-1,-1,-1,-1,0.246
3652659078b9aa0ddb7868bf563d7117e179f211,196,125,29,127,3,2,1623,0.344
aedd12e349cbc7d671bd390b5de39027653fe071,48,151,177,145,1,0,47,0.368
4152f7d5350b778f8444e3ba5f4df69024e6127b,74,515,263,385,1,7,40,0.406
fec2a55928a3a7576ec7e9008ec2ec6f3d4fc68e,-1,-1,-1,-1,-1,-1,-1,0.440
b3c0aee6edcc01042d54721afbe7725e64f62430,131,201,168,186,1,1,312,0.530
6880cf8be6bebebb1675490834b3f900f5cad5b6,133,20,22,6,0,0,94,0.545
0d5fe27d9751d85e43976810387349f6a69560f2,85,116,7,115,3,146,24,0.588
14ee91271b85b49be71055faab21bdb4de3e51bb,-1,-1,-1,-1,-1,-1,-1,0.651
c7f8a9ee4a3364bdb10255b2e4fc4ce8be9b9e39,532,1143,80,1365,5,2,1000,0.743
