id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c80b8b7079ad69dc83275a7586c5002d1c1e425e,289,52,215,54,0,0,244,0.007
2cfa5ba9df72543a43581e5a3ea4b27741c5b1a2,295,31,202,29,4,51,129,0.012
ff600c33b2497afb915ebcfe7e183729dced8575,68,20,289,20,2,11645,47,0.014
2a4df9ed6aeba6a64bf6cd06266a63e65273310f,482,179,447,165,1,0,1061,0.042
577200c389bd1d1f985d56548759c0aa07f8897f,433,67,297,67,19,847,5578,0.058
6f6e9e7bc241d928eb2038223e39fad136c73761,611,58,157,71,7,106,165,0.090
f3618fefb871a19e5e2c7d5bbc61564577b379b4,649,10,45,344,6,207,1698,0.103
bee5270a205fdc593a70e85e6386970ac411656a,136,234,658,213,0,0,7,0.116
64cf061d723728bde70da81615895a13bdae0e14,121,139,276,129,5,32,2743,0.155
c609a19195a800a834cc3c2d58e30de1f78066ba,60,26,587,21,0,0,42,0.160
43632072d8ffc2dcd79525b9b95b6b34a7cf5470,363,66,270,65,0,0,89,0.175
2ab8f71c793b406a5af4bcca01cd20eaf6a86db0,-1,-1,-1,-1,-1,-1,-1,0.196
8657ba3778132989d40a4820377dcfc527966b2b,9583,3,4277,3,5,170,331,0.224
2b5359a2d37ccf82d4526c3eee256437064de5da,385,87,185,83,0,0,117,0.225
b80d177e046ba60a38817099df196310cb8a3083,346,67,127,79,1,5,61,0.226
94120bed406f3c10cffb40d1498ce31444fcdcb6,60,432,503,411,2,158,103,0.226
8edc761350aea05c71cf99bc979a39c8da2a5f80,149,200,530,194,1,2,84,0.236
7d4a1b3578afab186d222c06741c02e033a5b72a,-1,-1,-1,-1,-1,-1,-1,0.259
60b27b99704cdb1e6899999de5f90c39ffaac5c4,405,407,240,378,0,0,1632,0.268
0f22013bf175118e284ca71d232cada1ea5b5211,503,1604,337,1532,2,7,245,0.269
b1d87ada235da7994d0cd55ebc8753ff41105622,92,139,64,134,0,0,1,0.280
f43240df7f121ce2db40eeffd6e735bd90363b42,-1,-1,-1,-1,-1,-1,-1,0.282
3d8951670a6c90a4eaf211e95f5e0b25220e588a,326,75,66,76,0,0,1093,0.286
b52e522e0f20ccc708b95e4c685da7c6b8b2f805,459,208,189,168,0,0,46,0.286
fcd1f54c88317f5f684c47c64aa2beecda9b6e2c,189,149,323,145,0,0,366,0.287
b3f5af03b2249c6dc6eeab3c1f5b75842749a715,23,311,659,292,0,0,0,0.294
aa810cc04ba55c40edac89209d298b299566c05d,144,58,246,56,1,0,128,0.296
0b2cc4e9308a6d71d1419508a5761fcba6fe015e,-1,-1,-1,-1,-1,-1,-1,0.300
61b3571efb14bd24d6a010c40b479e7f809e569c,-1,-1,-1,-1,-1,-1,-1,0.310
95dbf828ef1a850deb8c03fc145c0ad5d19174a8,149,53,255,52,0,0,6,0.311
e5878b3fad7383237e061ab52aa9bf0020bd6932,160,30,231,29,0,0,41,0.315
1f76e52dbf06700de20bc73adc5df50eef14ff63,13,29,22,22,1,10,241,0.321
1f58caa337a15c6ff2512050ba4e9aed28c2ac1c,173,38,207,36,0,0,0,0.325
cf6d9fc215f947630ce092429056494532c7773a,319,491,207,398,4,0,28,0.347
18fcd13ac6b98bfb62d7a6d49cfcc9c31e8f3a1d,127,74,106,67,0,0,3,0.349
5bcd6702c563da43791a9d0f5e8bf3f23eab428e,109,37,121,39,0,0,2,0.356
43ff2e6fffa4fd8878bb0b4f397decf48752e562,349,131,282,140,3,0,28,0.361
40eb94af68833ca84dcd0660ac2ecce965d2eadf,-1,-1,-1,-1,-1,-1,-1,0.369
5f1e49059e56a65ce0f4f5bf7f5a1f2914e652a7,84,428,140,410,0,0,2,0.375
fae608383b076842271a6195ce7b10b9616154b1,246,333,308,322,0,0,3,0.375
07b7e7141aec6c4ccb6ed41d2fbce65ee9018aa1,202,29,29,12,0,0,37,0.380
e83ac00d72f67c80540945a560877e189d24b183,151,345,123,320,1,0,4490,0.385
426d342125d49a807955bf821db8a4cf023ff66a,486,934,71,880,2,0,171,0.397
6b74aa192cfd870699ae15a6793da46073e479f9,-1,-1,-1,-1,-1,-1,-1,0.398
fa9a4823f50fe5b97b225d5704ac70064621e9e6,201,417,118,401,0,0,34,0.402
3255c64811a97e46a1c328965981aaeecd401d83,88,312,228,302,0,0,523,0.406
792a5b2f9c5104a05bfda645d3887df0482a7ba5,103,46,87,44,1,0,11,0.408
46a7237d980b81111a60245fa17fd6aad8fdb28e,589,814,257,772,0,0,867,0.408
e91547414fa0106f61a2483fe0d3c8cd7f4413ed,230,167,136,154,3,0,126,0.433
0546a01fb4f373d8505d858f5994ff8db387f874,157,310,255,290,0,0,14,0.434
487e20ce67e30e63ede4c14939f6616a7f62d965,1171,77,77,184,3,20,129,0.436
