id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
17e80c616c15bb9f848456b3dbd4a42f2ddb0646,851,53,309,48,2,25,172,0.003
1781e51f1202917dbef5517debf51544789365cd,488,22,110,22,1,13,1263,0.005
46369b529e0c88e51e7217e17ff9a2d0de284437,1008,6,1146,3,16,329,2924,0.007
0c74ad06562f8c6c86a7c043ab55455e9a3dd905,233,91,182,88,5,701,183,0.010
901e4ed88c20166c325a2473e3f660ee6ce284b3,522,28,204,39,10,165,270,0.011
b12af1b68f372061ff94ea078e3a02c26b9f5a98,862,198,1440,248,2,49,48,0.012
9f386a255759692e8510435966f5dd538b3c01d4,5599,2,616,2,1,91,1843,0.017
f800ea0a982ca83f96895325db78b3a58733e3ab,362,15,121,16,11,399,514,0.017
d7661ff8f9b88fb42a63e6a2e0a843c95582adcf,127,35,99,7,0,0,181,0.020
7f9fface82a6a2d69af553e48652b8c35bf0af46,349,39,1185,40,0,0,1641,0.022
99ebaa6f316bad05fb30516e4321064c1d11d6b9,286,44,232,58,6,324,855,0.022
3c2c091d5cc10fe5c37ac123c21894431289e878,1909,338,90,64,16,236,7743,0.027
cea6d261e464810f2285c2f1741d0a2d6d2961e3,207,14,146,13,0,0,37,0.035
7defe7e5ed3e2b6e55a7e24fe8b955718c71b3ac,157,69,237,67,1,5,0,0.036
f77aa32db1a2c0ab19b1bf2dc9c8f7f983350282,205,98,99,43,0,0,156,0.046
79d16082ea9e66e7729b564112cceead188e55ab,-1,-1,-1,-1,-1,-1,-1,0.049
0e95b20082816deaf0cda7094c813bc10adbb6ae,139,128,94,84,0,0,174,0.051
c91b41fd51253c052dd04d25d396833a0440f8cc,-1,-1,-1,-1,-1,-1,-1,0.051
0cca93ac3f1dafeaca7b4cb517048992a065fd73,414,73,191,72,12,287,353,0.056
9991b0fe4de554619dd7b8b276f68ad1ed3ad10f,-1,-1,-1,-1,-1,-1,-1,0.068
72d867d6aadcd9b9e1272b3fb805277b1f8d5911,1035,1589,579,1450,1,0,43976,0.069
edb0267928180a2cefc5ca6984c26569a0f54084,-1,-1,-1,-1,-1,-1,-1,0.071
0ed19ac234d3a039e17b9955aa2ae59ab277eb26,144,55,39,22,10,121,471,0.072
20ba42c4b56a7c8cde83550d2aa5fa48dbe4b490,1486,479,811,431,1,0,547,0.081
9889be452ec196b63496d5eba7c6c3b46f6c0b75,219,105,338,117,6,345,1210,0.089
0230339b283707f8120bf88a2832e8e11b820a95,437,162,298,158,1,20,73,0.102
baba8efbcf71ecabb986f1df9df93b97a8e783d1,537,67,806,65,1,86,3312,0.115
e032aa2bfbf713da16d6aab333f781db0e413609,232,97,33,96,0,0,7,0.119
2f1ca7e8d59cd1eb923c50cc3c51d66abfbabe56,230,44,64,15,0,0,101,0.119
ccc1528cdd26919d97656d374c7dad0f0c6f8d7b,399,157,285,147,0,0,58,0.120
b375440b500630902b8b51f53ffccf667b1f5a04,-1,-1,-1,-1,-1,-1,-1,0.123
604eb08ff23e7f5b5fc06dbdd500d971a91d16e2,175,37,87,36,0,0,18,0.133
bc6a6355c1d5e723c52f1f5aebc6de8995ad51e1,83,9,15,8,0,0,277,0.134
197cb1d0ddfc85863870738ab90620fc6636bd74,139,74,113,26,1,0,39,0.137
8c1cbdae873ec5bf62737b0fea863102a1905763,228,133,151,132,0,0,0,0.139
99885ef1c3726f1a45abf71b2eb4e5fd0b5d4e4b,161,82,251,78,26,576,25,0.140
ec69beb6c885435dd6f48bc5b6099ec86919e756,121,129,92,113,0,0,45,0.143
1bd07c782821560889d94c2a99ed7484b5ffd360,193,38,339,40,1,2,11,0.161
4db6d7d519c105557bebbce46b2dae451e9bbad9,1166,679,462,664,0,0,26,0.163
c7d7905c9f690425b9df2c743539954cfbc16104,-1,-1,-1,-1,-1,-1,-1,0.167
2a7b8b71c99562b417da7aa2562282073269a0f5,908,65,0,58,0,0,477,0.179
1244f8348d78ab08a759ac613641fd9cd32602a7,-1,-1,-1,-1,-1,-1,-1,0.185
4b37a4b4d1e279dbf13c60d7f4f5b57ea29577ed,327,101,222,75,0,0,11,0.185
f45004f00d15e979d9a2439506ca9844e21384d6,265,16,206,16,0,0,47,0.193
b3527763b6002615cd4acd5b81fd7d686ee7be76,1396,191,353,360,1,0,11,0.202
d9b6f28ba2180fdde860d51929e299a463da7f7e,383,19,166,20,1,15,5,0.208
fff876a0e8735485af82c5ecef6cc51bf7c1ae32,275,28,1027,4,0,0,372,0.217
1103c394e41672a1c8473c1957c32c15668cb4a0,448,281,77,107,2,87,834,0.218
f86bbd81cfbe84d48349891256a26fcc11923ac4,179,139,187,112,0,0,10,0.221
b52485023a171308ab3b508af840c66fa24f6607,-1,-1,-1,-1,-1,-1,-1,0.221
5dd3da7b3f4ec6c1d6b9845d237eb6ebdf15fac9,2704,116,583,111,1,0,362,0.225
b99d1a31dbc63357a70d79a2073e19dbd31f9556,255,56,297,56,2,0,20,0.226
ab3c49ceef10e3f77a94fbf55200eba182d64305,223,119,122,108,0,0,5,0.227
f12ef5faa6f50e9a597953638a7fbed15af492e1,-1,-1,-1,-1,-1,-1,-1,0.231
b059e1f67deaffbcb46d4718e26019a32bcedb3c,92,112,59,25,0,0,248,0.235
f9eb52bb6a7182efec0a6c6c8100129631cb7f8f,147,207,121,200,1,1,764,0.250
6b022f5cf6eb348fb6ff1d4c701a1a9d378f87b4,326,105,205,101,0,0,2,0.261
c50436082fe337806de6eb4186aefdcb6183b61b,544,102,56,58,5,119,73,0.261
e4f94282583f0a85f68296f8fc7ace4cdac5c1b5,-1,-1,-1,-1,-1,-1,-1,0.263
230e81cb039a9d65060f191405c2ae05f000923f,218,24,129,29,0,0,0,0.276
611f1abf97bd2b87321eef2957a9080e271e1cf6,387,48,100,48,0,0,1,0.283
e239561da3022fba1490586e60ff724bfd132043,159,94,67,79,1,0,0,0.285
2c6db8bbeeb48f4bb7b1847b4592f84f1dc5a7bc,-1,-1,-1,-1,-1,-1,-1,0.296
29dfc270b968a45e40327a05c77fde197fb75866,-1,-1,-1,-1,-1,-1,-1,0.296
142475b7d38f502834c4e2065ab2bf217e65d1ca,513,119,49,39,15,226,1294,0.297
558f8bb20eab95013699b651c93a1e2c3d6a0657,114,14,25,14,0,0,1,0.328
bd3a3f9a1b8a9492755b165432131ce382e0799f,130,269,50,87,4,36,487,0.335
b60621f943aac99c7e0b6cec0285631a45765e26,130,203,35,128,2,18,3,0.339
2c2c891b21582a947aaddc59b20567d47785cdf3,280,209,140,224,1,0,4,0.339
b36122353f913418ea2aa1770d8f309dc431b953,-1,-1,-1,-1,-1,-1,-1,0.365
710839c02932bd410ea9c7a42a376472d150dcab,-1,-1,-1,-1,-1,-1,-1,0.366
6f21fe87f09654f5c9e79396e2ff0232e57f0c9b,-1,-1,-1,-1,-1,-1,-1,0.368
85719019d6aa2adf1346229241322be6fa18b6a9,271,191,50,319,0,0,54,0.370
350d6b3b5232db162c4e68805569a27167f69e65,337,7,70,9,29,2645,6,0.382
2f024e9adbfc8c238b601a13da76d93fbd108dd5,76,15,16,2,4,105,9,0.385
991b869ad3c7416d31c4b4b14afafb34f5dfef9d,147,57,13,54,0,0,7,0.386
59046fdc2986f3ef108876108dd56734db5f22be,536,18,3,189,0,0,279,0.407
4be29e4f24ad7fcffd203fa8c9d69762c7dbbd20,100,47,48,46,3,47,719,0.420
d31bcd3dd54b126e0f74e529c6524eb64d33f312,258,158,60,172,1,0,6,0.420
460b607a8cd802029924b8f39bc4e8dc226452bd,614,218,40,123,3,0,5,0.424
e60635a1362ba16800835ee62f36c87a69bbfdf8,-1,-1,-1,-1,-1,-1,-1,0.425
1237b81fe8ebeec2256d2b93bf8cbffa0341af7b,225,43,46,45,0,0,3,0.449
c2ebb9df71666f27acd54f3b633a29500ad99aa3,121,13,84,13,0,0,6,0.455
0fbcae6bfe732104acded038b878b0c8d392f835,116,39,102,42,0,0,1,0.456
af1891d032f37e8bd08bfe5c7e2e3c94227425bc,220,145,151,150,0,0,15,0.468
8126c78a02fd7acb20ff978139ddf2369395d54a,77,852,28,793,0,0,6994,0.475
