id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
590235ca12e449593e54d32bf15a1b9105d3f096,212,14,67,12,0,0,433,0.000
667cc74348126dad9339865b5110bb78516ba6fa,-1,-1,-1,-1,-1,-1,-1,0.002
9f2a594a6e21c9e9a5d0f51f57c6e2d3cb47cb50,675,129,149,130,1,114,319,0.003
48937f7affa2827fff06dcda412347cdc5028f9f,61,8,27,6,1,2,48,0.003
e7565a8e3ad27dc7ab9e6e808ddc17f88e89f1af,92,6,136,6,0,0,1159,0.004
c5898f0542efe40277025f8dd8d27795b36db275,356,68,191,70,5,28,701,0.005
0185c2663b5c331c3e8fcc0b17bfed96126d46a9,102,2,57,2,3,135,64,0.005
9e8cda18fa2d810ce10e90607032636215231e86,209,44,136,47,7,88,561,0.005
1254a9f300e4cfc90a988f3651b2033d57620fa2,470,85,161,41,12,585,1305,0.006
3faaccbaab8eaabaff11aa3bfc04e75628041af9,184,64,164,51,0,0,118,0.006
8e0023342f6992b5e6a599d72f3405aedb44df27,-1,-1,-1,-1,-1,-1,-1,0.007
212b364d0e016301537ce96decfffffb10c2f21b,1935,234,1186,237,1,7,713,0.007
4f67fd303d3e38ead5ebf18ebb1241b66e0cc7c8,547,240,301,81,11,226,1413,0.007
8eae8fad2bd3d5ffcd5501d86f15352d468deb2f,625,420,770,401,10,485,3376,0.007
bf9e9744feb6b105f241bfb8f64cbb8eacc385fb,2214,98,157,141,13,399,3559,0.007
5dbb2369241e24f9e16ff1a2c581d7d00098915a,194,35,174,35,0,0,124,0.007
890575d95d51007dd1a0615ec8a43f3d48ec2124,124,86,82,89,2,47,50,0.011
e61a775d452b58f41a0266bc88496211c23b4dbf,48,2,29,2,4,24,49,0.011
d8e7b754ef964f8f5cf4277051b417bab5a5314e,1682,133,495,167,5,29,720,0.013
36365862f21016a81818ad01623c4df29ed53c3f,-1,-1,-1,-1,-1,-1,-1,0.014
da58b996b6688b343921dbbddb556be50d64b31f,-1,-1,-1,-1,-1,-1,-1,0.015
5620584b42e60d7204f6a45525640cb46f5d405c,-1,-1,-1,-1,-1,-1,-1,0.017
b9b781ed6ffdcba0a883bb160c7fc1b7bb3cdc54,-1,-1,-1,-1,-1,-1,-1,0.019
515279dce1973e39d45a67be4094691f2ce026a6,59,235,123,225,0,0,15,0.024
5251c5b307d59ff9b721a6fa108bced30f655ea5,232,22,179,53,7,27,294,0.027
7e7dfc294d242466b8255053afbd8854a1ad7375,455,30,153,38,3,44,314,0.027
1eb65d9c85c540c83d6dbaea15c0730153c3f9b6,1441,180,106,188,5,65,3555,0.031
7f58cee5598bed65a22fbc6b50f43ad9e068ee49,284,25,563,21,1,0,92,0.032
90c131208877331818b7287a5643145e820295bc,86,19,86,19,1,0,63,0.032
