id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2b16074396e754d1ac50b04e5f321804fbca3c31,-1,-1,-1,-1,-1,-1,-1,0.000
ed7c8518008718f4edc2a41c0385c72a814432da,1239,40,548,38,6,69,1081,0.001
2206f7643d5aa97546e6b6ba7713b74f800378f1,328,139,121,36,12,340,805,0.001
19b25f057212bc9568f86ede3298d977b0d3399c,-1,-1,-1,-1,-1,-1,-1,0.003
dbf3563eac531b14b375cb43392034713a61a088,905,227,452,221,2,178,785,0.003
cadac4c54a48b2f9d45aef5782196471e8fb096b,1248,43,121,46,1,0,113,0.003
07c3e3bd3242162c5463ba7c93048505ddc2305e,168,53,114,53,0,0,257,0.003
c740635841e474b3ce466849567a9457b8ff395a,249,37,70,39,0,0,90,0.003
bc626b425109c2df6e3f88ea0a0713d93f35b010,1416,102,421,105,9,534,688,0.003
54cd2accf8fe7726f529c23aea14e4ec23f5df9a,144,23,44,22,0,0,681,0.003
f547670e4ea92d2a49857bbf258d9571fe379b53,1051,95,95,37,0,0,69,0.003
a26c85f4f11cac91a28fcaf450b2dba10ceab15e,-1,-1,-1,-1,-1,-1,-1,0.004
72932146038faa750d600d1551c0c44b48a9ba67,300,42,60,12,10,519,245,0.004
973ebd1f84a5e81cec1c5d67f1e89bdaff4bc8a9,2624,104,139,101,0,0,1243,0.005
654e73abe7c85d5dfa6bd7e0cdf3485de5c77142,596,87,285,94,2,18,816,0.005
0e3e7007c4927cdbee1a873d1467eabe00d66677,251,91,201,87,1,2,416,0.005
459f10a7e06c3117164d0913605d1b22c63a25dd,660,36,256,37,0,0,412,0.005
2997b923ce88470f25afdbd7690a8719b903de1f,878,154,996,167,23,350,1376,0.006
05bf3b3e8b7a63a3820e4bfb811c46f128f4a903,2947,182,555,355,4,39,581,0.006
19d255c74f7dae7a20f07fcac5cdd2da6aac2995,-1,-1,-1,-1,-1,-1,-1,0.007
e63882e52cf4d61e4243540781f7e693e77ee995,-1,-1,-1,-1,-1,-1,-1,0.007
63b9731eba0821f5af04645fddb1ac56e2d0bb7b,844,10,60,15,7,383,115,0.008
51fbfe3b2261a4ec7a0903df8b3eed038ac11ccc,-1,-1,-1,-1,-1,-1,-1,0.008
161ae7a0669688514ce640afa373870cc043cb95,45,1,11,2,3,30,61,0.008
07c8bcdf109854553dca7f4c50396e8cd50a5660,250,49,45,48,0,0,45,0.008
bf5371da1ea26b9ffb40885541db54afaf2ea37e,29,16,11,0,1,14,88,0.009
2adc6035974af1f40b0f9154eb69382ecdfb4430,82,8,73,6,0,0,250,0.009
90b7dd3708ea7047eb887a24799178524d8f6699,608,127,80,119,1,11,4,0.009
d6e3818cf05eb215a8178f45eb80d645789336f7,-1,-1,-1,-1,-1,-1,-1,0.009
373899601ea2d7dc3a40ecd425c1ffd76cd01a0e,262,93,142,92,4,71,579,0.010
f11a3a40705c6a18b397977f6becdec484c57b87,135,20,70,18,0,0,1108,0.010
e00c0c93c085581200e17ec91db78fa096d54c25,-1,-1,-1,-1,-1,-1,-1,0.011
90cfd597ec5bf177266d10e7a3cb4d03045fe632,-1,-1,-1,-1,-1,-1,-1,0.011
05c720b91816ed1172cac8aa271ec1f62d104817,354,2,344,3,2,19,237,0.011
dfb596d65f5ef8dd54020db57668008611f40c08,500,20,55,20,0,0,1,0.011
f4f969f42071830e47c10bf80b8e94f9b7e581ad,157,10,106,10,0,0,494,0.011
38d528f8b0e13014f325cb64b54c81386e5d95dd,181,194,54,57,6,402,702,0.011
e0b0360fa7a5c7d3032254cb598c9c0c5602927f,240,33,100,36,10,808,166,0.012
ed36ef36335e278829f9d99cba01b72fbc56fc8d,331,16,72,16,0,0,585,0.012
983ccc5dd33d33c4bba044874bb446043b1a0ab6,240,146,342,143,1,0,10,0.012
989fb3b9a1e434da87687975a95528d2ad646418,-1,-1,-1,-1,-1,-1,-1,0.012
e12f2ed6b2ae4d4f8a3559f90329175dbdfb2cab,-1,-1,-1,-1,-1,-1,-1,0.013
25d6910151dde27345bd4e7249140bdf65e0e598,143,35,130,35,7,468,695,0.013
4d522fc51b6facc41cba5c6b443d2b216a69aa31,755,34,126,34,0,0,725,0.014
42671c74777d2ed01cc6e370bdb6733bfd6a7431,295,71,247,71,0,0,244,0.014
bbf4d52671bd493e5d6321565639c81e977179e0,1344,194,224,190,9,942,901,0.014
7b655212eac6b5b23c2b5475789fa4d520cff943,282,40,255,39,0,0,248,0.014
979294bbd7e750c8168ac569da04ac2a3b8c5784,163,19,154,18,1,1,1564,0.014
abe78f6420ce8671ef4783cef0d74ba125f8b5ed,-1,-1,-1,-1,-1,-1,-1,0.015
9633459cfa353c287be52644d2a2299dcbbd742b,-1,-1,-1,-1,-1,-1,-1,0.015
0e21143a7d2aeab22eca57e6fd26c48fdd4786cf,532,42,234,44,0,0,1554,0.015
777b3427501d004ef2c8d6cb8290be4e57d3d396,142,9,125,8,0,0,13,0.015
661c6645e8d0dbf694ccbe50d57f7a4c7975c417,-1,-1,-1,-1,-1,-1,-1,0.015
e6d020f45c1699f1350728ec7e46e84f8f4a1232,189,12,87,12,0,0,198,0.015
72af4c125da763294713cc26cdbe003a2ee396d8,394,627,409,213,4,59,6150,0.016
f7928daf75fcabe09628dc598a68d6a0fe6eb7f5,844,444,250,439,1,1,74,0.016
5a121dbc63ab04508ba7dbd8a5f69da3ae4d40e4,-1,-1,-1,-1,-1,-1,-1,0.016
f11d6f670ad899a0f5dd0dcbad33257d183fd72d,-1,-1,-1,-1,-1,-1,-1,0.016
29ff6bff7e0bbea5445532e366f785ee93a5e294,-1,-1,-1,-1,-1,-1,-1,0.016
f7ff35e109bf6e5c9c3415b2f68f54792e52b18e,200,22,262,23,1,65,31,0.016
c8f122adf53559534faa74f7dd6e091f8ec47e49,262,33,122,33,5,196,1094,0.016
38cb26ae29923b5f4004a0601d9ddd0955c16e47,405,29,371,28,0,0,611,0.016
