id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4c7af27dbb1565258e47c5d7d7eb82f34f8423f3,191,35,5,31,12,23,1083,0.005
fdbd727f390dfb293f26e6caced6dbe2e442fd76,68,70,8,70,0,0,3,0.125
9e5ef1fe01dba7f3dc058622b2234a0d9817ac44,185,82,51,53,5,94,3527,0.195
dd7b4c0956ab38002b227aa0e92a9bd9e5aab4e4,345,721,175,620,0,0,15,0.258
552653762f3fa0fd386ed964c6b0c200c1641ced,82,68,97,65,0,0,169,0.274
2523ef385026522a0f0b7004b75a8051426173fa,174,81,27,82,8,30,139,0.294
fbf3dd425e046135de7fc641d84918e9f73c4d97,164,26,57,26,0,0,0,0.303
d18d70abc75b48e1c47cfb4c029c59bc28c9f2a8,20,7,4,1,0,0,11,0.312
eb7f916de8bc35f7aa75575faeb90dddf24ff32f,-1,-1,-1,-1,-1,-1,-1,0.319
57007283e759ad97cea33f068c4dd0b944b46577,74,64,25,63,3,0,30,0.337
89b4471b05da9b56eb092d21716fa12f96813153,135,92,205,88,1,0,0,0.356
c1d658c60a93e09a24cf87a13f050bb24e937e7e,55,235,480,230,0,0,2,0.369
8402ab963ccdee698b6f161743144128eee389aa,82,122,4,120,1,0,0,0.373
4cefe51e7ac6a1222e7b92f79b4d294ae05c88d1,-1,-1,-1,-1,-1,-1,-1,0.384
94f5e4adb27c8c137cf69ce51a9d5ca0f4f9d3ea,188,195,69,182,0,0,17,0.386
fe26df2893881cb094d4c5fba1b85e2674589618,296,287,35,309,2,0,12,0.397
31e031f19afbaaa011e128c496fa80c36057f19e,127,5,26,3,1,17,93,0.398
2377e0004b2b1f8e88f8f1a412350341e57f6ad6,59,31,144,45,0,0,14,0.407
cd9145600646df556727b2c7c10122fafc4924fb,123,90,99,94,0,0,441,0.409
edadd6f0cc307c30a9bdb32de80ef7e7531b3f3a,152,26,31,36,0,0,13,0.411
2dd0d0f71d8cf225a9d244af02268b843769f32d,93,23,25,31,2,6,138,0.417
02e02296b253a22150fc9e845383ccf8bdc8b952,137,432,139,417,0,0,14,0.419
d8f4914f626d9a72577d6e608839e0ebff97b386,-1,-1,-1,-1,-1,-1,-1,0.425
470de341b91fac9fc2e25d06fad27fbbffc68c07,139,147,15,77,8,21,336,0.437
b428bf9256ecdde34d0e3baf5b48373116800a48,164,148,71,150,6,2,1298,0.442
38fb40e80e91b0e428e2b0c56dbace67a6a8dae8,51,52,17,38,0,0,5,0.459
5e8bfab064548b6064c689100ff9a081b14e4f9e,118,657,59,617,1,2,25,0.479
b8614b528729649d53f65399dc342255ccded191,38,82,14,50,1,0,55,0.482
b9f1712ea507b5bcae6c90f183ee092f585a7c4e,-1,-1,-1,-1,-1,-1,-1,0.498
7645f7cc661d84525b422c96127700e94347aff3,191,123,69,125,2,0,36,0.500
46ebe3dc6b1c45d57c7bcbeae2c9eb6b6ead5b81,5661,133,1190,401,0,0,0,0.505
32b63e7d36cbc95205e438fafb89670cc60a2395,61,26,22,27,2,1,195,0.527
56690f6a2c77c1c3157b1d6280054755c3cab485,148,739,163,709,0,0,237,0.529
29f5a7150de64bac5a4e36224a54d7c7aee17747,247,55,138,58,0,0,6,0.531
0cd7b50964b436d94205fd6d586b711c83bad11d,60,3,9,3,0,0,5,0.532
bbf6bc5be5554ac6901924798d87082f6d535a8e,-1,-1,-1,-1,-1,-1,-1,0.551
96218325dbcfc02fa3b81245f4a95d53b6493f28,135,29,44,26,0,0,6,0.551
b6da5916fffc98913054951856ab60436da41a69,-1,-1,-1,-1,-1,-1,-1,0.555
49e17e5c0da2167929feba7bbf2db18ddee44f7a,119,38,58,36,0,0,0,0.583
c1be4871610254a98d0c0ab800a27fdeb543b389,-1,-1,-1,-1,-1,-1,-1,0.586
0488bdcebd3441bf2981d10ee7730c6d8e18d874,-1,-1,-1,-1,-1,-1,-1,0.589
e089b947fd51533059734ada956b2f27cd4959af,69,2,12,2,0,0,113,0.596
a0c48c1281a2cc90d1594004cc98f0388f71ddc0,200,363,178,365,1,0,114,0.609
169c09e9a6370cd18316f92926b2fa222b9fb470,-1,-1,-1,-1,-1,-1,-1,0.616
dc31fd5f0f1bc7fccd4deb25750f0aa6c7ee50e5,152,181,74,174,0,0,75,0.617
514da1ad42acf4520361ea147a474cc13f169e7a,50,59,32,55,0,0,1,0.628
c6956e0ae595fb6a5221f7003291009fa3b43027,-1,-1,-1,-1,-1,-1,-1,0.662
7367c683ed4e6aaf5d5b9d807d50afa571359b28,77,4,4,4,0,0,44,0.665
9b48214af647695cbf84b0adeabad784ae8702da,-1,-1,-1,-1,-1,-1,-1,0.700
24b0e150e7fb513d0ab36127f21be8348240d887,58,16,11,8,0,0,2,0.706
f0bf36e218958ca4878e8749d8c6dabc978c1e23,-1,-1,-1,-1,-1,-1,-1,0.726
f8ef18da70242abaa2d94d7fb9bc136956f4aa42,106,182,15,177,1,0,62,0.727
