id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e451a9a51a86240fd3943377107b3c53301a2ba4,2615,74,1336,90,54,6269,4018,0.018
64c400e34e81482dda8ce9cd2b9f7dfff1c1eb9f,69,72,32,41,3,25,117,0.023
7f9fff0235f151b88445d3c936f08d7b08f632a4,1471,195,368,202,1,36,423,0.026
9bad710dbccb0e485d6e8f047eb019389972180e,296,65,376,60,1,55,493,0.043
4bd4f3f1bbd2c4e50ce147baecdf9c0504b9f955,478,185,573,177,0,0,171,0.056
a56c119c4d4c67289a79a73911fbea09b7578037,623,18,146,19,0,0,61,0.067
ea620ea10cef823ac019ab2c8d12d40136891a0a,598,161,376,147,0,0,575,0.068
df18ab199c625bb467ec3cdae47d947dae62c164,727,83,73,81,0,0,560,0.075
d3277452c4a2915371d45f9028cffb0822444fbd,501,25,378,24,0,0,3,0.082
d2087ad523086850b2a5085dbdd1bc266a7b6f4b,105,77,167,76,0,0,4,0.088
802fcb0719dbe24a9cdd2c5c2fcb8ae5ce3c0f51,197,39,36,36,0,0,38,0.088
d334980c40493b3e7acb1b58bf185f0bc052bba2,80,60,141,44,0,0,21,0.095
48046f9c75b5797c73bf7d27cfcd94432a4d025f,217,88,103,89,0,0,3,0.097
bce61f68120a798dff7560f46ade35a3ec88b04f,215,41,129,38,0,0,4,0.097
32407d1b4954d9c51c034a932fd55d53e0378063,274,99,598,95,3,0,25,0.102
fd43214de820ea354770caffb0d7e53ce80c096d,126,86,0,85,1,4,12,0.103
85437b63ecf922350b0cece4b442d517cd19c009,452,42,179,43,0,0,19,0.109
781d2a0fcbb503b40038fd80ad3aa46a394b7af9,8887,29,1191,33,1,0,182,0.110
681c391de60cb4c48c1529bddb46b3f9b1843715,299,199,28,195,1,0,35,0.114
f46e79d726e6bd1549293dd0593c233338adf878,-1,-1,-1,-1,-1,-1,-1,0.117
fd7e59b9947c86de8dfa64bfa37ca9080002403b,492,49,121,47,0,0,3,0.118
54ada670d1ebfc68ba925aa4a9a8727ac1f5d3c8,111,125,118,120,0,0,1,0.119
b52b953aa94ded2094d3eb609a1549918aade7d7,289,125,440,123,1,25,7,0.120
7f999a6d5234a701336f41b3c1e2d9bd109e5c50,165,134,263,132,0,0,5,0.121
46a90f68a130c7c72b17c014d9f76e474fc9ae92,136,84,170,79,0,0,2,0.124
1e59e8348db9e6273bed3bcce129e7397085621d,430,117,846,135,6,286,3341,0.124
a592a9daccb9264736d813f6d5f53dc81dbb4df1,192,28,40,37,0,0,0,0.126
e53d0e271db4e61d21853a2cbc0724b9b5a89c43,149,6,147,6,0,0,27,0.132
9ddcdca8bce9092d99fa414d693ebad563a50387,138,134,106,128,0,0,15,0.137
1e625e60c2b298ee08154609d1b8a77190c3c546,261,48,131,47,0,0,7,0.138
b0c45867e91944f61c472fdab34cf24092482921,278,152,411,148,1,1,14,0.139
3e6963fd64ffd848de850cc7ce9cd2112de91d71,71,93,61,69,0,0,8,0.142
6e82e3e56cfd2f33cf6191c2245074dc595fc5f5,265,22,76,21,1,0,1,0.144
e009140bf05c7d514e418052a9f14d6de7908a07,132,451,107,417,0,0,7,0.146
b61812a1850e2ae040022109a6a9eb9c4c63e33a,-1,-1,-1,-1,-1,-1,-1,0.146
449da702fcf9946845917f8fc7c427bb735d9eb2,390,163,144,193,1,17,1590,0.149
a944bd1beac37325dd5effde5933adb959bd0140,191,113,201,111,0,0,3,0.149
bf0d6495fbae2621e0c6650b9c9c731f389eb458,171,295,354,279,0,0,98,0.151
18559b3cbca8495892fab1022feac793745734cc,399,46,278,41,0,0,45,0.153
6455c6571937b56ab5220ef045496c7948c1270f,135,12,232,12,0,0,2,0.154
a6930fcd3bc1a2f84452bdc79261afbf924210e4,-1,-1,-1,-1,-1,-1,-1,0.156
4f30a7c2fe1393915efd7895e490f32ea10f4f89,95,85,112,78,0,0,16,0.157
1137acd9e74070b2af2ff09a90816fd09571c193,133,26,77,25,1,0,2,0.157
b737c390718ccd8ce01208958e379bd6a31da2a8,452,334,391,333,0,0,12,0.159
0a70d4f29ace574ea9305e16febc92c951723bd0,292,37,206,37,0,0,2,0.169
77def0ba60481c52ffe4a92fe86c2537be7c0920,215,21,152,21,26,1092,1260,0.170
82c195a6792ddc07c14d52c5cbf359812e4d1e2c,63,37,201,68,0,0,1058,0.173
0a5b836c2ac3312b668f4bcc84e2268f726e4536,101,66,104,64,0,0,3,0.176
f5456925751d121602fb662a8fa70f292e300259,209,96,241,94,0,0,16,0.185
348cf40aeb2b84cea139be831b09135223720eca,380,141,351,136,0,0,2,0.188
3c29d82cbc312b63a6be8afcf15954076c2b219b,275,50,126,36,0,0,4,0.192
6e90fd6ef1fff5bc7361cb916046acb9b1a02267,206,66,539,66,1,0,21,0.196
3c88f3dd01cf3a25efb34a304481e85ff45e95c8,327,33,44,31,0,0,51,0.198
ff9c6c58e43e9dbada370d37e8de4ea48f630442,309,39,153,36,1,0,7,0.198
6d15fc650e42d38ab19dc6904673bf64eaf23b2b,-1,-1,-1,-1,-1,-1,-1,0.200
5c00702ffb647ede34c143ebc5a0c081befca19b,-1,-1,-1,-1,-1,-1,-1,0.203
21e6a7e37b66f66d5aa479c8de18ed966767aa1e,716,43,208,42,2,28,257,0.204
f3506dfc82dda1370ca5ddbec17ee7f56e4a5f87,202,81,132,76,0,0,0,0.211
740f2b6b26002991077e5f280710bdadb34131df,201,16,260,16,1,0,9,0.216
c89193be150d3a77d1cd860138953bd41058e410,236,409,329,304,0,0,97,0.216
b537cb515b2bd2d7362fbfdf14a7b3a12f9091a1,56,209,616,199,1,0,0,0.217
0b17ae95669f00ce89d1f79830408099f910b816,272,51,5,51,1,20,29,0.218
e4d785193bd7118684bf2fefa3947b0d471acc14,114,6,142,6,0,0,175,0.223
8d33629e1e36088b47b85cc14245db14111fd177,88,108,149,107,0,0,1,0.226
83d6352c70362d222d3f13e898c17b7a67a7fec3,81,112,143,105,0,0,1,0.228
d83e5f3d81fa23324315141c7a5ec98bb3a435b6,41,2,126,1,0,0,0,0.228
e19c8d92e7385d1b25f38e4df6a702a09aaaca4a,-1,-1,-1,-1,-1,-1,-1,0.230
17978cce47cd561cd29953b0fb26b57cc4366f81,-1,-1,-1,-1,-1,-1,-1,0.231
f908ee6f9c949457174d22c3f279182c40aa6806,103,76,108,73,0,0,0,0.231
0856adcdb30acf1a2e45ee34f76b6f3a982d1730,463,92,344,88,0,0,2,0.231
04b932cfd4dccdbbb4030f0b124dfacd72a5ee85,182,-2,119,76,2,0,7,0.232
2b7b3310b16ced6c477a04d60bf5a986f5de262d,195,436,577,408,4,77,43061,0.233
7a3c9ecbd22d8d71a176dedb05ea5c21801a00b5,506,96,278,94,1,0,3,0.235
0fb3c90a9b6169c853bc650ac2e1d763330ff22f,108,22,44,19,0,0,1,0.236
3d90408c66e7895592c728afbad8676c83bdc3c9,174,172,220,177,0,0,0,0.238
c2067e9a856fcb6b1d9339f1d54b7a0e121d2621,120,0,75,0,1,0,3,0.239
fb44b473037c70cf1bce15560428ec0cd5213984,301,212,95,190,2,38,2060,0.239
e57e2442ef8ecb43ebca56ac59c158fdebe62ad0,137,111,64,106,10,0,7,0.241
d7536db63d471b1a64b294600928f7a00dac894a,99,472,194,231,4,25,2964,0.241
84ecbdab4f4b23796d98df9a93fc2712938f6727,179,165,296,161,1,4,11,0.242
8c831d08d1276ab8e28924183959407c9bc3fa18,150,25,137,25,0,0,110,0.242
b7ccec747643d1cc5d4e563dd1e6cef7132a2181,300,55,250,56,0,0,6,0.243
b3a2fbff426b1a26fdbeb479016417f357bd15da,52,67,82,62,1,0,2,0.246
26d1577300a096ff00b0a713ae526ff187fbf0ce,138,213,85,169,2,10,82,0.246
1a014543b745eae309fcdcb8ddaf0562d0aef7bf,96,88,317,86,0,0,9,0.247
074b55ff9c88d32ee047b544c057d075ef225636,147,171,89,159,0,0,21,0.250
225d0abb2e59f619303a534353392fcf1340b05f,-1,-1,-1,-1,-1,-1,-1,0.253
ca66b528773de4789859861f6d4e0ee75a95d833,439,743,383,434,1,0,267,0.254
b5f96d1170aa19b44a79ec5078f4e94f84ff3ae1,84,116,70,105,3,12,1582,0.254
ea376719a8f352624bc09236e32929d6bf5b4ff5,152,624,89,587,2,2,188,0.256
99be0db17d06d0ce4c654edc9b3e10fd76edfe90,192,79,44,78,1,1,45,0.258
273a2e6a2914f2c56b3e2706cb82e4e6830db3c6,0,33,133,30,2,4,1165,0.258
53dfd7426beee31052bbbba1ecd8939be7f60d05,35,288,341,336,1,0,10,0.259
5520d4710db795a7b417e56b5483081659218002,208,91,90,88,5,0,8,0.260
1196e31a4413cf7921e7949bb7963dac032cfa97,90,116,203,111,0,0,67,0.263
13dbcfd00fb3345fa20ecf99e06ac88f905cc4d9,287,54,62,54,0,0,3,0.265
09eaa5a88d6dc59ca29ac8056f142cfc4ce080fb,74,87,3,85,0,0,19,0.268
746a220d6121b5be8bdc0199efed9079a40a9e37,7,10,7,9,3,3,129,0.271
2ea6bcb2501c0518282a92e19374ce613f819f1b,50,25,87,11,1,2,198,0.273
ae605a044f11b824a845bac0e251379ba0303fe4,478,932,632,1101,1,14,1040,0.275
8766eb3147025afff4c0a6543adab37bb493356b,-1,-1,-1,-1,-1,-1,-1,0.275
830b0a6c34226e1e1d126204e1c78efeb70c9347,349,96,95,91,0,0,5,0.275
ffe4ecbd2e19d016d5e784b0cb21e06007ef763e,-1,-1,-1,-1,-1,-1,-1,0.277
b93d8dca997a768ce8a53fd847fa8e25ddc01a74,303,81,21,72,0,0,13,0.277
838db3fa600f184821b5ee70b8cb34b3911d727a,174,37,154,35,0,0,0,0.278
c9703390d0a74d1325d81289fcc8aad236b4b386,169,66,246,66,0,0,27,0.281
25eafdb12342fe836e0f3b636e5011a11f514e7e,-1,-1,-1,-1,-1,-1,-1,0.283
a8711313c33ae59c763e87e504f000a20afc96ae,45,27,15,18,1,11,405,0.288
951577a42ea0bc5819c6e2e860bb76b74ecc5fe0,217,188,156,179,0,0,58,0.292
f5f43c505ae712f49ac0a811ef9cb291aed43758,462,223,175,224,4,27,39,0.293
23c0c513bfd628e01df2f38e9d7f87c7cbbfc3d6,174,123,103,121,1,0,102,0.294
f24dafb33fd3ecb8365bdcf86ee846df911cfeee,19,157,49,151,0,0,0,0.298
aab6db13f86b7fcc3a129a9388d3b6d7679d7b4e,164,10,80,11,0,0,6,0.299
e6d156338038db6ac364bb560a03fd48af8f5ae4,415,118,145,160,3,0,0,0.300
bfdc1a657311a7c5b4c11c63f5f2951ebc34d98f,-1,-1,-1,-1,-1,-1,-1,0.301
6bf202a4fc2ee20250c4a654abe4d3a631080477,76,2,109,2,0,0,11,0.301
f78810368435f21614d2667a2629ae96e1fe2be5,124,64,175,60,0,0,4,0.301
5252ad13bd11c1302ded8055160dcf5a7a8df5aa,39,10,80,6,0,0,37,0.301
