id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
1cb0bb9fccb4696b0160dc85c8695c614d7406a7,486,85,325,95,1,9,154,0.003
317aa29fa1dd0b0b1795b909cd64a48d01be73b5,1680,390,667,365,35,20,27495,0.007
1710b8334997abed246c0bb49cfb3000f8c84d53,1693,176,711,162,10,538,772,0.008
fe6b41f5384545d753720d561b7c61a3541d3a30,2503,120,1431,168,4,488,2932,0.011
f8589b27f02cf53ee239989aa4ff29aad1c01162,473,84,315,25,4,143,3954,0.011
5d91feb76a38229b0add7b968068d58c31690f31,1538,158,135,176,2,3,824,0.022
352b65a8a008e3fb6e5f1e5f32eb572dbeb0d647,1638,161,1171,200,3,147,1846,0.022
ccd03abb54a2c871d8a953c7492e8b9c0f2336d4,-1,-1,-1,-1,-1,-1,-1,0.025
e1210e556e2807616bb0286e5157259f84ffa227,811,195,548,53,18,261,650,0.029
042a9d28046bdcd34fb035c6c0ef06576d765a7b,-1,-1,-1,-1,-1,-1,-1,0.033
df36a83cacaa7a90182daf69b8526627c3e7895c,-1,-1,-1,-1,-1,-1,-1,0.036
fe2067426faa441f1a0418bbf67217121b8471f4,861,177,144,158,3,41,2496,0.037
a33cdcfbccf2ef4138d6bd46787453c685af89d9,-1,-1,-1,-1,-1,-1,-1,0.040
8ed12633c05a5d611e2867010ca97b9f0554e6ac,727,245,354,221,0,0,247,0.042
e2706976544f227ba7d8e589ffdcaab5448d9aed,999,179,550,432,1,17,923,0.042
d06069e988474151c6105b9f06692316352acb11,521,71,297,69,1,12,358,0.043
7b047d9bb3f6522261340c328dd21754254dd863,879,29,227,9,0,0,641,0.044
43f1f7dc4c88ff6ba7488a4a2842ed7f038a7e40,-1,-1,-1,-1,-1,-1,-1,0.048
1fc25ab865d01f37ab39a2809a00c0ab02b9d169,-1,-1,-1,-1,-1,-1,-1,0.055
f6134e829fe589dbb7ef040de93a5d7dcbc4466a,-1,-1,-1,-1,-1,-1,-1,0.059
57eb20a9e75388f8e65cf49838980ccf3466a942,555,44,357,44,2,2,14,0.061
bbddfe97a03336b58ac89abe174691a32a322f8e,540,88,412,86,0,0,8,0.061
57f372c8e176d9fd08ad3e7d205546885a29ac86,151,17,83,18,1,1,5,0.064
7990bb8b9afc23ab1dfb7ede862b2bd18eaba930,-1,-1,-1,-1,-1,-1,-1,0.065
