id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b85a85e34e1bd9c6a5ba2800e41e22f4598ea64e,75,15,34,15,0,0,87,0.016
79fa8b67947734eb6abda3b68a2e712624099d47,448,322,556,129,0,0,5528,0.028
6e1991af4e894eb5fd13c8df921802680cdf4456,176,11,317,9,0,0,34,0.035
3a1d44d897b0c41e51f769c4e3858f593a3520c9,71,83,27,83,0,0,330,0.059
27230ba83df15986f67a05911cc6a08519f5392e,120,203,30,196,2,2,166,0.078
bd72ecd7316cde2dcb5624c4f32070a0b7be59f9,1121,188,818,182,1,69,2662,0.101
765453dedfc2541581316db9a9bee1e2f2ec6638,4202,187,36,176,19,203,3220,0.144
12619f87301efecad3dbf0fa961824a46e0e99a1,345,9,97,21,1,2,52,0.149
51b645fa00074e863a3a26b328a16b74f3723a51,265,127,92,162,2,7,393,0.160
c508bf986ac951e74aa5d8362a4f2ea43ce30d0e,129,189,257,157,0,0,19,0.168
1ed32dc1a0d25b2c0be3882450c05119cac232ea,182,138,95,160,0,0,298,0.233
4acfc0d3ce148f49c0a0efa97e00c01006b08596,442,37,560,36,1,22,33,0.266
091581f535a20225c57995254019a1cc18c1bb9a,-1,-1,-1,-1,-1,-1,-1,0.266
1030eaeca2ba7098654f6a78a9c41dc917670da0,51,78,209,76,1,0,172,0.277
f92a073242cc14e0e0dedc287ba8b88318f5df33,109,331,93,262,1,0,288,0.288
ac65e2bdf5f75be888c4a4c91cb1d5bbb6b24ccf,295,482,223,415,1,0,2,0.294
bf2d67dfeee7570db9a363bad159fa0e3e6b0c4d,-1,-1,-1,-1,-1,-1,-1,0.301
8603b445e48addf90a4070b2c08991b2c02dbe34,31,59,146,52,12,0,9,0.303
b564741d4df342e3d1e71ebd0d5f8b554da9a0dc,211,4,4,30,0,0,122,0.309
4c8e1b729869034404fac8b6a3e9cd484873b84b,369,146,72,115,3,0,163,0.317
899252c2c3e98be6792899b249b9702bfeea7f59,139,924,753,858,0,0,8,0.319
7f1b6ea375bebc3314ab73f40e1848b0da891c3a,-1,-1,-1,-1,-1,-1,-1,0.322
9e9e69afaebd515cb7a12a60fa4426ddeb238f85,155,271,126,262,0,0,8,0.326
773e21a95a17a305a02deaccace0525d261347d4,444,52,12,98,0,0,474,0.340
0ce0ba8ef6c3f1213daff16dc163264f4a0b593d,122,49,2,60,21,35,343,0.341
899c57dfa7191622dfc15e8d0695534a8d0ddee3,107,78,76,75,3,44,279,0.346
f4ad9c6b4e92f0a382dde753d8605ec499a407b7,125,51,40,53,35,4,637,0.362
cdc191fbe50a285d436a9412d480cc6097034dd4,211,87,148,85,0,0,21,0.363
4af6ab36de94ddfd1ce0681ca7aac1674bb4d089,279,185,18,186,13,343,1017,0.370
ba8f8b8116ad3e9868944aff5d48b9f0490916f4,4189,108,2,190,1,38,302,0.372
d795959ed4cd5cc198c389c4cc84765c54095d8c,75,77,9,67,0,0,297,0.397
c8e25b74d8515fddd03daf8d534bbd0c5ce7b82e,84,20,0,5,0,0,3,0.401
2ceda0b5f9c8a66386a8360034c616dba4f42cb0,141,141,7,93,2,8,178,0.401
ecf8284c65f5941746b40f437159277fe9a8e36e,71,39,2,13,4,24,310,0.403
70be51cb0c9c712fc7878b9250ffb03e839a1f6e,-1,-1,-1,-1,-1,-1,-1,0.412
8b3e36c903e4910ae773af7dcb6c768f3e0db782,78,1,31,1,3,13,21,0.420
063a3425518dd9affd122d498b5215478b03f9e2,-1,-1,-1,-1,-1,-1,-1,0.424
36ec6fe9860608bde4c34395bdd3692b083c66d7,111,155,14,115,12,319,916,0.433
d36c292e840563b64a64f9206c15d6e61f4cf5c7,274,187,7,230,18,156,7,0.454
62fb8aaaa85c13b756a72f768e5541bad52b62cb,110,122,20,117,1,0,5,0.458
cb9fb4f0d0da4bd2d7592483bf22be19e3d1139c,-1,-1,-1,-1,-1,-1,-1,0.466
f8e5dd5c12673ba8e1ce7bf75235c6e362e67a65,563,61,78,79,2,0,0,0.467
a9798424751f5cf8362245b7c916a96325d4627b,499,6,0,282,0,0,51,0.469
8a3a6953fe4a8c59858c6ff5e4d072c3364211e5,36,14,2,10,5,31,378,0.469
