id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7d98ea853d61f00aee3b2f33bc4639171ec32426,194,44,33,18,1,3,219,0.023
2c9e8100316b02e3c1745e4965d130acd3ad87f5,387,92,75,32,55,1598,468,0.085
66f8f7eba7d555ae299b6c060b0c6c5f3186a734,-1,-1,-1,-1,-1,-1,-1,0.200
acb3b43c525268403e6c32dbeb91f488ce07fced,213,4,141,5,0,0,8,0.257
1554bf4641b957d978ed5d43da9e1042a9efcb15,-1,-1,-1,-1,-1,-1,-1,0.283
61a868b2ccffafdd6c42da887a9b77f30a1bcfae,151,25,887,24,1,14,16,0.290
be5ef6fd22b949fb10f8b7101764f473ff97faeb,73,80,84,85,20,0,567,0.298
c9b98be8d74e1cd5cdf9389bddc93fdaf1df8811,117,90,69,88,0,0,159,0.319
a1bed327a8aee7a9c4339a4dfc1946220b0bc721,-1,-1,-1,-1,-1,-1,-1,0.322
9993b18ca476f33ee7374ea7ac8fed08308bc742,499,66,91,61,1,0,22,0.335
9d509c99ab2bb478b2d3cf4b546f81cf8fa6b7f9,63,73,48,71,0,0,637,0.354
137bc89e09ef89a26d6e6e2c4e2686f1ed50309f,143,60,34,57,0,0,632,0.388
142cccf75024041b2f33b016837c432969730ea3,129,89,354,85,1,8,0,0.390
0f6187e7a7e27505da4ef00dae023f0551e3f831,56,753,74,534,1,0,1072,0.395
70fa9479854177904dc16ff8aae3b6b16dc15018,100,113,90,99,0,0,6,0.432
1b117b6bda58db18460592d0a493f6d06a970279,347,1775,1074,1700,3,0,160,0.485
3908c681910f054518d45fce22ec199c86cb9f1f,7,528,27,497,2,2189,24,0.699
c3d391272e11dc30c383084c64bcf9fe6388d547,338,103,72,100,0,0,49,0.739
061e484d4bed927607ba1f3eefa8d47cd955f3ec,7,25,0,27,0,0,19,0.908
162fcc69a45ac28beefa1df47447bd4df2f27e4d,9,17,0,11,0,0,4,0.959
