id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
43da8d179efce132fb53741d4cb27f2a19c567dd,711,23,254,22,2,166,194,0.011
d1cdac2982cdb2ab8c45257c1676689c9a2b09ad,78,80,24,32,1,3,90,0.040
7e0911909ae637cac4dc8112808171ec803832cc,112,8,651,9,0,0,39,0.048
11fbaadcec34a2c3b7476ad4b037f3d062bbc8bd,67,58,269,59,0,0,0,0.257
7dce548bace9818b8adbc9df8230aa38d575b1a3,-1,-1,-1,-1,-1,-1,-1,0.280
f56272c32a556c0fff6c331a12b3bf54138a9ee0,42,14,54,13,3,0,173,0.282
fd7e2ac9b1de9bb4dd70004c27c2678052a3bc9d,75,280,197,276,1,1,162,0.312
6fcf9cebb1e132ead5cc8e9711e6a5aa83a4aaa6,82,25,58,21,10,55,544,0.327
eb6b709f99741b602b790e20d5801b660e6cf2c8,-1,-1,-1,-1,-1,-1,-1,0.335
9a68ec2cce07b2766530bd9a71b88a5ef85ae44e,89,79,160,79,0,0,18,0.339
2b6d972cd0c2ba694a8f7e0094632885b33a62e4,99,21,51,22,1,7,34,0.358
f27339db162a820e2e717155ee74129c5b9cd9b1,-1,-1,-1,-1,-1,-1,-1,0.366
94cb27e1138eb497ec1a976b3d909ccb5c7102c3,22,45,55,45,0,0,3,0.385
f52b68ea5fdd0a5578606701a5fc39de6b472712,-1,-1,-1,-1,-1,-1,-1,0.386
7fd2c2bc9a994429dc788cab7e94e5d04ec5ebb6,99,169,72,166,1,0,5,0.389
d52204e42bd994403ded295efab376109d189195,77,80,39,78,2,23,1589,0.395
50e8e1cf34433777c35a66ffeaa62bee21ba7645,80,245,69,236,1,0,0,0.412
0c27db9a48ae6afc6db47024fd177d6460864294,72,428,56,272,2,0,13,0.478
95b211ea9eb5bd4da650502142598f162dc2bbdd,-1,-1,-1,-1,-1,-1,-1,0.496
81a14dd6fc151f465c1e18e7c16d5fc1dedb626c,1,4,0,2,0,0,1,0.507
580044b12fba41c58cc602a6542e397991b5b7fc,466,69,188,73,1,6,27,0.509
0cebea3a89ec4fc881be2a4a5286667202f47352,97,213,137,225,0,0,1,0.516
a0dc078efbed06fdd1db4111bdfbe3145002e8a4,-1,-1,-1,-1,-1,-1,-1,0.549
622316b97cd34addfa44175f28c98e9abd9f51f8,39,136,73,225,1,0,2,0.550
f20f35fceca41eb297e8922c5d625298958255f5,146,111,95,108,1,0,7,0.711
d03c63be5bc2bbbec5df0c1c6f36223347b3716f,180,158,88,151,1,1,7,0.771
393e7927baffdab18911af44926c7026990e1625,-1,-1,-1,-1,-1,-1,-1,0.927
