id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
deb3f844018b1393d950d50af415b37f9514c0d1,254,75,42,73,0,0,247,0.002
6550ccc068f60bd53dbecc0d19319915082c2866,288,184,163,53,5,21,483,0.004
532818e0322de9a024b37bf5e2c1e411f8eb79ab,-1,-1,-1,-1,-1,-1,-1,0.006
36ccd99fe3f26eea9620265e6d29e06553111355,8104,5,6,41,0,0,235,0.006
6cdb1e0a11893675e644e8b213d8c1114dd61df6,68,56,140,51,1,3,15,0.006
5d9178a3e31e87b1ddefa7884ac0a238b530b95d,703,43,37,43,2,34,165,0.010
00ae51ce5e2b9ad4c08db809e1d129282990f3ab,734,73,308,71,0,0,674,0.011
998c36be5ba3b2e40e397028a41d6ba187844d77,1015,129,292,126,1,774,34,0.011
7f7beba583388ae253e4e9e211686bce82cbd6b1,789,24,55,33,0,0,99,0.011
dc2d85c0b70d56fd738df5c7395fd338848a091f,413,48,354,46,0,0,13,0.013
e447d6d535f347f2369d46c35db47f02fc70c3ab,1927,7,261,617,0,0,0,0.017
a111a41eaff3252fb08a46978fed80e2e288bb2f,266,61,78,60,0,0,95,0.017
e8514156bdca8fb8d15b72c487459fa499750385,815,326,1072,344,11,265,879,0.018
fe9751b9dca88cba8bff02825fc4f1df9344df0e,-1,-1,-1,-1,-1,-1,-1,0.019
0e0ba412d8af0200835eaf61f5cf1d5cc1b45070,338,56,245,58,1,0,395,0.019
0014b8265ee3fadeb7685ae7619c628af923a43e,-1,-1,-1,-1,-1,-1,-1,0.020
82bd8cb238b22f8eaa31e204e6030e56e1737680,-1,-1,-1,-1,-1,-1,-1,0.023
3e4541392a4f6efc7ba8d77eb646e6510a8b1aa7,240,46,244,24,2,361,2983,0.026
84a601254e5ca1807ee66259cf6683d74ee4f905,9740,151,1106,147,1,0,4002,0.026
9aafd87a8f9f4e045798ef1ea23c517364f66127,7734,88,4959,659,66,2498,3121,0.033
aab39ce4e52dc74db54077ab33b8dae221abb291,285,48,331,48,0,0,318,0.034
c01e96338edd6e16ed18f1d420096c79f1a3bc48,233,64,548,72,2,41,1025,0.038
ee780e3527b60e1287042d57e432873781b88013,588,258,151,231,2,5,1710,0.039
db57067211cd8a06430e6894b88f5a9e111712a1,5344,45,409,43,2,44,96,0.040
e32df61fb4419869cf654c22a41b7451747b0659,460,70,167,73,2,42,189,0.040
ccd67761b387d3439b7db31674419416e9d475d5,504,117,245,110,0,0,50,0.040
4182281eb15a166451e7a8550249aa89a2a83782,131,300,217,294,0,0,629,0.042
4ef9973a2455957691de2c8354135f188e99c5d3,-1,-1,-1,-1,-1,-1,-1,0.042
54dc2584ef070975318b8dfa631552c2817e0f3a,284,166,61,46,8,226,533,0.042
9f0aced96915ec690f75f274e219b42d1b8f450a,202,157,180,90,0,0,18,0.042
2fa5f168b450a3054e03570325579e5a73eb6c0f,37,40,378,44,3,216,62,0.043
14f509dbe3de05a14217bc175d8185a64324959f,1130,94,186,132,0,0,32,0.045
bb691508c1deade15c5c228aa55a99b1f552d4dd,285,20,123,18,0,0,35,0.046
