id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
13408c5498f1cb0ca00dd230a061d88a5c10adc9,146,41,3,34,1,0,3,0.330
503af6432156f303bf3d149fe11273ec9c468d9c,115,281,332,269,2,0,1,0.376
5a8095c23468de8fece2d261a6d8504e7ae802f6,152,121,15,132,6,4,18,0.542
18e33bb233029a0c1d30e1095919e5ba6f93f443,293,21,3092,18,1,1,2961,0.632
2cb94ee3f8c1a48ed9177e75896d80a8fb751d49,-1,-1,-1,-1,-1,-1,-1,0.652
bee4407f7c9e3778623017e4ae24a04e633e0f0a,-1,-1,-1,-1,-1,-1,-1,0.653
d4f46e2cf053167501b9d9fed48189b1a382c6df,-1,-1,-1,-1,-1,-1,-1,0.667
25b8a4eacf996d723ea0a722cce83c3127b2d460,153,304,31,322,3,4,209,0.721
a786846b1d1a8296c15cda7f0c0254472d81757d,-1,-1,-1,-1,-1,-1,-1,0.764
161851850506a9d2960de933db117092e4be629d,-1,-1,-1,-1,-1,-1,-1,0.766
a860dedad0def0a1e05f724dfa072e3ab7693b0f,-1,-1,-1,-1,-1,-1,-1,0.788
42c79b547a2f1faa34e8174fa374da1c08007af4,122,58,47,79,3,0,3,0.808
d33db9a5e1efccc64ab27683bd9e48c589ab486d,19,31,3,23,1,1,15,0.829
9c8ba84d82eb822900fbfe5d43971dfa95c35c9d,-1,-1,-1,-1,-1,-1,-1,0.829
08a3b4d03f9287870b07453c4d06df3069686f97,68,71,28,50,1,0,4,0.838
64be18153181bda35f2518eb548308fd8109a30d,13,1,6,1,0,0,6,0.849
43a787ab83ad832bd68d133f00fd9f8318c10663,-1,-1,-1,-1,-1,-1,-1,0.855
b4c66b2c527daaf83c38923d3bb38a60543786a8,-1,-1,-1,-1,-1,-1,-1,0.869
be5f38817ef942259107f20e6d0b00eac6340aa5,-1,-1,-1,-1,-1,-1,-1,0.870
2a9e3ae71d8e4f5586589bd026af609f6a303250,48,11,26,10,0,0,29,0.872
abfac64e80f94fee8610de0e371a420bcacbbbff,7,57,34,51,0,0,48,0.874
d20ae600716be461f98a5e5a67ad7ff8356d1df7,-1,-1,-1,-1,-1,-1,-1,0.881
798c0929ada932897153a39c9d7604b7ac05d379,116,58,7,70,1,7,55,0.881
8dbe04152703930d0ec50be3f3b335895d6f0c3b,-1,-1,-1,-1,-1,-1,-1,0.883
a815c73f91c79889390f691e4773eea259308ef5,7,0,9,1,0,0,2,0.885
054df6342e50f49d6bc4cdc20ceb6db78d10f641,-1,-1,-1,-1,-1,-1,-1,0.896
ffea9b5e0025f2ca6cab4625f9d386e93e113fe6,107,52,4,65,1,1,10,0.908
d36d57724ce92db662f1fd949db3e93851a57adf,171,310,88,292,1,0,23,0.915
5819e662736b1dee106d7e78fe9bea6c2cbe7464,-1,-1,-1,-1,-1,-1,-1,0.922
2fb0c22545e9e242d3aa177dc79d547e7b888fbe,-1,-1,-1,-1,-1,-1,-1,0.938
e18b662cfe5e9dadc427711ec678b6b32906615c,9,0,2,0,0,0,1,0.957
