id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2728d1098ea4825e5c828a67217e7cd5e4bdcae4,1792,139,1057,134,23,902,521,0.001
bf6a5b660f276e983c39e74d3e773802b7563012,3676,66,744,78,0,0,503,0.005
ba8d8ab0fc528e6d483cfe79db42a58c11d7dfb2,1666,9,689,8,0,0,1239,0.008
ccc4166bf82fe3366baf80292ff2ddeebe2c9524,-1,-1,-1,-1,-1,-1,-1,0.009
648904f6266445898a3ac4a22d7af5eb219c91f6,210,9,36,4,16,1281,352,0.011
e945163654c0a5950e37bf4d29ba48e1526685e5,824,120,809,115,2,39,337,0.033
328194231eab90ff1c157549a18963efd7daafa1,527,284,978,272,3,117,999,0.034
8f81e47651abff08d19c582ae9d78c8236d8060a,385,71,93,76,0,0,77,0.045
24a1558d1207c08cbe7039748c5072aad3a42ff3,174,123,267,115,0,0,6,0.050
7a7407985ac1b24a5782b672308a22f5e2b3ec1e,320,75,137,68,1,0,0,0.050
aeaec8e0f0018e152b18b811f7fc0365c4e23fa4,64,24,46,23,1,7,137,0.058
e1d93c675275122fdc3cab59b894b6d9fc0a73bd,319,51,0,38,0,0,0,0.066
53eac624982e7fbcfabf1ae9f69c098fb52dc62b,128,109,49,57,6,6,471,0.066
6051e5f0e3ccac2ab6718e874a7865d9bf471a9a,78,30,174,30,0,0,51,0.069
382f5fbe881cad2d2d6261fc74f102fccb5bb1df,155,145,49,63,0,0,1,0.085
34d772d9518ae7d04e320876f2265e387d179f0a,-1,-1,-1,-1,-1,-1,-1,0.089
b206af907e65bc2a7d9b381363f2a588e431cbb8,133,80,129,75,0,0,13,0.101
6114e7e43299b45a906253295eb866679e0e1ed3,92,2,20,4,1,0,16,0.103
b3cec756b7ff21571eb659b3c0c398b3ac2e6675,671,61,90,78,1,4,8,0.111
5bde3432528bdbd4a5418af4182246045fd5bb4d,412,139,95,41,3,163,227,0.111
a5e9fded9605905c66aa435c933a2b29c40a5610,634,46,229,58,2,13,259,0.114
c48d165c200139bf846d74804e4eddfd946c0026,459,40,134,39,2,0,7,0.118
aa6796ada824bd6f87b65889996c683851d1362c,150,56,81,37,0,0,216,0.125
350fadef5cd1812b17d9c9de3f8e67c40ef23603,153,25,128,25,0,0,0,0.125
26f665315c19b92a60be6cae66277125eef85dd7,132,51,55,48,1,2,4,0.139
9dcfd7dc6f521b858b48b4ff917f8fdf320a27cc,-1,-1,-1,-1,-1,-1,-1,0.141
2b00455987226fadeee6c5bc0f4b7ea3b4c2a6aa,141,43,254,39,1,0,4,0.143
f2a5fd2b16d5656c800bc4654ffd63f8441090a2,1404,847,1204,870,2,0,190,0.144
42455d5cf8028f64541c224aab93d4e9ada434a6,209,72,156,69,2,3,60,0.148
b5a8c6b908c74ed56456070d1e5bf4792f589d3f,-1,-1,-1,-1,-1,-1,-1,0.148
1ff45cfc33d41d96fc06af3c20939b818412281b,125,26,101,31,0,0,7,0.149
5b13280300cf09c83d4294aea47fd05203db7dbf,116,53,176,51,2,0,29,0.149
c2c27417a0bc9710e995249e54370e6c97610bda,-1,-1,-1,-1,-1,-1,-1,0.149
5c354428fd5aed09e012ee9efc0cfcd29977e402,909,38,271,37,1,175,1147,0.150
4190c18ca98c8993b2f18ae0b204b3f8d5bc2061,-1,-1,-1,-1,-1,-1,-1,0.153
8f6c9c31b24b502b5958af4dc059c5cacb0e0ffb,228,54,384,54,1,0,55,0.156
505784c031fa20374bb7e4e45998dec3c0876f47,71,15,70,17,4,0,102,0.157
4cf966b03bc39d3d8f8d218b8c27df6ce4944d7c,79,43,116,46,0,0,22,0.157
917aec4d1daebe5774b4e428ed5f0c555ed59aa5,132,89,270,86,0,0,9,0.157
a2ac350d926528627d70f805741a71c65fc9bcbf,150,70,348,64,1,6,4,0.157
40f27774544705fc36e11ef734b041ed7b22e143,108,79,198,76,1,0,1410,0.159
c4b3cf54df698bc9ebd3c8356e1320eb19a7cf54,153,23,142,22,0,0,5,0.160
ececef24fe7b09d016b8bbf90f84cfe8a6b447d3,139,46,103,45,0,0,4,0.167
e575f0ab9d8057aadca1837faa4dfdc14b578b0b,81,10,113,10,2,8,1,0.169
2388db292ae34d5c41bf569aea38c526d5238a63,92,67,230,62,2,291,100,0.172
122cf9658925cca75d8bad6d49dcb3b97da80641,84,26,63,14,0,0,3,0.173
e34eb5cb48649e8c3673919bfdf91b012908bf55,893,168,329,146,2,70,172,0.176
f8e756e879dfc5567e0ce5e7662b506282082a97,375,6,57,6,0,0,87,0.183
f3846f7d21d2a9d086523bd5e1d972367c1a2fa5,381,46,300,48,2,107,3,0.186
ed48e88ff8ac909a048c50ce6a67417ec8636a03,-1,-1,-1,-1,-1,-1,-1,0.189
a45e444560604b807621c7e504fd35faf40f139f,318,117,75,105,1,143,650,0.190
7bed05d493f44ff6d3ebf8375f838dde30ee6d9b,1167,30,198,27,1,14,110,0.190
466ed1a64a32a188ee14f45a5319adaa38fe1ff6,1508,119,11928,1639,0,0,2,0.193
905c54e2190b12e2a09988274f67dafa304115be,47,64,48,71,0,0,2,0.193
aa9913f16ed009f5b784d9d5cff8a45fda6f0779,95,45,65,26,1,0,1,0.195
327a7fc716b5a762f8cf439f7f90d680a604e7fb,169,89,226,82,1,0,0,0.208
ac9d7071222184a29a14e94d5a75afb50bdff417,95,36,361,44,2,0,36,0.211
0f4098ec9a11f81965ac3807f73e30b531fd324b,-1,-1,-1,-1,-1,-1,-1,0.212
bb1da0238fd0910820fb5dbbd314fa9bb0ea9200,-1,-1,-1,-1,-1,-1,-1,0.215
c88c6695d574e8c8d203a7f576b3ffad62436701,172,115,64,54,0,0,295,0.217
d6f0fa674e18e52523723213c06d440047b02c18,95,29,37,27,1,0,177,0.217
e2667a02c6af57d145bf78a21042b16423ab5096,113,497,1553,544,2,37,972,0.218
b16f86fbaf854554d69334ef1baf541358373779,-1,-1,-1,-1,-1,-1,-1,0.219
38d7f34a5a6cc86e3f26880dd1b4657a385981f0,-1,-1,-1,-1,-1,-1,-1,0.220
e1b7bb1ffe94b6fd2fa7e80d1322a961c00c6ace,148,52,421,48,0,0,2,0.222
76c14ddbf122ba3a9679897ca2b209910de0f525,124,16,74,6,2,2,99,0.222
ee9af30fc8c20a40b5c003ef80fe81a1bb09dcb1,155,56,126,53,1,0,9,0.222
7263b390e67f18cb864e8fb6afa7e935ed324778,-1,-1,-1,-1,-1,-1,-1,0.224
414cdb29d50b4ff1f8c24fa9105a8670310b50ae,2811,93,552,198,0,0,45,0.225
00f50db11b7d22bc88a9ae263878c587d08457fe,-1,-1,-1,-1,-1,-1,-1,0.225
9dd732d58d0519aec5017c522490bcdb127f0e7b,262,92,229,86,1,1,209,0.226
b05a2762bf793cbaa54f687e4fe959d1bd41837a,207,1,225,1,0,0,0,0.227
840874492b7caccdc1203914bb14f7bee0e00323,255,272,187,250,3,0,43,0.233
085767d74451031192b2b7e277da4e33cb3130e7,262,51,125,47,0,0,78,0.234
ab4d002e214cd318b517493db6a70800b005c7b7,113,262,237,250,2,15,4,0.235
0106d850309938c3c91a7ab87179e71877d789bf,439,642,1012,109,1,4,8,0.236
290659a4abfbded17fb1b9cebe3d4d148cd98823,96,38,299,40,2,35,333,0.236
446d9e6f27053b00c42b5203b8f24b10cbf78984,-1,-1,-1,-1,-1,-1,-1,0.238
cfdd6b4cb95daa8d995ab7a5d67b371e5ca8fa21,82,78,308,74,3,8,147,0.238
40748bfbfd355b26b4165ea2d9ecd0b5c14aed40,75,4,41,3,1,6,0,0.239
e3cfca4bf08d4b8e67ca33ee0f17ddfc6084911e,224,356,100,163,1,1,1228,0.242
15225cdec94df164d933892069a26e5bbd1de7d6,59,24,97,22,0,0,7,0.243
84a194671df1c56d7346acde5a2dfa294916400e,149,60,61,59,2,32,39,0.243
40b0b9bfac03a177cc2237c928ccd95fa1cd9c8e,136,152,229,88,1,18,6,0.250
f94f74eeadff11ea647d73f4319bf0cf03d4053f,42,52,8,48,0,0,1,0.250
f64e16c2ca0bd8fedf0eb8690028f12e20936483,177,40,119,40,1,2,2,0.252
37e86855a30d764b208a541e0be25ca84349702d,-1,-1,-1,-1,-1,-1,-1,0.254
b2c25393d93d34b41393bb6e251ef182db409698,-1,-1,-1,-1,-1,-1,-1,0.262
7948d57eac91abef2257aad89757ec70a9d9106d,6,4,4,0,0,0,8,0.265
b0da3f92b0a2a3b1dd4af01aa0b4da9744d5b338,573,1000,161,748,1,3,313,0.267
b1a0064c4e6fda81feb81f493298bb38c587e410,388,51,383,51,0,0,1,0.269
c746082b6e72d471ae669937671cc40be910edeb,157,132,63,128,1,1,16742,0.270
63d02fc124460ae10c583520f221d1a97411ab61,-1,-1,-1,-1,-1,-1,-1,0.272
77b597afa373e496fc2193546accdf3a83e13f6a,336,23,76,24,0,0,64,0.273
16575aa164ac666315a1311a58600c0806a15d69,-1,-1,-1,-1,-1,-1,-1,0.274
13546371f0b5285607ad2d51f2ce70bfd2ecacee,405,62,51,65,1,6,12,0.274
6eda3ced676bf011bf8eff30920285dcc0eba043,120,106,292,104,1,0,18,0.280
23af8e1030273c31898a1f930d232b53ab501fd6,183,8,62,5,0,0,41,0.281
6085e9efc1fd1138f3d7f762e39b9f71cba311cc,-1,-1,-1,-1,-1,-1,-1,0.285
ccf692a6c688e58b64ff79b814dd8b93d2b277e1,123,130,72,123,1,0,0,0.286
8726bdc138f61f2e2f561e0b52f81e734a9f226e,216,70,286,67,0,0,21,0.287
68727b379bab94ffe6bf24a0dd825f30cfd2c161,-1,-1,-1,-1,-1,-1,-1,0.287
c90e5548a79a35996c07eb0e3cc0e5ba07057848,101,74,32,35,1,0,53,0.289
a41318b3675f6011abac179a3b7ad15c44d4bbef,64,18,115,16,1,0,104,0.298
73793838e3feeec8ebd043b1628927e2bcc47ecd,250,117,83,114,0,0,26,0.301
0aef507d100ac491003e043bba059827dd00768e,-1,-1,-1,-1,-1,-1,-1,0.302
29f2fc17187f5220b5825890bb3009d7ac7f0896,257,12,160,12,0,0,105,0.307
eb2b86047b068bb2824907996c4507ccdba867c7,430,173,106,162,0,0,18,0.311
ff75455b8e71437e79bbd742166c9052c17b6ef0,153,98,117,96,3,117,181,0.313
3e36e95abd70450b5b50d2e1d462e8e000cac647,77,19,4,17,0,0,0,0.323
ccff496ddab1087731a2c8a88da6f6f0b1b59b9e,236,93,51,37,0,0,48,0.326
dbf71fcc31ffcf1a2f0f4cd0b849a061e12838be,45,89,136,83,5,125,235,0.327
943ad034a938b05ce196ac0de31c560c1ce9e107,87,46,54,45,1,0,852,0.331
5f9215034a3de1dcd5557ece21e679d67598be0d,114,186,97,108,1,11,6,0.332
d51b58862d45aecaed10a33b6a952c16811b2f91,103,35,85,36,1,6,593,0.339
087f7bc0877c44078444dfb35244c36f1031b70f,41,112,3,101,0,0,19,0.343
1295883061ea0838abf5d54515ea426b69fe373c,1245,143,38,109,13,0,1,0.347
59b54e5eb30c9b74948c9d3f58cf8be0047e863a,52,69,20,67,0,0,0,0.352
38a361ec7fd70620b333f9329ebc2c3beccd8685,-1,-1,-1,-1,-1,-1,-1,0.353
64f1eef85b85badccd23320d1644da628100279e,191,0,16,0,0,0,0,0.354
629b4570be6aea137a8a2869793a3ac6dedd4edc,-1,-1,-1,-1,-1,-1,-1,0.357
d9797d17bb68097c7c28cd5f371d88b302139778,106,47,54,26,6,76,5,0.359
519046e6262caed04dae95c74ff1524470dd6984,-1,-1,-1,-1,-1,-1,-1,0.361
7aa1f3c9c24909db11e7023bca6178431d777a04,-1,-1,-1,-1,-1,-1,-1,0.361
dec7c91f6b5558a033a23c52e76059fd6f55846f,145,8,62,8,0,0,1,0.364
d8328dd83fc4cf8685fa8fefee0fd6f04cbdfd25,175,266,226,247,5,170,10963,0.375
818e02859d2e0d97c35722440652f38628b180d7,187,168,138,162,0,0,23,0.381
41949359f6db63624ff83820fa3c3d00bf7df6b4,286,29,218,30,1,0,134,0.382
041152bb0ae09d06158bb8e12e99ebb1e2cb5467,301,22,204,21,1,0,64,0.390
e0ce0cfa370f381fa4dd82bef82e734509a00502,97,24,2,16,0,0,61,0.395
68f9bb30acd285844f64a6ab8df0a6534495a28a,-1,-1,-1,-1,-1,-1,-1,0.398
8e3d887112ae5bad1a6c46cc11ef94864404718d,281,22,212,21,0,0,1,0.402
800c5f577bab3935c8400f318a9f27b2bfb954cf,107,41,67,42,1,1,177,0.408
562ebcde0f8816788609db4bdc9b6aa398a38e3a,867,1000,202,864,5,106,1032,0.421
