id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0b0260d2891b6f5318f4419697bc222ecb15762b,378,76,156,72,1,18,827,0.024
bfc4363ba914cb371bd57d61c5520425c953507b,395,576,72,151,0,0,1271,0.046
ea496e7efc351d21b59a24b5ad354970ab51ba0a,640,76,262,77,2,7,123,0.061
58fe845b11d6e17b39840cc7fddf09c4562c083c,274,31,240,31,20,1491,2337,0.065
55f5998b0d4b81b4b8f94f8e77738b20da35eed5,443,24,70,31,6,254,575,0.086
0c31355650a6eb6cc429d2172489eabe54407e5c,481,51,206,43,0,0,480,0.104
b100d3c3a91248d9185c8848afe6514498cf6cc3,570,148,1146,162,3,16,27,0.128
8cfec6dec5c8f6a25f6f687e6083221d3c1a5c31,377,251,212,231,1,0,28,0.175
7db3eb275bb9ca1586e419808bb20009f24ea5bd,104,420,406,394,1,4,0,0.179
3fa44938c188a400c45416dbc514e95dbafaa3b4,108,227,179,168,1,0,1234,0.188
d70ba44f8ba82ef75ceb3809ee31efeaf4648a3c,223,29,191,29,0,0,44,0.192
5468f93e1f85c51ff9d2eb88465e8916d15da5f6,-1,-1,-1,-1,-1,-1,-1,0.194
6852aa389ef574ae0a189958fc01f1b0db9cc3a9,102,28,278,26,0,0,36,0.196
50412f1b7d482b3259fbdd425976336ffaabe352,186,70,305,41,1,1,29,0.199
51e49bab76fb609bc1ae703553983b1af297b082,36,75,18,48,0,0,14,0.208
14263c8b85ad5115f3fac69d08b3a25a62c2a834,-1,-1,-1,-1,-1,-1,-1,0.216
0f8f58e807e0752c3e366bf9880c5dbc409fc34d,106,144,46,145,1,0,4,0.216
1f9e57eb9ae96b50a3a30cc3eda2472fb675b42d,-1,-1,-1,-1,-1,-1,-1,0.217
70998d7b8376174249e7c5a8ce5867f65c5ec7d0,306,21,172,18,0,0,39,0.220
97967abd837698e09470bbd5bf45bef8ccc3abd9,-1,-1,-1,-1,-1,-1,-1,0.226
