id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c71d6877f2367d1bd08d73e69376411b212fd63b,-1,-1,-1,-1,-1,-1,-1,0.011
2932d5b63df08f491e244bd9a49cba95bb7e41e8,611,151,48,48,3,36,1449,0.029
ea73d3f55e7856bef5af5b2b192216d8ef65ea7e,210,584,1842,548,0,0,805,0.088
e9ae1f474037e0d6e6d6a652dcfdd02b5ec367a0,480,186,234,82,21,3569,571,0.148
6bf0ab82979d09cc2aa7da6c29bb52abf7e7b3c3,214,137,278,129,5,0,0,0.163
22995dc874353d2e704173e9af84056b0c6bdac3,250,49,105,48,0,0,17,0.166
8bd5952cdfe281ac2b8bda5c7bbf5a30836b496d,94,37,11,30,0,0,492,0.192
970588a77cd5af9e029b8dbc7cbbd528d90080cf,723,40,141,62,0,0,16,0.225
a16ea6b2182485ce8bd06c201ab3f7b5e45aa18b,63,12,74,12,19,0,395,0.225
7a83f500a85fa7ba500a507f71d8d588f46bece6,97,107,104,102,0,0,7587,0.227
5830d3d33a4255b0f0d6f91d8822dfd4c03d88d6,145,118,191,114,2,7,0,0.227
b75325d40040d541cc0f5d5da4fc7437291aadac,134,180,145,176,0,0,21,0.228
94dad41a1836d8420c1a49870a29a7e13eb7ab3c,82,19,120,19,0,0,1,0.231
f18f045208621d2904399bc4b51c458d3c5fb61b,298,80,153,78,0,0,152,0.237
2e76869c42371635c20d45516038d1eb73d392e5,198,49,171,46,1,0,6,0.240
c807c9ee3d44aa5343fa34ca8046c5f501259665,-1,-1,-1,-1,-1,-1,-1,0.240
2ea8894e1c9222379edc1a69052f7c837ab6f474,240,199,136,191,1,0,47,0.240
afbe6dfdaf0196be875cdefd800eaac2f4bde739,71,217,35,211,2,3,911,0.246
f1a47fdb84a644ade29e85b44b92646885678d85,205,47,98,47,1,0,9,0.248
773f6bff3d53e769495dce5602f1dc36358c2b07,261,9,73,2,0,0,1,0.249
931fd21fe27d0df02de58cbfdf4375b329d07d3a,210,48,336,46,2,0,6,0.254
0c7fdb74f399949ee39da2157fd6433bc59884f1,76,63,168,51,0,0,1,0.256
58029ba3bd002580205a360b06fd9810d1bd50fb,59,32,137,31,0,0,4,0.257
5e1ae272c4242e73f96fa2df5ee025c75d0b0165,156,57,37,54,1,2,18,0.262
14b96384198b9c2877f2d9dd5d2b39bbac36c858,136,152,526,143,0,0,12,0.265
cc722e558dce38f34612b75a97dd2374e1688814,246,1000,294,446,0,0,4,0.268
13eb7d209e9f6619ea86bcaf8ba3860c18d99128,124,42,200,52,2,6,92,0.268
