id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
613a549e1ff15b796dd5f6f1a55028535c2fa227,341,121,202,116,2,91,1234,0.074
413cb0685f2752c6b8bb6da06e7c8b001d3c5011,-1,-1,-1,-1,-1,-1,-1,0.136
0aee637bf692b88a6d0b8f55f39bbfc03143f714,495,423,65,406,0,0,1075,0.138
430ed197f7a40ce6cd6aee12d3bab41da9f99ceb,206,52,630,49,0,0,19,0.155
523c6e869f8574f42ce7f471ed44f4cce29aa174,66,119,103,27,0,0,12,0.195
c68733974982d04c3b7c87c40f3612bdc3cbc6fe,101,118,143,117,1,0,483,0.212
36a9366f52b7ef0cf6ee243a740f65f378f7d404,197,105,114,70,0,0,93,0.223
bb704334d675585b59fd0417b3a906b09822121a,1370,71,651,75,1,0,57,0.231
cde3587090eeb0bd5cff33c4158f3f89d1ea58ea,31,68,69,56,0,0,0,0.234
2717d6a7d6d04dc6abbaa9be9bbfec5b549b3316,-1,-1,-1,-1,-1,-1,-1,0.249
faf17ace554ddf03d4506a319265b56bd06d7f24,-1,-1,-1,-1,-1,-1,-1,0.272
575f95fd2ddc1e678d128150674f56506bcd03ca,-1,-1,-1,-1,-1,-1,-1,0.277
5ea7f3b79fb082dd6053106d710719130d3d5c7a,55,41,221,41,0,0,2,0.279
cb776b9f8faa5a0f3e13abfe47d64e8ad232cad9,140,8,25,8,1,0,12,0.286
29083c28b8539ad20e668a8b42c50bbb22c46a1a,285,137,171,131,0,0,188,0.297
877782af9473906cbda00ce601837d561f45f19c,105,39,59,37,0,0,209,0.302
b7e42361d634a3e4e268d3f884dde46b5926cc27,93,11,60,10,0,0,7,0.304
9b5a82ce4d03b5196a31427ca87967f65efaf0e3,125,107,22,81,0,0,1535,0.317
43e751cad7fbe62dc8dcc6c73cec1b930834bd4b,-1,-1,-1,-1,-1,-1,-1,0.330
a0363ab16bd7896cfc12ef84eb0137bdb14fdfb5,132,86,36,82,0,0,0,0.330
23410d4f781b9b2d10c66ab23ecc91f5f96a50a0,58,70,9,62,1,0,1,0.330
1e342cbfa5e8160555cbbd39c06da140a153abb9,364,209,285,200,5,0,3,0.336
ec82ca65f2d4d8f1b7b167de87d29078b6592caf,312,406,7,141,2,9,31,0.351
4295e383112ea8b2933ae9ef977b07dde1cefd70,28,31,91,19,0,0,5,0.352
d8655265978ebd28e4ed2357c67f84213daaea80,-1,-1,-1,-1,-1,-1,-1,0.352
aa066934b1208b1429f242760344438df3397e48,23,-2,10,16,0,0,12,0.365
9026029e464a9996eae5494641d54d78b3dc2ccb,61,53,50,51,1,2,7,0.395
b20402fe91144106dc7a11de28f90351d5d8d9f0,96,112,58,111,0,0,8,0.417
db1432f6040169b5a29988c86414195afd777807,-1,-1,-1,-1,-1,-1,-1,0.418
ffa8302f62f221dbd259f914e2e7298a22bc4044,174,82,185,27,2,52,29,0.439
05ffa0c8d03a8305291fe1ff88f9b523f9b19089,338,60,76,53,1,10,18,0.460
b66bffa71133575a3084b69d3d1374a3772c4456,121,215,61,207,0,0,20,0.466
78fc8448475d02c6c4d7b99a1f10b67312633dc7,955,179,252,179,0,0,12,0.479
7f3101b4fab0220131cfdf90701871d465aae0a4,11,4,13,6,0,0,16,0.496
29acbd4ef018b5361ad30bbff1ba623409f0050d,2069,32,33,32,1,0,160,0.523
8eb1e61d4a24df1892009c57dd23ce4528cc4754,56,3,5,1,0,0,3,0.597
086c6b6eb56f7206122d3983b0091ae32d65c7c2,115,118,1,114,1,0,13,0.597
b323c32e6ad9ea354f842bd523d5aff60fa24c66,146,212,142,199,1,0,93,0.629
