id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
56c08fc4e9bab70d6bbad87d083f8bd7f41af5c1,154,10,72,11,4,21,245,0.001
6269c58b14b0ac87dc6336390df4dec4906359ce,952,360,607,345,2,59,1453,0.002
5b26e33f98fb5e3da275ce310ba417212023d1d4,1139,372,198,84,22,252,3814,0.002
3ea2167a75620bab982025898d7a4276b933945c,-1,-1,-1,-1,-1,-1,-1,0.005
5bc95d67830b0f27f0e335d058d3180b5afe3c76,671,840,582,279,2,14,2869,0.009
c37d89c9c5d3e45466d6c0f16dafb1c6d2054a28,451,39,81,45,3,62,426,0.010
bdbba5fa88912dc6cb43a7e753f6ed2a4b3fcf32,1050,170,406,197,2,27,5647,0.019
d879fd884918eb370d2c8fc842c6dfc0d2745228,66,14,11,3,0,0,187,0.023
5e6fc8e228597059bccd1b91259867453f76055a,-1,-1,-1,-1,-1,-1,-1,0.035
3c34217043e5aa1b84137155318c97dd4bce01ba,392,101,311,99,4,62,243,0.036
16666633a662dbfd551ef7f496c4ea32b9c3828b,527,102,121,103,0,0,1212,0.044
549e6eccd20e23fb82397a9fc162b6905adb1854,526,175,237,167,2,28,3824,0.060
49d1fb15435029438e39c3242ca7a5f9dfac0f12,194,42,354,42,3,106,223,0.061
c84085aed4fef566c60b2f77edb4a6889cf5e229,423,220,151,211,1,0,12,0.063
384071c8868dcd138d57e43a41e3d45cdd37b072,99,111,28,62,7,162,592,0.067
f89ef628e39b9ce3ee5995398da95f9412bba5d1,205,109,74,104,0,0,1387,0.067
7dafbb040024a5535b19b9ecc95e96c68a121a4f,54,207,102,196,0,0,2400,0.069
69a70b4d524218318219a75db70081e656f69abf,302,137,71,28,0,0,124,0.090
7f51efc89e9cb19dac1755e333656ac8063443db,251,187,167,190,1,77,681,0.096
10334c9a3631983b877c0cc0b703de64069b4d31,224,19,581,18,3,357,152,0.100
5f2b65c2a25c8b587e10abe2b33c7b90ddfe1aee,-1,-1,-1,-1,-1,-1,-1,0.112
46adf0073aff5987916e25647240840964e41ae2,290,74,296,71,2,1,31,0.115
68854dd83b85e9bd740b0fd848705f1c2704175b,-1,-1,-1,-1,-1,-1,-1,0.118
de1fd32ac16606139b831bb2b127e12444c035f7,394,127,68,72,0,0,2635,0.119
9c756c27c4db575368149e43c377d4bf253f393a,45,246,190,235,2,60,22502,0.131
bc5c619cc5f827789b0c1c6d2d77b1b6991ef875,370,755,151,732,6,443,17653,0.137
d60689ff7eaa90b9917ea2bfadf55f396fca7689,150,28,18,27,1,6,392,0.138
f5402e42d6b2d3d08526c275716c8043ab0e49d9,28,29,44,14,0,0,3,0.158
f5b5fd4ce789290c43917123570487f65da9a0b6,170,16,131,15,0,0,317,0.162
7ef9172c0d456196034b504a057d768a97ab18dc,-1,-1,-1,-1,-1,-1,-1,0.178
48d0579ddd15e8f2e24fae73e58f27495d2be948,159,19,75,19,0,0,43,0.191
51f31fc84cbd28363035a70a857f13b56bf01efa,139,396,290,219,1,122,887,0.203
6203aa7a42831336516d07ff20f4ac0e7969b19b,622,308,363,326,1,4,2578,0.220
4bb49654aaf0905b5b0972fa6d27086fc7d4c45d,123,55,71,52,1,0,1988,0.224
84383168abb94b6aa80fd95da9b2c8ed0dc7510d,2859,430,132,306,3,208,2371,0.227
03b4c18a880b8370856e8dd57d237c8b1bce44e4,-1,-1,-1,-1,-1,-1,-1,0.227
3ed083b010d2719bbfc09868d38494c65ea58495,116,80,244,78,0,0,2,0.229
94d81eafd3e9f27aa2ab7886af9dfe8f93f73ea3,408,10,5,10,0,0,37,0.255
475a9a1e7df73c5f6609e361c027873263a47697,374,372,277,173,8,1701,1922,0.262
dcb4b380d2c96fb02b1c3ea50c897f88a74d86ea,433,4,88,4,0,0,28,0.264
6df130b943b1d13e9735f6aee4b86fcbbad48902,121,62,51,32,0,0,1314,0.274
c4c5f158684a89787447a09e4c7ce594bf01a66b,543,611,298,599,8,224,327,0.307
8526231ebd90811e33bbe6d42fe4a0d9f3244418,-1,-1,-1,-1,-1,-1,-1,0.333
3fb3f42f713e08f7a7c5324fbf61dcd63a4e1b28,204,170,159,167,2,14,789,0.342
f72653c9fdee0359d78be8b6361e7ef5834496bd,172,151,118,148,1,65,336,0.365
9d35188d5b83bbf99a65540023f3a18ceb9451c6,-1,-1,-1,-1,-1,-1,-1,0.416
707a241f36192c1ea2f7d630945dcc80fd63d572,45,0,11,0,0,0,3,0.558
8e3d21b66012d6d2945c98197e563112aa2a0ce1,270,232,67,219,0,0,1,0.586
bea197d1ab56c4ac75d0e91679563d4ec621b2e8,40,14,2,18,0,0,26,0.588
490a01d233eb23354c46f38730bd8ba8710435d0,70,6,28,6,2,27,24,0.593
dc922d57b24303169a08c47da479455147898ad7,-1,-1,-1,-1,-1,-1,-1,0.604
c9d52828d9eb678197b3ec20fc09f460ce903db4,55,64,78,58,0,0,4,0.607
bb31777b4658f42c3129eb3b6fff43507b2f7d3f,88,153,23,103,0,0,67,0.631
4b1f17538c86eeab41cc635c501c4a4ab173383d,83,2,0,2,0,0,1,0.715
7776bd7aa4911927ae6c172c7b7bbb0afb6e142e,47,52,8,51,0,0,58,0.776
26c6294536e3346889d7d4e032db4641b877a38f,4,4,0,2,2,2,1,0.935
