id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2e69a9071549f64b9d242746e4a53891ac8881db,549,1536,1193,1439,0,0,6253,0.001
0786c5c4a838b1c9051439cd7c97134fb1e050fa,252,75,47,23,4,77,31,0.007
235e2e913794fa519572926aa9a6b4b68571c1fc,277,110,322,104,10,1438,3118,0.017
2c6f149529451f87363829b84fa2616d43c51e02,92,45,14,31,0,0,2,0.020
17184c7c3982886e74bdfaa1aaa6e94f3dce9389,65,60,179,62,0,0,0,0.030
eb9c86050bb2c8b7c0aafb593b3b48f5df927ae1,-1,-1,-1,-1,-1,-1,-1,0.031
c0918c77dfdb09f8206001904192fe413d2a5c83,151,34,127,32,2,27,5,0.051
7066bc02817c14546c44cb6313b4325f847a85c4,182,92,82,55,0,0,90,0.066
93d4e5ee3af4a0f8e8297c316fc7d0d76699f9fd,206,89,42,89,1,0,3467,0.070
1ddbcf540ec92ed14aab3a7a096d8ba533dc69ae,378,384,132,385,1,0,51,0.086
b6491947049409f27acac6866bca9955a446703f,2049,712,312,1822,1,0,428,0.105
a6c18df4b5bc07974a50ff3c59cb761d127d2a6d,-1,-1,-1,-1,-1,-1,-1,0.112
f8a632b5414581d64b3c669f98a1e43d670fcbc0,594,253,286,214,4,178,1661,0.123
e66b1f753fef43e26bc18354b5a247d66d38ec6c,69,44,27,45,0,0,97,0.124
a5ec512902ea79339e180397cacd1a979fe73dce,9,53,15,46,3,12,581,0.126
d364a2dd7cd9076ef3baaa97df3c37462ec59320,76,201,107,188,0,0,40,0.133
bda728e46b1d36e5afdfccb4c2c8695d308e4229,209,126,222,123,0,0,137,0.139
7a9814cf2491c027c5726c0f746aa1d6b5ba03c1,54,155,51,116,1,0,444,0.141
3ffa770b72768e63d5e638e0b28c95b841ca4c52,224,31,118,36,0,0,1,0.170
3e781e949ef2318ea44ceded010a8b5facfbda3a,371,605,417,595,2,692,288,0.197
8d774f92fd4beba4cf366ce73fd90b208c7c3b25,330,222,368,219,3,16,98,0.199
ca35e935bdaf312859320d484b2cf08922196f06,343,345,103,362,1,129,5,0.206
d157487a1d34036a7a8e8218329312ad36270de3,476,329,200,316,2,0,12,0.207
2a0a31481dd4cec31f15e1e9280f2334322b2b98,128,8,104,12,0,0,3,0.214
0a0afdc904e2226ec0d1c3bac91c11219259abd3,7008,148,3638,328,1,0,10,0.218
e71635d8e5f8c0166cec93906ea6ed60f5756a97,304,76,186,74,0,0,33,0.219
20d72ae2d72e7f23440a9b4875d6e4f6426eca3e,-1,-1,-1,-1,-1,-1,-1,0.219
871072726b4efffc5dd2c423729f6874e33f61fb,116,14,25,13,0,0,11,0.224
93aa1cacc13b833346c5d9d68f2b774ecc799314,-1,-1,-1,-1,-1,-1,-1,0.235
205ba6fbac67980e4d3ce3b7ebb66182832d0303,320,276,51,256,2,3,921,0.239
4e894455a52da1426378e500267005d586e2e472,-1,-1,-1,-1,-1,-1,-1,0.246
af7fdc6272628d04063957f29bfbd568c8d29c02,61,8,16,8,0,0,0,0.246
8066d01f7b50c9dbe35d837c783146748a8490f7,87,18,143,23,3,2,249,0.247
aa4f5a4377c47caffda77872b7f4f5ccfd33e424,1989,13,15,264,1,77,2,0.248
05c4b67c2cdc9fa6531b316b141a227ff7abc174,227,62,113,60,0,0,7,0.249
12af5693bc30d16721d2a35a895acf22a506e43c,272,224,115,216,0,0,0,0.254
2653f8738fd299bc632fd5d9ae2491afabcbaf23,253,180,127,193,2,5,96,0.256
ad2f4c79b3710839db789d0aff3e3a79eadbadb1,-1,-1,-1,-1,-1,-1,-1,0.256
9b8537bad80b2d622315225408f919676afaadaa,71,316,50,301,0,0,5,0.263
929c5be3aad4cd1eb67ce32c0fe8287bb947738e,208,191,138,185,1,0,12,0.263
378c27253ad99242e8a82e4bca0957b82b73c50e,259,173,452,169,3,0,37,0.265
e76007b891b68c88449148f01f3eafd0af35db7b,324,246,82,231,0,0,1,0.271
a92d5965b9d6169920017573f9b09c27a5ce3b70,1083,106,36,150,6,93,12215,0.272
43ec8b12da43e656b7fa0a98a0ceff666229f8c5,185,40,364,35,1,0,3,0.284
388c0812bc79a37963cd0f71224019f85e03223c,82,22,198,22,1,0,67,0.288
f188200c6da9ca8c2a0f394f9e6358393be447ee,-1,-1,-1,-1,-1,-1,-1,0.292
