id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f7fe11db75207059043cc8ca984bd2b1701c1b6b,152,1,22,1,0,0,0,0.000
a478ea5210a6ef28f19743372fa8490b32c835c5,220,30,247,28,3,32,69,0.000
5854e7be82dbd03883cdd31b5d338bcca4d1cf2e,-1,-1,-1,-1,-1,-1,-1,0.000
a16de18a81a018455854a78925ec2553ce581eb8,-1,-1,-1,-1,-1,-1,-1,0.000
1e2f486ff4a29ffd4ec1956258fedcd7b0932ab8,6565,1000,7215,1689,2,20,3804,0.000
e047c7a602571c6f6a7ae78e25cf6d90e78314af,146,1,30,0,57,1052,10,0.001
046b60fe61f3159a2015b29f1845aff521fce671,139,7,119,8,2,12,38,0.001
a33d593105a3ef030756794ee20075b7107fa777,-1,-1,-1,-1,-1,-1,-1,0.001
b239f3ab573f3798b31a9d7aca6add9da77bf916,33,25,8,19,1,2,7,0.001
0587f4a23c803ea3270a0a9e81d7cd25c4920773,-1,-1,-1,-1,-1,-1,-1,0.001
02a1148924cdc637059d424c2d142f60ea38aedc,-1,-1,-1,-1,-1,-1,-1,0.001
a370aa67cc53e824284d795acc0dc030ea074fa0,2193,18,828,985,2,117,963,0.001
099f471d03fd2c9ae0c76307db659e46ebb7bc1a,-1,-1,-1,-1,-1,-1,-1,0.001
77bcb794c580e052cad8701f01386c978ecb2621,401,147,112,161,7,82,961,0.001
44990a9d6622a4ffcd8044f3bb6a8d2af4a0c17d,254,2,26,4,1,2,16,0.002
3afa0b3ffdac0b9db0dd425130f26aef0de5b2b1,125,93,44,46,4,59,172,0.002
4f877aba9bbc97eaf2b5529149759ee1110eba8c,372,1,37,3,3,212,54,0.002
4f1ddd5710f85f1fca025efd420bc45ecab48d4b,143,6,56,5,0,0,353,0.002
03ee73777912cfe86ff04cedba19aff30e07cf32,-1,-1,-1,-1,-1,-1,-1,0.002
9e9eaf145033e790de97131555121dcd7537d678,219,30,20,6,2,14,350,0.002
105702ad1e5cca3e15a8a296cb9bc746d3b79ba0,108,6,27,5,0,0,3,0.002
7129c672abe0e107ee40f31af454335dcd27751c,237,53,396,66,1,21,1636,0.002
9abefe7a9a5bc4b8ddfa9f5fdc0e78ceac6fd720,679,101,291,109,0,0,674,0.003
d5408f047501c4a3d9a4e9c3b6b65ff107936a07,-1,-1,-1,-1,-1,-1,-1,0.003
81e896a11a623a9e2d565333f2f09e3901c9ed08,311,253,375,238,23,1364,380,0.003
09231decfdfa4f406385dc151d0ac3dc76661b25,234,101,278,96,8,183,475,0.004
3d12f6b9227b0479c6689e53e84dcaf409e5b02e,137,0,228,0,1,0,129,0.004
7ac01b6790acc7f7faad333a1b83ce47d157edec,-1,-1,-1,-1,-1,-1,-1,0.004
c746f676302970a5b808dcc28db114403bdb08a1,-1,-1,-1,-1,-1,-1,-1,0.004
578a80e1b3f3c132a43036482ee71251905522a4,135,28,87,26,1,7,1201,0.004
ee19aea14e9c3f53b73fc86d30f69122f9ba8ced,69,7,9,10,1,0,38,0.005
d0dbc8e1cfaa2f7708ab59015ea36456b96539e4,582,39,70,38,12,655,38,0.005
c5489910180c86821064d261ca19722c05b6befa,159,23,92,25,2,115,344,0.006
5e035e490e770ade9133da35fbe2d828a03987d3,102,12,44,12,0,0,289,0.006
1c8a480c7ce7f5f43b104f666cd6a5a10d29d16e,-1,-1,-1,-1,-1,-1,-1,0.007
74bc3613cf5e1152235b2fa98513bec84a4bdcfc,147,41,86,42,0,0,464,0.007
9752368659eb5fa54fa16dfcda2619677365c149,103,4,17,0,0,0,64,0.007
9c43631d32bc15af5f5892bda9140042fd018e4a,144,61,18,24,2,31,705,0.008
74064f92a230eac5c8d1d9cdc0effee82ebf1dab,148,0,7,1,0,0,5,0.008
323fadbf2a6bfa0a4811aa16fa972fb60d8f95f4,702,329,342,312,20,699,582,0.008
81339aa161e793b5a4ab5bb153f027457490c897,-1,-1,-1,-1,-1,-1,-1,0.008
4186971ab71bea87ee1e5c08ceb03e807cfa19c9,107,48,114,45,0,0,434,0.008
e0ad59dc4dfe40c7681f0ab59a88a3aa0a353fe7,208,233,358,204,1,348,15,0.008
b73ee038e5da55d7f5d932e37fcb6968af76fc20,186,5,38,4,33,267,169,0.008
973ed844aa3b8d701908a0e69fb82d637e05b89d,-1,-1,-1,-1,-1,-1,-1,0.008
3b1447e09437dd5be6904aa47e4e16e955b61c84,249,145,325,130,5,427,1842,0.009
05ca939a9d60e556535d85e049b3f8e76c0f4636,361,36,244,36,6,18,259,0.009
b839842b164a9d197c2e973bd72839f81d4a398a,80,1,8,0,0,0,2,0.010
35d6f584171f77b525e7ada068e91f6fe4f7588e,275,117,1202,29,0,0,1390,0.010
56d3704512fdb6eedc94075c28064829e655a829,213,27,108,27,3,85,330,0.010
ea5f7fceb6a009eb1a6ed894e4c82111e6544c5b,145,13,78,12,6,738,64,0.010
4f49d7696173c79d797de9036baf75a81a7b3ed7,183,24,109,24,0,0,743,0.010
0c5e998b5d8a77d139e62807c202ad215d4b636a,-1,-1,-1,-1,-1,-1,-1,0.010
400f3953c964a6fb56227506b58e2c5c3f70fb29,157,61,11,16,4,233,192,0.011
bb900e6185e1e45d330cc6427795d5dc42ed379d,-1,-1,-1,-1,-1,-1,-1,0.011
73602cf484439830579ff5a7e12d4399d5447107,160,50,39,15,2,21,184,0.011
29cb0624abc4a615532a0bdc6b98631ee8b35d65,100,14,24,18,1,7,64,0.014
ddb4f0685955cdadf3c83d328c7446740f43e452,-1,-1,-1,-1,-1,-1,-1,0.015
b35962198278e2a13ebd84de5a7fe63a06eaadc3,85,10,21,10,1,4,13,0.015
6ff2589a89305b62d1515f5cd8828b510f648bc8,-1,-1,-1,-1,-1,-1,-1,0.018
48001915c21c20f7a075d131a6100ab50ea79b94,204,2,44,2,0,0,6,0.020
2b6b0f30f9653ed473c5f5796c65d7a21d9a3583,91,27,121,25,3,27,166,0.023
0b775fd3e83d5ce187ef7adf5f7d25f39dfda012,5318,149,2673,140,14,267,1447,0.027
52a4c9ac038bcb493e980d7ac1027f8b475482a5,-1,-1,-1,-1,-1,-1,-1,0.031
5afbbc3f0a4a6bd509516a55ce7a1440bb044a43,255,106,232,115,27,1611,3252,0.032
6c0851a0d9778993c84ac44b5c0d551abf066fb0,118,59,143,32,2,9,172,0.032
f4caee5340abddec7b8a49ef748ac51b242d58dd,532,26,232,25,1,3,854,0.033
367fd7156d163046adbabe417f2a6a0717a04b35,-1,-1,-1,-1,-1,-1,-1,0.036
4463503cd43de0b37c002a5130874b04c6b411a0,360,50,161,56,9,64,807,0.036
f20755e5c257943e46ef4e6e29b2718e80cd911d,-1,-1,-1,-1,-1,-1,-1,0.036
16b4e565b734eb41bf60fa136c4cf1767e1d954d,102,29,42,28,0,0,80,0.041
