id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
eb736ba23a09c1ca83d24f37e3c50ce9169fbcee,371,244,217,123,4,4,49360,0.383
891ff791f418cce499d785283da341b614a10f25,-1,-1,-1,-1,-1,-1,-1,0.386
7b2e386c33e3421fe38cdff1a121bd2493f1e30c,75,69,16,66,0,0,1,0.402
593ca59527579eeaf7566d2c85ebe30a35e720f9,72,12,5,12,1,1,3,0.417
c5a1dc304e8915e202f95939ad0ee63eee85fa4c,156,118,20,106,0,0,137,0.450
9fa7eeb773a8af3b5b015d3e101af08274bb1328,-1,-1,-1,-1,-1,-1,-1,0.476
b1320ebd3f08f8394cf0bea7cb9fcdf2175d58d5,141,64,54,63,2,0,2,0.598
bcf27c611f9164968e349f6c85f0cc947e3e0fe7,212,184,0,125,0,0,2960,0.607
edf183d249a5c516375691482ab9ba4b3d214fe1,-1,-1,-1,-1,-1,-1,-1,0.622
94a7d5e82be51e1270cae880c382ae9d4c9eb803,68,34,44,36,1,0,10,0.673
d41edecafbced3b6ff707287f29bd23fe925cef4,40,48,11,49,0,0,107,0.801
7ee5023eebc9c62f0676e2f696b82e84602daa3a,519,437,66,452,1,0,73,0.804
149ba7ac0c913ea0e3eda14fe6d911c531affb9b,-1,-1,-1,-1,-1,-1,-1,0.824
