id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
5285e8214e82bfd76f3301d3dc4d98712b0943e2,162,46,102,44,1,1,158,0.005
55b8ea980592f9cf5f64017583a9e5e9c5c51880,4249,140,1015,1204,0,0,1142,0.006
e284a6842ffd7600bd6dd50d5326535eb6efafd7,-1,-1,-1,-1,-1,-1,-1,0.009
f079cc626fb167cb565559b4903b64f1ae589010,663,176,427,166,10,706,1903,0.011
a8564c64afa6d0207d95442fe981dcc4fc7dd61e,-1,-1,-1,-1,-1,-1,-1,0.013
3148c39351a9829171b391bfd8e530845e377a27,275,119,154,112,12,392,495,0.013
e328c1e59960c46d2efe28bf178d006058f63cf8,1219,88,91,90,3,344,442,0.016
39aa403953383a21e6c9754f8d9cdbd10dcf8d4c,810,32,122,134,23,748,2530,0.017
3a0eae2bc632eca7b73a3b41a91b2e684f62debf,753,196,131,188,2,24,1229,0.020
f7b1177b8dd57b89eb4434362c3202d533939912,-1,-1,-1,-1,-1,-1,-1,0.022
4eae0f8e1c1485e1753d046a07c71483786b60e3,-1,-1,-1,-1,-1,-1,-1,0.022
2b51eec858a8a799e5d5aaf624f18fa96c29d1c0,457,95,298,107,25,748,547,0.022
08da01aca950072e7fb653bec19650a71acbd178,365,7,352,39,6,26,0,0.022
0d1c5e25114f5edcb3b420f9248ccf9306636659,232,82,43,25,4,192,92,0.023
3c366e30bd5cfdb84b4f9604e8667ea275375351,428,281,146,178,0,0,226,0.024
c97a8a680cb96f396389aa8aa38e76b83227c7a0,-1,-1,-1,-1,-1,-1,-1,0.025
035bf2f1bc9f6a644661bfbfe2b2a50c2c4ea5c3,1025,316,243,300,2,10,5802,0.027
a5e0d78b5a82f68f742f81d7c5234400326b1d80,808,123,280,120,0,0,28,0.027
4186391fee78c262167c9dd243bad90672fbb193,1008,160,65,325,34,2031,2340,0.027
