id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a7ed248ac697b661d483aba2009d41571c21eb26,-1,-1,-1,-1,-1,-1,-1,0.004
81dc4bf483a651cfd33eda9950f01cb83592f044,206,14,76,14,0,0,352,0.007
0efaccb6541bf4327b232a76db07d14ad5d7cd5a,44,19,102,14,0,0,265,0.027
4480dc19a8df9bbf0626a28eac7b46424403a092,828,255,240,245,0,0,263,0.042
db1d1a50296a88cb5e60050ac12ca7b95daf65e5,23,9,104,8,0,0,1,0.043
7cfe7a22a179524818a837febdd3bbe558e04c01,299,77,137,84,1,14,27,0.046
1b19001acfd34c1ac0e2afb6e024ca21ede9b0bd,179,156,136,134,1,52,1,0.055
8ebe860de7ff0465eb4a48fa317b22e99dd4475f,804,84,409,102,0,0,145,0.060
b02f9d1bd554afe613ce856d2ff17d93cf2f68d2,-1,-1,-1,-1,-1,-1,-1,0.066
455fdcfe8f156f5b41c62982f1f29cf5d5067225,3203,346,4163,2622,0,0,60,0.067
45b63480a2d160ceb1ad9067ffe22053dc925d74,-1,-1,-1,-1,-1,-1,-1,0.085
b8586b63c7a607bbf15900359e313162ff11b71f,181,15,296,15,0,0,85,0.086
01909dea98e69b9f2e949a52216e520d5304d139,188,91,588,85,0,0,298,0.088
4fa0398e687103f0ad512f45515d5173ffb7931c,147,6,76,6,0,0,15,0.090
b2d6e074e857f3aebd255af52d05f11ae39377b1,-1,-1,-1,-1,-1,-1,-1,0.094
aedb5577caf6eba2fd1b41deccc35f475c8ce04e,273,31,356,31,0,0,38,0.094
3e8312210063f3d91c1ecdbbe6d6be0fd661d1da,-1,-1,-1,-1,-1,-1,-1,0.104
1823ee2d8668c44d6b2178c470b4b8efec03fa9a,251,68,205,68,0,0,147,0.104
10c12545a1d3ef41a781ac0a7ebe967a603faf56,182,27,198,30,2,0,7,0.104
d979c7d0fb11d33fd819b2999e5e22752ff04073,-1,-1,-1,-1,-1,-1,-1,0.108
d306ab495053cf3cf8171888d18b4e5b79f98f7d,232,45,240,44,1,297,753,0.130
39d85f19d573f1178b93012ac176404f5c139c96,325,152,245,147,0,0,805,0.130
5f9476f3c4d24470f24e946af078ca18e1a20f49,366,233,148,230,9,542,587,0.131
86fd76b8731063ddbc98a9c998e2656cf35e660f,-1,-1,-1,-1,-1,-1,-1,0.147
acf31d63b6efb2fc3c48f9ef44bd2455ba7b15d0,632,51,51,49,0,0,555,0.147
c2cd5f114699d99818cb30177a646f23d2a6c045,59,25,50,24,0,0,0,0.151
84bd0b8061d129fb6826d0ba5a4e1f8d1b50019d,158,72,248,67,0,0,3,0.153
da28e4224e3c94dc0660cff28310f9db66a55289,752,80,457,76,0,0,7,0.153
e46a67036eb973f41f92dfa7d43ce3512b6dffbf,66,194,200,185,0,0,14,0.156
47d948beb538aa781ea9c43838db2a4a71be3c2e,181,9,91,7,0,0,1,0.159
8760ee56f79cb9a72184e3eda5d88a0f8fa734b6,87,51,749,39,1,0,28,0.161
3cd5d8244402e8c23c35ec14bcf26523ce0a47ef,78,122,1057,118,0,0,417,0.172
97096872f46308803a64f006745246f800dcde97,111,30,111,28,0,0,0,0.178
4a35cd01c7f2cf04a9d21f4afadf3afd3efdfc3f,469,147,287,142,1,0,16,0.178
7608e85dce477c885872b4fb6f6c940698637db2,-1,-1,-1,-1,-1,-1,-1,0.189
f1e5ad7773cb3895dd5cc3384d2b73bc98cec817,-1,-1,-1,-1,-1,-1,-1,0.192
1f946957fb838148e5e4c981a5ade587cdbcfb97,200,97,235,91,1,0,5,0.200
2d8ea4b5ad1a72d3ba2fc476ce326c4b5c4a0a4c,273,55,317,54,0,0,23,0.204
34fd27859982a3858678939b5ac944be7419f61f,225,33,696,34,1,0,4,0.205
ca7d2866e82b6bb82d61051aec81c7a91d8eab2c,43,26,134,17,1,0,0,0.206
cb65a4f730a9d387f9e1c211e4baf5c35ff3b807,1505,189,498,170,0,0,1731,0.206
684bb84419dfcf25a3b97cb66da7411b78bca061,131,53,164,51,1,1,10,0.217
2583d79e8803170bb63b3c9d5412e2559deed08f,112,34,172,35,1,0,67,0.218
3345f3bc7dc0b46752241cab1bc7203651ce3c72,7723,88,1450,77,4,16,483,0.219
5fb20b751de69eff9362432321518ec56286ea29,126,232,308,224,1,7,5,0.220
4e72740af545cc82668f72d94b2b5793c526e2ac,2110,69,601,151,9,1168,281,0.220
3df37a3380d39a9c9d64dce555a76f4a38123594,1002,694,235,619,0,0,11,0.221
332a68804eab7c082247247be71dfb911b4b0515,28,45,274,43,1,0,2,0.221
e27160b7df78d73cdbae1fe2f0e54db9b9a218d2,279,379,140,361,1,0,505,0.224
918b3ff841f5a33c0bfa1cb1d7728bf51fc6c343,71,16,87,18,0,0,6,0.224
51b56bd52d7259264337a357102c2fbdf9b10597,129,28,211,25,0,0,19,0.228
f9f7714cc2af118d2901b201a10e5193fa15fc6f,531,76,166,74,0,0,5,0.229
b322648cc7f8516c6078d7edfdee5a8af37bfec9,0,0,565,0,0,0,0,0.232
49be339fac8a76bad155b8bdf58ad9a15b2881b1,-1,-1,-1,-1,-1,-1,-1,0.233
0920ae6aa3d7e5d0eaac4be0387120a3d0cf2428,135,88,125,89,0,0,5,0.234
d155575d91ba084ca3cd05e4eaf5a4c3274d850d,170,270,618,247,0,0,264,0.236
