id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a14ef827579ef2454b71663f55ecdd7ca76052f3,472,9,358,11,3,136,109,0.009
7581efdfb7d42fab9a3dd4f0980e5c3c2062b20a,244,21,381,26,19,952,226,0.024
40ba2d0766b7665f7caef0a7fbf3b76350ca5c50,123,13,92,18,1,12,40,0.077
ff18a2151cb46fd113fc6fbde927ba3d5c267b5d,-1,-1,-1,-1,-1,-1,-1,0.104
999022690d13ce0bcf789566a02575ae31ae3249,183,86,136,81,1,0,4,0.215
d5add3e57369f84ba57a6e587750e221d881bfe2,-1,-1,-1,-1,-1,-1,-1,0.217
e0dd143a8cb6efa45519eb016a87efc83d7c81d6,76,-2,313,55,0,0,23,0.242
6a7c4ff3f87df7f29de95e784c7a902c3fdfdc29,72,52,115,73,4,0,70,0.251
b44064691b0522fbb4173a17c8c276de49d785ff,55,575,342,543,0,0,123,0.261
68ec83bf23f65ebc2e2e6d80e019fa21361be5b6,91,68,154,67,3,0,0,0.262
0b8398c7a3c8216508db459436ac2c740b612590,150,-2,61,137,1,10,99,0.277
a7974031a382a8e81ec250edba10b7e4c236747c,41,39,175,40,1,0,0,0.282
07bf2f5defefb5ba7ff4b3ceec005c5f3efe9d93,176,144,210,143,2,2,0,0.289
8c4470757626842f24e0b519f33ce73d0bfe26cd,114,63,77,67,2,0,5,0.290
7ad6022decfb77d48a58fe8563dc6f2abadebed9,235,314,427,280,1,2,13,0.291
464f975660c3630bfd075d72d85f3f1d1a8b487c,213,128,77,123,0,0,5,0.298
8e07a7ff5443d0ee69edf0760fbaab6d40b3dbea,119,32,179,31,0,0,2,0.305
6c09be2458415d28de00cdb4cd10135c9ac7d254,-1,-1,-1,-1,-1,-1,-1,0.308
58ebb67814bb5f53d50fae816084f8cf72aad1df,110,12,49,12,0,0,2,0.313
03df9cd632eba3408f8f1611b76b6ac05063ea06,283,206,176,194,1,5,1822,0.329
1d00d18e76cf318ca635967af9bcb389180edf70,128,91,134,91,0,0,3,0.342
0552f20c19911b1db39f240b850edefaf8d661a7,-1,-1,-1,-1,-1,-1,-1,0.358
2596a4d2a24c6191ea3a5f47ea120ec4aed4a34d,130,34,242,31,0,0,2,0.364
f747efd2670cbb8da69b31d02000a4cab70dfcfb,-1,-1,-1,-1,-1,-1,-1,0.365
7b811abb8140c7d52dc6d849f4613b4976248092,-1,-1,-1,-1,-1,-1,-1,0.387
c292f96830b825b7a3ad3598e9650559e80417c0,211,162,159,153,0,0,9,0.416
4a8daa25ee8c4d58c8dd25f5f3b2d5a003612746,21,55,7,39,0,0,35,0.429
873bc5763f0cbecd7c7e08fe516272ee574b6f80,185,135,140,132,0,0,2,0.429
74a9beaad1acc49e9ca410f6c407ae17c8960d02,-1,-1,-1,-1,-1,-1,-1,0.441
9ce93b3186d76946b8910bb4389638deaa64585b,64,76,140,71,3,0,69,0.452
9a0814da88234a7024adee29d0a7f0997a4de375,66,120,16,127,0,0,3188,0.466
d45e40ef6ef5be8d818b39533927e5594ac43fc8,264,576,150,453,4,12,2682,0.503
4fda160b7a6d94830aab0adfcfbe989fc3fefa6d,96,18,263,17,0,0,2,0.505
6d82a97dc77b110986750c6436b8e4037c2c0080,-1,-1,-1,-1,-1,-1,-1,0.519
86a20fe87a547a1eac355fc37bce05456c9d1981,148,329,212,305,1,0,0,0.523
ca7039c14f147438607035dae22214bcba25ae2f,86,41,61,34,0,0,20,0.525
40fa1fb0c95690c9243bd1839dd14a6f2c2b5d7e,-1,-1,-1,-1,-1,-1,-1,0.529
f753edde3bd97ed8ac09923faf5f5eff4e5a713a,24,13,4,11,0,0,6,0.543
2ba424a04a275dae06453bce7283b2a40670c523,346,359,90,314,13,3,333,0.544
2367da18c8a9c967cb76b44fe804801d15dee4fa,59,32,128,30,5,0,1,0.546
ee4c8cd2dce5b8e2c395c3fc118cb818a43cfad4,-1,-1,-1,-1,-1,-1,-1,0.571
bba4e8c342378b3e0ffd1a45fbde93dca1363444,175,67,127,62,0,0,3,0.577
967f981fcc0de7fc5319d806d05125acb16edef8,122,243,89,227,2,0,1,0.600
f57142d0d63c3c059748ce3b59426368d562dca1,-1,-1,-1,-1,-1,-1,-1,0.659
52a7847832d8c782933ff43676a4132da762043d,-1,-1,-1,-1,-1,-1,-1,0.666
47707fcf12cd6a4e256ada6d98cd6113f719a727,-1,-1,-1,-1,-1,-1,-1,0.698
0d064c7738c009a869c1e0b7735112cc18da0724,543,701,2,678,2,0,17,0.719
921008af12f0f7e688625e7946af6daf786f5991,7,14,2,13,0,0,9,0.728
a3786487df1ea3154ebe44165318bec525f1bfda,390,166,26,160,1,1,6856,0.774
11b548d79b5d68f6beb492c46d7de24f775e728a,118,270,210,254,0,0,5,0.778
7a9c4349cb48c1f50a56aef24b080645b3b982bb,74,266,137,257,1,0,0,0.779
41995f62d14161c060772a181787a7815adcf2ec,68,63,57,45,0,0,1,0.784
c9665e74c9c678e152b49d83d13bc4f1f5240e35,-1,-1,-1,-1,-1,-1,-1,0.791
922aac5df57260d6645c7d7221b849a6489f399a,48,5,3,2,0,0,3,0.804
9662f2eac4a87c770096726245e967a35f89e68d,-1,-1,-1,-1,-1,-1,-1,0.871
421d791f1fcfcbb3d1dcbe6cf9fb8edbe1f93a4f,136,171,228,160,5,2,14,0.871
bd0eeb821b368cdc17ca6ee9ae340381c046762b,53,17,12,13,0,0,3,0.885
ed1bcb94d0d87087703187f0070a9c68cbf1f284,98,86,9,77,0,0,3,0.893
67a8b741477b63ae6ca0d6d553589ae1f8bca9e1,25,8,6,10,0,0,4,0.897
c00307a87769be16ea5aab628f4784d7f44c7bc3,131,5,2,5,0,0,64,0.963
