id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
19f000da8e6ffe429299c121e62b46aaa2cf0357,502,84,263,82,6,159,1043,0.000
b5e2f83c0f1e50e305d51667d9efc0bb25635d50,-1,-1,-1,-1,-1,-1,-1,0.002
8a9cf61669888f0ae77329044f172a8bd7c04d08,1568,637,251,225,12,495,2252,0.005
fcec2a7bd26885f29365c2139e6fc31c8e45e0ec,1248,33,54,6,5,36,891,0.010
ffe17d666c0935dde52e661e921c197230e9f47a,704,279,120,40,1,331,1000,0.010
4efa859da9af9629aacbfae1e8efebeb9b139539,302,56,38,59,1,5,479,0.010
65ef3931cf03cef7f972ef1a9954176bafaa0163,315,24,66,28,0,0,683,0.014
7174725e892510b24b18fbf4c42e2f840e301d19,669,52,153,16,9,474,807,0.014
2fff9283f2845440534536b5198ed7f8c8d57b0c,1102,37,52,48,1,1,1582,0.015
e790beec26c13d7bbf1f87dbf882434a05ce2cab,1715,15,251,16,4,81,115,0.016
add5871e196862d17d160589eb0ec30ea615e0e3,435,42,332,18,11,366,1939,0.017
2e13db1c5d37a9315273d696ccbec070538df85a,542,49,156,56,3,169,271,0.017
25429e24d8b07a810fb502e564ae68f04b12635a,334,20,23,5,5,170,775,0.020
69fe3c24a56b07cadc8dd385a712f330fff85560,240,144,554,135,3,32,369,0.022
96aa5f3bcec88178a4d2f6a44857c644f831bc39,360,61,261,61,0,0,2825,0.027
388833589af0add4a79a7dbf7804d3d8ea985de2,475,84,332,80,0,0,76,0.035
6caa5f71e162b34c7d5829383ca351001847bf20,-1,-1,-1,-1,-1,-1,-1,0.037
d231e75e0bcfe0dafdccd1000615d67fb449e22b,269,74,217,74,4,60,151,0.038
825e57343a8ff11afdcf5f6d439606e3eafe36a0,693,51,722,47,12,221,2515,0.039
804707ca853a973e8fbbff22883cb84d457ae176,1236,116,143,32,29,2055,2735,0.047
1533b9e0207d762d602b3c05c026cde41fe5c6f3,373,123,76,42,0,0,381,0.052
7ba434bba69f674c6d9adcf23d1d91cd7e32440c,508,20,118,18,0,0,4,0.064
f487c7f819e7a9681d96314ee70feb5859e457df,1246,144,84,670,0,0,2601,0.082
42b2e45a1d7d35d56c6e501b494dd0eb6e228a63,294,23,70,28,3,139,531,0.090
c8c37dd88898e197181382fa29f0526af52b84e3,1223,69,262,30,10,302,744,0.106
931153b74710b4f65c440c22c879bc3fb7429883,1217,107,244,101,0,0,296,0.114
9c988f1a6831806303180d6e80e0bf0a9f762846,-1,-1,-1,-1,-1,-1,-1,0.121
dbe8ad9e8007ee16560d1467762db55081546635,1184,233,561,225,20,262,810,0.123
4153e50a48d3e1d8aeebbdeb9ecd75bd1ea428b6,712,125,133,7,0,0,540,0.124
681cba139ed40f4ac614da958bde93a4db6c491c,-1,-1,-1,-1,-1,-1,-1,0.142
8ed22de229ecd701c435de26c6c5b6afe5096e96,156,128,310,120,0,0,4,0.144
227c661358146e692f05f95033081d582dd514e6,410,3,113,10,2,38,18,0.149
800ca05ddb9848e4637f4acb64e595264ae9c24d,456,122,202,44,9,138,1055,0.153
1d85fb85b908d2e6a9b286d6e177a68eb691bd6c,82,121,165,145,3,0,18,0.158
e512e1471975943d807c8c166a9e5e5d14d249f4,-1,-1,-1,-1,-1,-1,-1,0.165
d2c6c528bf0872087956e2d0b8e18b4efdeb2a2d,687,26,415,26,1,16,983,0.166
5495e045df211bafc04660759044bef0f8e6787a,193,156,447,149,1,1,2,0.166
80cae4c9f3509577c8d6531fbd6e9f951d904620,649,104,80,30,7,155,611,0.185
808fef07d2ddcbe37fccd77585f2193f2fda6810,428,44,161,30,3,15,24,0.185
20028845845acc8eaf85a6de69a48b71ccbf443e,-1,-1,-1,-1,-1,-1,-1,0.188
411194bb41e7d6ab931f075af1a5d7dc3dd03ef7,645,172,335,168,3,33,849,0.196
673c624a26d941e900c483d1870db92f8009f0bd,236,41,50,43,0,0,32,0.202
4641e427b540e31114405bc5922425585afba2a5,623,206,186,70,0,0,1,0.222
27e5d34f6163823293c4c8988c98775bd013e9ee,777,101,63,103,4,40,155,0.225
85322c9236c5a4ea3b9304fc7706cda90ddc0377,388,28,279,13,0,0,0,0.225
4af9408dbeb7367aefe485aba74e85a397a39af0,-1,-1,-1,-1,-1,-1,-1,0.235
cf599e17e2cc8b5d95881966af63a9c415b84f12,77,28,41,26,2,7,195,0.238
77f2545fd2fe9eea729b94f04153d5231a935e26,125,5,92,6,0,0,94,0.240
83a6f1ed62978f5c87e29b0e3d9520d6a8b661a0,77,36,61,39,1,0,430,0.241
facac4bf0b9a9b197ac9f04d0cbd9ad1fadd7dad,43,93,49,87,1,1,156,0.246
aea1005ee88894a196fe55ef1f4c2946e5191844,-1,-1,-1,-1,-1,-1,-1,0.250
0434a9970750b462f00301b2b6a7a8009f400b67,725,35,483,38,0,0,1249,0.255
04b5e50177148d85335181c6907cd697d739ed43,250,46,546,46,0,0,14,0.256
3d01a4084e95f176e6f8ea0e87438120041fb9a9,-1,-1,-1,-1,-1,-1,-1,0.260
469cc1bc1660f6f5d7342d41c64bd472fe43df9e,105,48,56,19,0,0,1244,0.264
cd68df1e9a171c31955d5765b86eec48977f0ef7,-1,-1,-1,-1,-1,-1,-1,0.265
078abeecd5a946e16875a225a4233169d71672c5,246,399,859,372,0,0,5,0.270
24545979c6cc849373c402641d4ee5b9a1713745,98,24,111,23,0,0,9,0.276
0a9fdc4a25b95e861bacd49d6ef086f9f888a74b,55,147,102,143,0,0,23,0.277
36d6cbdccaa7416c5a3bc6a141198373aacd50de,279,1,118,1,0,0,0,0.279
27d32152e5dd997e06c9b0b4b641f40b9671c8ba,123,247,302,193,2,2,1,0.281
82c6af6a6e348c242fe5113232019133a844b64d,39,685,177,608,1,0,1,0.281
0c0fa0bbb44651a58d76e0896b044967c709eaf2,39,126,40,131,0,0,1943,0.284
b60f038aeb6100566c9da234f6814a02371804a2,195,94,633,91,3,1,26,0.286
1e8ae19637099d693696c96523d4901d91fec3d3,228,81,105,79,1,0,3,0.291
0b34a6e88d4daca90928f133e9824d77b97935b5,2250,362,249,665,2,1,2372,0.294
78f2ea84aba20a9df1ad7f2ac9250dd3cfaa9e3e,-1,-1,-1,-1,-1,-1,-1,0.305
9eb6dd6d32f3ff9b2c555f2cc8835b24c387d310,86,49,0,46,0,0,1,0.308
