id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
64b565ef315ab4552a1b0f20ba2e650d9c7aff4e,-1,-1,-1,-1,-1,-1,-1,0.001
b8b0da15ae736b89611171ef4da1c99c8213d964,229,54,865,54,9,145,814,0.001
229ef7141164d60fdc4ae0d1c6cdf577fbc3d543,433,9,110,11,0,0,110,0.002
cf56eb0a15d628e4303baa9f007bce1533897fa3,178,56,29,16,1,19,0,0.002
b2eb7ce527ed375dc2be1dc40a63bef9809b30db,216,109,156,100,1,15,0,0.003
d55c5722bf2ebe463766d950505659028fab4a82,702,17,39,22,5,230,28,0.003
08b4cf6f065767f4b22f43642bd6d44011cb12a6,248,20,102,22,1,13,318,0.003
89bee28c8f0dce55fdac269c00f42fc8882be44c,297,24,243,4,17,453,293,0.003
1cf101260aa122eeb23f1845da6986fc744d053c,285,111,85,137,1,6,769,0.003
0430f2a44423170712f60dbdb5945933fa2b6bec,211,2,91,3,0,0,0,0.003
1c9e69dbb8d65dcd79cab590d49f39bd5698e9c3,303,14,129,13,0,0,30,0.003
2a8631f57028bccbacd32a4f148c2899d7696bc8,-1,-1,-1,-1,-1,-1,-1,0.003
05c8c7ec67277562ec447dd04f2645cc06bfb85f,-1,-1,-1,-1,-1,-1,-1,0.003
7f6f099cce983cf0074a39a60599ed44f81bbfca,187,136,876,134,4,785,1037,0.004
16bf3d8d0851a4acdeac11745b25c01bb712e605,-1,-1,-1,-1,-1,-1,-1,0.004
500abb19c13a450f899d0bf981b4423c689e3e46,114,21,17,4,0,0,0,0.004
c5497136cdf26755cb72ef934cd8c48ce9fc857d,-1,-1,-1,-1,-1,-1,-1,0.004
5bd1aa1ab4f88e2d634d48e02ece74babad00dd3,862,1986,1088,1901,36,4393,2118,0.004
6f00a61186f194427a316ca9d066a2a4f71e912d,-1,-1,-1,-1,-1,-1,-1,0.005
6d2b8674c28b1bad8a807c9bb2b8b3538ba1ce71,733,121,279,114,22,561,1527,0.005
4caefb7f664296cb4662dbb673f9f9f011ed4b52,205,56,320,55,2,2,228,0.005
b917a95dd9746bf8dfe096000b20b48b2328922c,665,74,61,33,0,0,739,0.005
0ce60691b90dc2a4678efc9f5d5864a1737dfe83,175,121,379,70,1,53,5031,0.006
46f689ea4c2536bbc3da5ba64b1f4475f9ba7b05,339,204,855,196,18,1020,1044,0.007
87127a93be61a8288b07799b16873ac3c280e98b,1263,188,845,269,0,0,579,0.008
876287d85f48ffee561e58ca75b30e39bb0f3138,132,79,212,76,1,249,766,0.008
38e43ffaaafdbd5db245180674b3bc49f755a458,825,133,1004,136,11,125,334,0.008
3404d114e7062d58b4b93b24b5608d90c1d43734,289,0,76,0,19,828,186,0.008
ba3cdfe00c97bae6f572b76db549d7d1420d8730,-1,-1,-1,-1,-1,-1,-1,0.008
3e2c9b067a1a2f0049588cd90d0c3fc1b1120587,-1,-1,-1,-1,-1,-1,-1,0.009
7c713777f442ee3ff19e49203c1755d779697539,156,142,138,30,2,4,505,0.009
b1f5e555065557009b80b1b1b0cea4fda1478482,-1,-1,-1,-1,-1,-1,-1,0.009
ebf0f4b9cff9296a138074a95c2c7a247d56ea38,144,11,6,11,3,217,176,0.010
a22cd953675cc6ea45612588ef3edb06428d36fd,153,3,14,3,0,0,9,0.010
c75cf53b83baebe9633795789a8c7312dbae3a17,-1,-1,-1,-1,-1,-1,-1,0.010
35c24d4e0c11f6248019210a02c8969de7d325fb,113,6,60,6,1,32,17,0.010
fd29ba4129bfc94a9f2d393f1c06046efcc0fac6,407,87,69,86,2,20,542,0.010
8f8970675b55e849769d220f49ca8acabf602109,572,182,923,178,3,32,3384,0.011
6324560a4b14eef42a4fea53d0f37d551ed3e72e,143,4,62,7,4,48,477,0.011
737e1cd360ac70a61e161aabb8957d0ba4ce140a,174,6,154,9,0,0,325,0.012
6f6325201b7487d60833926576533c2f527eaa77,165,6,607,6,0,0,10,0.012
db023f2f1e85623f83f031f29342b6e83697e385,136,66,104,9,16,175,1,0.013
a42343a6354baf06404dac2a0a997ce376f42e4d,-1,-1,-1,-1,-1,-1,-1,0.014
729950668932d703d64f5c6bb7471fb9174dddcb,-1,-1,-1,-1,-1,-1,-1,0.014
9119ad7450eed8346e12e957f29dc2ac2a9e2c4e,55,26,70,25,0,0,38,0.014
4e349cdc36edcacbba70a4c6efae09cc3fc2b0c0,52,11,38,12,3,338,639,0.015
8d04eb4cca51f0ccdb516e0342bd01f995124516,236,11,628,10,10,364,107,0.017
664dbb4f2acae23eab512f09960d53fab02ccb13,-1,-1,-1,-1,-1,-1,-1,0.019
e532428a16ed99bc41c3cd1b2bbbbb151f2466a2,286,64,158,11,1,31,218,0.019
9dc74db3488299ca26dc67b47c4a0be5f31f0be4,342,25,196,28,0,0,672,0.019
24e42c6098e1ad677986bac0513ab3c743c02a96,249,30,37,32,0,0,57,0.020
6e06522b825d6954dc8db9b88e0b69329453e68c,845,134,402,128,4,19,1071,0.020
f8086c99a28809613d81a5c6785b7d439bbe638b,75,19,291,19,0,0,15,0.023
673b5d88d13517425fa6af53e89380e156ab9825,147,206,194,197,0,0,2727,0.023
00254a3199e9c865db6054254847391b32fb47a9,126,31,210,30,0,0,514,0.024
80f9231f80d3b0b2439ea97ff33f25a7e7d58f49,-1,-1,-1,-1,-1,-1,-1,0.024
5dd5e3b1734a9f655294aea0c1d4e2429993ff67,-1,-1,-1,-1,-1,-1,-1,0.026
ff7c26a586cb02fc6060f98830f11d65a49effd1,-1,-1,-1,-1,-1,-1,-1,0.026
46d6ed84c4d6fc575270f7d6c1271a8c58b5f2d7,1391,33,419,42,2,87,417,0.026
32a1c19b105b254ca24e7eb7f1fd0c6d2cb7193c,150,71,155,11,1,10,410,0.027
bbb9dfa456a0435f01e1816a8dfc8683e78494ed,207,52,122,28,0,0,417,0.027
8d7d7f73cd3005d7b9000de29a0b53699845589e,244,9,17,9,7,331,40,0.028
e6f58aaac8d4a0cf963869962251274bf8ebd92a,120,18,151,18,0,0,13,0.029
17e3afc02f6b03a525ec552d669d200204467ce3,-1,-1,-1,-1,-1,-1,-1,0.031
294c22e1a54f7201c47f4d50de0e216d541c4f77,251,26,191,38,1,0,209,0.032
abbe3ef2d8f68ca3900fb4ffc82713d5ef1fa177,132,112,116,109,0,0,39,0.034
e57cff303cf41694245b6f540c4c3c077d74bf33,-1,-1,-1,-1,-1,-1,-1,0.043
4a41718903280cc991cec81f8e6d6ba5ed48ca55,-1,-1,-1,-1,-1,-1,-1,0.045
da4d0ac9d9e719b31ee6333aaa0176582e938a42,317,22,85,23,1,39,290,0.045
aad1f75321763d947e444e4b0b0456ff9a985c25,558,660,1073,244,12,786,802,0.046
ee4038a3f954f88046cad63d4491d5c48fac346b,902,49,611,46,0,0,6,0.050
9c84ce5c734430649db03d25ff1d828fb4b2bda6,150,45,281,26,0,0,397,0.050
cc40c9c87707421476473929997f4ad3c96b1e0d,136,23,45,22,1,17,0,0.050
188390ff8bf683dc96fbff692fdfd4f2a7aa2385,275,21,157,20,2,37,282,0.051
152d2f8f56eba275f2e4d39dc46b0002990efdeb,132,13,46,14,0,0,13,0.059
6ca4fe61e3529e605e3614c797c4d65af11753a8,276,80,195,76,0,0,108,0.061
2d664b922a41844b954805d6ccda1b62c9ff59d8,257,23,283,22,2,43,50,0.067
5858e1b639604e38f02c7053f949d2e9709ddb2d,88,17,85,16,0,0,178,0.070
9d9c58c96f953d80a4e80831d68d3efd838fb549,146,63,99,60,0,0,0,0.072
07b03f63059238da109f71f805a584c0aebff82e,230,112,67,116,5,66,1821,0.072
