id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6ec84d100a87686a5f800543f0679ed86b2f4401,-1,-1,-1,-1,-1,-1,-1,0.031
d0adda864b457e7b9a1d08039f10d2c70400a2a4,277,72,211,71,1,0,32,0.092
cad198d744596b29eb6ee410cf612763aa392857,98,444,20,219,5,43,37,0.098
3d494cef56041284f34fb698328fbe5652bd032a,303,47,394,45,1,0,0,0.165
1d48a2d2f085aa0dc1d1ab40cabdec873c8d98cc,368,115,367,109,0,0,33,0.207
480050ea6f6cfc4c0065615788afbe52ee773149,226,148,75,71,23,1910,1082,0.219
992ce73fa62f8f57307544df878132355dc3de01,240,213,2106,197,43,84,4302,0.219
55a9a8a3ff8584f3f17ac940a266c0b179e331b1,118,665,153,497,7,420,468,0.221
d525d907cbd40d4b40b6401eb65a8f704acd202a,221,206,153,184,1,1,55,0.223
eeede1c2153f8f7e68852933962be57fd6295ec7,196,187,700,179,1,0,2413,0.240
9d124efe14da9bc3a58e3e587d686042d72480ec,1057,402,70,370,4,125,1873,0.242
fba985c8e21794607747c1da5247d660fbab25cb,130,223,223,207,0,0,10,0.251
ae27cb9606f4e6dfe63d701f04b49a191bd6649a,-1,-1,-1,-1,-1,-1,-1,0.253
ee78fc107bbf4190b65a855d1d22a916be835eec,62,275,160,259,1,1,62,0.260
b62c51c2017c1910080c6a49be1ed78fd1198bd0,96,157,326,155,1,4,62,0.266
453ad69ff8fdee391d947a0cf3307220a8ea5da1,3208,369,876,290,1,0,2,0.272
67ae39ceb367dfee83a5d0023e0c95add67ed799,388,385,74,259,18,78,1152,0.278
632aa5d70df162082e750c17cfadb87259e37df5,119,161,177,108,5,2,1,0.282
9ad23dd0861a129bdb2785dd724eb546ed3d0e73,-1,-1,-1,-1,-1,-1,-1,0.288
8b606ff57d85dbc190f27bb928a3568ae4893ed4,226,198,351,109,0,0,14,0.293
4fac1316d0260af44132fc50c702b72f58c5f03f,226,263,352,251,0,0,10,0.301
1a4abc62deca2ec7f84ff494a10ec4fb78f73246,226,173,159,171,2,1,677,0.320
bbee22b0db5b6c59f97c597486abdd5e84d757a5,135,95,27,105,2,0,31,0.326
ce703319f1c0df723544c4beadf83c19246e5879,178,518,372,655,18,2,107,0.329
c00acc5facb85b54b72ad2e983bd3d1e11e17ec3,256,65,158,63,0,0,16,0.330
a3a3c2df21c3be2ccbdf68bac6de8ffc51705b31,204,347,237,317,2,0,3,0.353
eaf91688e16df263831df9505e9f10df036510c1,43,86,93,80,0,0,0,0.355
170fce6a8fe391b8887a82cae095093e07232ac1,4118,2557,2,2254,0,0,0,0.367
7d310b9c912bcf052bfdbc141f1e7084e33ce2ca,394,87,267,86,0,0,7,0.371
9aa793e7226efce2667a18dd3c7004f57082bd24,226,324,4515,298,0,0,1,0.376
3b423a56270efe1ee9097a977caac8daba4638e3,143,187,76,154,0,0,9,0.377
4463635b103a10b9d7138c1524f1efcfde3b5bed,83,194,155,186,0,0,0,0.380
bb281ada78fc30ad5d85565463bae02e69f1e8fa,122,1233,367,1125,0,0,4,0.390
e840c17df462da160c00fc793702bf9b8f701210,99,23,59,12,1,14,115,0.392
4d4216bc1dd316d715adc4f4202eb30e0bf46d62,65,363,182,343,5,0,5,0.403
7f068d92d4259bb54a00c53035467f9999216125,258,16,4157,16,0,0,1,0.403
46b17828c610de0de91ae371f78605ef1d879377,332,194,223,189,3,0,17,0.406
c58dbbc8084052abae34c2c792fccc822bcacb41,138,462,285,424,6,3,324,0.419
301386165127333be3584f8d0377ac6b0d83e8f2,257,22,109,27,2,0,11,0.425
31174104317c81566f8e6b2493725da40f215c87,264,155,280,143,3,0,13,0.428
6fdcfc5873a7992f1416e31da90464f26a78d395,-1,-1,-1,-1,-1,-1,-1,0.429
ccb1d48f222f47e51316a9015c3750f7a739f3a7,24,162,125,158,0,0,2,0.431
e2ee61c157d43fb9ebadf99062cd9ae595c846c3,418,711,500,619,3,0,3,0.432
57103ac7b16b3de41405b588b80277b48864c744,-1,-1,-1,-1,-1,-1,-1,0.459
890f37bf4aa7003f0e2901a23ed943d8b9989120,75,112,235,108,0,0,1,0.466
61320559c4a2535f5a72b01213283f00b46f65c6,99,304,102,197,2,0,2,0.475
7102cae0e419a9fd455d20222642c997ee403daa,261,52,154,46,1,0,9,0.479
593dea5aef7ed6d3d050852861fbb290a9d377ed,-1,-1,-1,-1,-1,-1,-1,0.497
98e1ae98d68ddb0b230c35a7bb9489493a8ba769,165,220,185,208,0,0,16,0.508
e4e84a3eb7d2424a8e19dc71a8a99124195ab653,30,113,110,107,1,0,0,0.518
9f61e84adc229a7cdd5645f4e608278684c926a1,-1,-1,-1,-1,-1,-1,-1,0.528
756ce4d3d59c7669043a3c62803912b9d64b030e,982,387,285,342,0,0,2,0.540
eed240870d77931c6aa8fef83833388396fa6e7b,225,-2,301,539,1,0,91,0.542
e00c73a3a4c0609f47a79693083cf518591caa49,-1,-1,-1,-1,-1,-1,-1,0.549
65558865a1b52bb242aa4445ebd7c530f906b1ab,172,103,122,68,0,0,13,0.550
b04954820cffca86b6f2868a42ac052c39ec4fd3,165,176,106,157,13,1,39,0.563
