id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0e64aaef4619856dc6036da8f63812e09770f76a,91,85,778,83,3,99,20,0.002
a28ece7618173f438f4b1c6630493a688ba85f73,153,21,60,23,0,0,464,0.010
389ac8295fd53ca95a2d96fd6d725a18905aebbb,409,81,434,86,5,97,265,0.011
dcb5e734c3fac220d30afd36d2364701fde23c8b,190,54,108,54,1,11,156,0.011
82756276929aec58cc215b57d245b15fd905eb57,241,29,200,29,0,0,33,0.015
0893e953d7c0506fb742c988f2cd1ae867d88fc2,216,59,69,55,0,0,3215,0.029
9fcae61b03461b71e370e57d56058b8a95d7d288,-1,-1,-1,-1,-1,-1,-1,0.032
dd50c5fed3fa753e1f62077e7472ef10936d2b30,-1,-1,-1,-1,-1,-1,-1,0.033
275b963a2219aecf22ea2c5c31b44cfff51fd82a,510,144,341,135,0,0,475,0.034
0cfbe6534a0561fe865a5ff63659974e9d942574,229,140,60,133,1,0,0,0.036
14e0be0c1f2fd562e004c3c411cb4d5191fddacd,517,214,64,197,4,20,128,0.051
2f01a9c03ae5de1f62e0533169e46a23a3594198,-1,-1,-1,-1,-1,-1,-1,0.053
feb7271039bbf40b64c6690b0eefb484d3ab1874,467,26,277,26,0,0,159,0.055
a8f12b2c2f16f2f5992f396b171cf39f763e5235,14,252,79,114,0,0,0,0.063
171e17f6a0b4565ba3a8b2e7493bdbe7e29e4a84,400,50,742,50,2,649,928,0.064
4fecd71a2a2cbead9d4461c349bbcfc279ea717e,249,88,375,78,1,37,20,0.069
47d0f58509a2c63b6afca49d15eed53656cfadee,124,421,126,400,13,766,27956,0.070
3e4acf9b8fa4446448ffccb568eec369535c8d56,-1,-1,-1,-1,-1,-1,-1,0.075
7eb78cc2e47f3b0447ba5626c714b648bd8e3ffe,92,52,33,49,1,0,1064,0.083
3fe7266f52c2504c7a45ae41b3117c09d37a4e60,242,1553,1534,1397,9,287,32906,0.088
edbe7b5c8a717904aed7b14a3d0f57134770d7cc,209,130,410,126,5,293,693,0.090
521752334a73e2b9643dff92e23317a32b37fe76,190,46,154,44,2,16,89,0.092
ef3215f5106b189642bfe925b0ee9c3dd09ea802,181,64,164,62,0,0,49,0.103
ee372497098bcd1bb1f19b6200ee2aa88f2e9ad9,-1,-1,-1,-1,-1,-1,-1,0.104
722104b7b06c1c2c8a59fb4b040cee2cdf4f8da0,201,37,273,28,1,1,2,0.107
d3f3090998882496a38b4b6518ebd59a73609d9d,196,9,56,10,0,0,350,0.108
c2fdf41b908233c3fd93f051b66c08e3521654ca,-1,-1,-1,-1,-1,-1,-1,0.111
1be3e3a3d70e1028c0fc4c34b830011149ce832b,50,41,224,40,3,31,202,0.112
6cef07a70253a8d132a0db56b06fe537d896764f,1722,25,1310,24,1,0,4,0.112
b5ab4bb32c9b34b2b0ecc59d509bc55fb51fcb4b,515,127,184,116,1,0,757,0.121
6d569dd75ad2babbec6a0f1730bfc104fb2e62f7,96,61,122,24,0,0,22,0.125
9a6f683e930dbfbc98027bbf8654aff87d252612,329,36,62,41,0,0,264,0.138
d9aba870cf8ef09a8206cac16f7318f73e270949,-1,-1,-1,-1,-1,-1,-1,0.167
360b1c438722429b750c59f18a0b2d150b6f4ad4,278,210,363,193,0,0,1009,0.173
d153871c00d56d820327b862a429cbe6c60d5b38,214,21,203,21,0,0,47,0.183
b6e91d441370cea0d31ddd246c261dc4c812505a,135,26,264,25,0,0,1775,0.185
a3db6fccc92d067535bcbcc19bbf219f1f8d077a,130,35,97,32,6,153,145,0.185
55b5bb54517287432210e340bbdcd398ce01c0a4,-1,-1,-1,-1,-1,-1,-1,0.187
18969cbe2f5760ac767ff56d32394631bec408c1,330,24,376,23,0,0,3,0.202
af4edd318f696171d42ff801cadf89bb3b5ddfdc,1439,112,254,79,0,0,1178,0.202
22e848c5f821564898f1a53f56c0ceaf0af2360d,82,620,102,596,9,0,909,0.215
825acda1a07145d0f753868e0cb6d53b06f8705c,242,146,250,69,3,94,1,0.218
0a2855a375b077135dd4824781cdeaff41424de1,112,25,173,28,2,75,89,0.222
adb35af4da1fd744a80e41b4825315e0956aa550,60,34,1,33,1,0,224,0.224
1e6abe31c4b77f4e2d3d61fb198bdc59015edf06,143,4,43,4,0,0,23,0.225
844bc4e31429e91997ae9f81665fe17a0d475284,-1,-1,-1,-1,-1,-1,-1,0.231
a0b9e742eaea13cd1129bd69dd20d982734e09e8,118,1130,452,1025,0,0,2897,0.234
5eaab2755e605bdde22b7c8d80e6589073543361,2910,969,439,564,5,58,186,0.236
e8e53eba8c05e5c01b519526630d21e0f64bc333,-1,-1,-1,-1,-1,-1,-1,0.238
b7e041b4167cf761a925eb20874de439a68a52b8,81,69,106,69,1,1,1,0.246
666d9a92b3a05d2b44be44552b01bb4a4cc2c415,-1,-1,-1,-1,-1,-1,-1,0.246
39f97f8763098f71209ec3c9248c417e76016c6a,130,5,186,6,0,0,8,0.253
278198d9e056d27a5fe7c527d6f1677a6501ba26,32,26,28,8,0,0,27,0.282
76470b1e612753cdcd41031dae232479ce72f1f1,157,22,48,22,0,0,8,0.285
35922f98755b890e08d7a07e64ec697bef9ee918,255,135,14,134,0,0,72,0.297
9cc85297f17d2196cd87ebb7639e6444a1362f9e,129,24,22,13,0,0,3,0.301
55fb75222f05e876304bed2882307487fd58d304,95,103,243,96,2,177,30,0.345
5b542a207c30782a8b4d278b012fa8c2e676c031,-1,-1,-1,-1,-1,-1,-1,0.355
b4b33800144ba0fa9fe09cc6183583b580db1882,106,136,6,108,0,0,69,0.437
db766f03d0c2a7e6b76a1e710ac0ca8f0742edbd,93,56,54,52,0,0,551,0.461
310ec34e53d1cd9d979b96eefc4ef49492f61d73,65,12,7,13,1,0,3,0.627
22484e6216a1c2e676c992be73e7413cf95927b5,7,15,1,10,0,0,2,0.629
4a7535b984966faac7710f6cc9b95a52b21d7fd1,5,2,8,2,0,0,2,0.713
121f569e9ed1cb8a74e7c6bd5ad6d56c6b99f1fb,42,5,1,3,1,7,4,0.927
e0f3940a24fb1a3f56dbef29c3f9cfb835606f58,43,1,12,2,0,0,13,0.943
