id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d202c6b3b325612772f405c80167569f891b688c,178,11,72,10,1,12,325,0.001
02f2a3f986501bbb99dbcb5b25e2a54a69bf1ed0,-1,-1,-1,-1,-1,-1,-1,0.002
736bf32a61d7e99d96b4ab8ef932e678fc001e1f,-1,-1,-1,-1,-1,-1,-1,0.002
c45647cecc9b5eff6670b59be38969f9eaab2334,-1,-1,-1,-1,-1,-1,-1,0.003
bfe4977aab3d14cdd86e7d617002d9851d61795e,1774,844,352,138,34,1886,2977,0.003
50f1efb1530f54629dab72398339e03e994e23cd,65,67,170,64,0,0,155,0.004
3746c36a741b09c129e001973b026530a3084341,294,57,380,56,4,129,1045,0.004
268c1757bfeaf46da569b0c7106b721a2ca56eec,-1,-1,-1,-1,-1,-1,-1,0.004
b6b89af3e950d21a2187c6793f6130b5196e8505,1992,398,3656,470,0,0,1359,0.005
4aa2e61ad15e6acf248ea681e725af05845ea423,518,22,61,27,14,196,465,0.005
71cda55354ce3eaa8b3b1145c563811834507926,506,26,18,36,6,100,901,0.005
202ae0190b1a8e0aa32e06df65c45f36abae8ee8,220,32,42,32,1,43,2873,0.006
70bc59c0f025f2ba00bc8adb818f2c5b2495539c,164,88,114,80,0,0,60,0.006
a0fee45e2b9929c0b841e8db333d976405cb18fa,42,89,72,90,0,0,609,0.006
30c75601cda40ff3d7809e4922da1901550add06,85,13,24,5,1,14,353,0.006
1befbd74afbdc5cc5f367ad1dbc1a329830cdca4,113,16,72,16,1,10,597,0.007
04531d13aee0856f0622a1c65858acfc249e97d7,295,55,23,17,1,0,121,0.007
88ba45eab8fb5cc3822d5b9a36113f3fd712b880,134,35,40,35,1,3,33,0.007
cbcb27167b45f9500f0b8b1eda4c61474a7fabfc,296,20,128,24,0,0,100,0.007
ae9b3b35efc8a08e9e3b94343ab28c6e29f0314d,-1,-1,-1,-1,-1,-1,-1,0.007
40db1c86cf510fb3780612a335091a8fdbcb0c4d,564,49,108,95,3,20,388,0.007
acb6082d6b3a9743acc933411ab1ec8321b131ec,131,13,178,15,13,383,460,0.007
5e75ebb9d13f8ab1f0d191e8f66ed4be87eeaeab,715,10,809,218,2,162,1132,0.007
