id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
12b9807a884b4bdb2aa19bafd6d52ce701aeefd0,725,112,264,110,17,3093,1126,0.000
3a1c17994ad89a3bb7abc6acb65fbfe6129eb1a9,277,154,79,74,3,11,2839,0.000
4d38519fe34bf557f8604932d9280545b8ed9174,1507,10,149,12,0,0,1405,0.001
c9f6cad4e07e433d1775a999b3c059454de86829,-1,-1,-1,-1,-1,-1,-1,0.001
98bb9677269dbbb90520b6483c9dda0cb2bfab41,615,72,151,72,5,43,603,0.001
dde9af6703cae3ae6912deef5a000fd711be7117,232,6,106,8,14,826,671,0.001
4646ded2b976e25785834c03d24003b1aa8f9ec3,769,22,122,24,10,160,835,0.001
980fcd616e7f0642993c7b5a8a7f63ff8cc4d4da,860,22,90,22,0,0,345,0.002
c56b432ac7bc0f0ec0c82bfd3de95132149fb247,442,497,167,125,6,236,1962,0.002
15abd2557bcff03304b2fa7dbfd889526d6cbb76,1187,316,708,304,5,71,3085,0.002
07d4b3bf62c83964b44d44ef67128cdd26727985,418,571,111,38,6,197,900,0.002
8546c6e21d7aa9d7e94e1caaa92265a3d0c10dea,6447,483,736,1133,27,1098,2295,0.002
c1434576bfae904c9829eadbf9dfacf5810ae6fa,353,155,100,25,0,0,1088,0.002
785a4ad3679364a00c06cc788c2636da5f2eea0d,91,56,406,15,2,15,64,0.002
177edf3a91190b09a0e4075d418ef399c060919f,423,49,229,49,27,509,444,0.002
0fcef7fa09dcad8c4aa09e115b83a9fb30296f1a,815,33,84,35,1,0,114,0.002
775cb957a9c75f914497dcdaf545e0385d45e8ae,105,24,49,23,2,2,1741,0.002
76e28f50570cd2edeea09eedf4408d006bc45147,819,38,62,43,13,429,277,0.002
93c054b5195b3419c4af0cb54dd877ad75767c0f,247,12,524,12,0,0,17,0.002
45e8991d465629cc49706e67af9bd6fb33cbbfcb,163,38,97,37,0,0,3,0.003
bd7342051376b8027dfefa89249a43ad7583148c,683,132,597,123,6,281,4155,0.003
00f712f68b45857b749c7be07bfd797915a6f22e,1853,76,369,78,10,608,2390,0.003
90ae446143c4ae4cdd24775083f858ca8fdb93c0,339,229,623,226,1,215,1946,0.003
1fa854a651a4b65150918e4931cf32c6d3d0c04d,1636,261,867,272,30,5371,5211,0.003
3da908639f9ce752b7b7bdbc09b58f2412c530cb,369,67,23,4,25,1706,407,0.003
eadfda0ef96d948d5b698393e8ea82c5122f69fc,373,392,59,61,9,147,431,0.003
2f12533f34bc07b20da8e7b09eb1ca16e0de331d,45,50,386,48,0,0,4,0.003
2048762fb8348a41f3a5ce6a4dc61683979b9c51,770,42,569,40,6,76,19949,0.004
79a9a2685a5126a63f813e3aef2081846315beb1,147,55,86,50,0,0,82,0.004
3e83b7d29f7ab193ec5ebe04be68aacc0720a13b,-1,-1,-1,-1,-1,-1,-1,0.004
d8adb5d4373dc5dd3263b80d378eb8e1a9d145ba,2357,64,496,613,0,0,245,0.004
31a46dcb7e39426d9c15d3a0d3b1b9657877e399,520,292,181,102,24,2157,1533,0.004
387afd14ece2e0f9460fac460a5f001668961c38,265,161,157,25,5,70,236,0.004
f50d57dd1246621c5a3b9262d66d11309481e352,-1,-1,-1,-1,-1,-1,-1,0.004
a934c94bf354d64b88b27948a5a2f2f6170f6ce6,296,65,375,70,9,257,1481,0.004
ba4bda5045d0afefe0c762cb48e255de6b53f0c7,179,32,161,31,0,0,1177,0.004
73999aa5bee2fc83f2ef9f7bfa813f188f9c0032,206,83,204,54,2,37,261,0.004
5c5cf9a963bf788b13e0bb38ba1ada91a5c3d461,-1,-1,-1,-1,-1,-1,-1,0.004
b60eafe1234413c0807531b544b69423fcb2af19,768,72,180,69,3,148,704,0.005
4414242c4a1a8d11e5760cf31283949d983214bb,44,23,23,20,8,295,308,0.005
14ee05c549c64c2ca178c779792406afd24a8a9f,272,672,70,326,2,3,160,0.005
6ea387564f7f4d5c1b3769b529e463c497a965e6,1803,573,917,98,17,1531,1417,0.005
3e428ccb71e3487b2edee6df4c509b8759dfa3c6,741,47,123,46,2,0,55,0.005
59f5588c504bfd227180a88313f9295d3adf62e2,296,212,498,120,0,0,873,0.005
20632ce8b6f501ff38560be9090d4aaf48cb3287,1094,65,182,62,48,2489,969,0.005
b2d74165decfcd965ccd8e2803bfc5294c0e6e44,848,121,204,114,16,285,1774,0.005
bdeda46bf017f5f0d7e912fba6d6be1482015e09,1987,93,218,95,25,766,649,0.005
14b02a100eba35584af0c8cc81d3de625e0fc014,648,224,98,238,10,137,2378,0.005
f2d170d03a813e0ad2d479b89832f53c553e0d18,-1,-1,-1,-1,-1,-1,-1,0.005
611664bbffedbebf0660f2ea90add3604006f5e5,122,82,19,6,27,1788,845,0.006
9ef6c518d445f87a2600d50c29448db031f048d0,254,40,83,18,21,967,629,0.006
44f78da940fda6103c3ca6a7c913510050c10f65,358,47,156,47,0,0,342,0.006
9631dc55dde34af6408cbe8c14e0c05f5e7af67a,-1,-1,-1,-1,-1,-1,-1,0.006
71e36545c4c1e87eec27dae4fde799bf4229b57d,235,65,67,64,8,632,949,0.006
59cfd04887f93e38303e7f6806e6ebf7993e2710,162,76,78,73,2,10,1461,0.006
0b6fdeaedf8acec0ee7bded1e7a7646f6b754ed8,1227,61,61,88,37,2158,78,0.007
5c3489a81e01d384aba5566cb315663dedc15c47,489,93,69,92,10,209,1829,0.007
f7f845072b4bd2fa56cab281cf0b07bd82fdd6ca,302,15,60,15,1,2,329,0.007
9c655e996744201c98e7445f6cb1df24e1c08eb6,1799,291,216,265,14,1096,1446,0.008
78ac8dd753d1fff99e2446b86f2c3d8a9b554e5d,153,8,103,8,0,0,66,0.008
e4c6cdd39de6349d470dc297c3805ad4f395c061,5937,988,2981,122,3,157,1653,0.008
7bdcf6cf994ddf15129d9bb4c0bb07ca379efa61,91,47,61,48,0,0,200,0.008
419e7706d283f4359847bdf564c0e770a30cfdf9,5075,45,701,124,8,169,3390,0.008
