id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
fd678ddf2576459c5aa5f28fb63b2e5c4def07e5,2988,195,5473,189,0,0,7,0.029
3af91b8b18c80b5b9cfed4a35c0c5413c31ff6d3,8914,7,15121,7,2,17,86,0.061
b9d90027e8b630fa10352e894e820250f3771277,690,613,322,888,7,3,12,0.081
274acb3844d5efb7be554e9006a3dd1d26f20edb,3547,152,3331,146,0,0,1452,0.187
6d41887572080bda61d88a8c823ed69e978acb0b,9798,54,1046,50,2,3,16,0.191
6e3bef03e75f03a221a1eb6e551e50f6c0a3e3b9,3668,32,295,31,1,0,4,0.232
0725a84a56651e763cd480ceee7f77faa03198fc,9537,15,8689,52,1,0,50,0.236
ab020206238398a1061f2a3e9108aee39d2a4472,166,488,191,393,5,0,311,0.248
664c3e14bb69cfeb5c57167c40945934321b42f0,2904,506,309,493,1,0,42,0.261
d9b1a04e69b1e2fdb0a848f398bcf3152fb0ae02,144,76,88,141,1,1,23,0.267
b4ce1a3f5952e2d7d246890736aa0ca4065f06c9,2279,31,506,294,0,0,209,0.280
0c6cb1679422589a077daacfec86b491d27cd441,82,96,489,135,1,20,956,0.281
28827194a45636755706fb5ab8f165a0f4157eeb,2627,1866,189,2652,3,1,457,0.298
4bad247661268a282a89fd1bba4d6251269f5e46,0,3,109,3,1,0,1,0.299
f111aa80175a2c3276b27b3fb1188603a0d8d9cb,629,232,127,156,1,0,85,0.312
b94cf9074bcec10ac577ac44ce4527d7a2deeae0,9,27,15,5,1,0,25,0.329
aed425b82533a9d526409b13d352268040ec89b0,19,84,1,69,0,0,48,0.329
9ce86c88c19022349756c0191299c8909d555c23,6185,59,777,60,1,0,303,0.333
3cf1050d6c3afc3c61180aab7f0679d9d27f5854,36,9,54,9,0,0,1,0.349
ecbf0bac471826b33a9b4e850b0c2647968b7500,-1,-1,-1,-1,-1,-1,-1,0.387
8b557b63326b88d6cb4de15addd5a4dd44bb44fb,9802,67,1359,79,0,0,297,0.400
78d96fc493cd3f3e05b196141f5dc58571efa852,955,208,0,301,0,0,2,0.412
a32982bb2dffd540068b48f92209da3f70c561cd,70,189,23,109,0,0,178,0.420
