id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
ada637156fdd960c450e0733f9338734151a7b3c,-1,-1,-1,-1,-1,-1,-1,0.015
4d820b321b9d3d878e29692c96aec5ed7c6aa7a8,467,48,134,51,0,0,896,0.048
fda3057c7a3b733c95069e58b521fe0ec4df23c5,-1,-1,-1,-1,-1,-1,-1,0.055
b379795909fb9dfdee25c55b80b6f110d7f88dbb,-1,-1,-1,-1,-1,-1,-1,0.062
819692bb69e9506963d247c9b71fe6204adb1967,-1,-1,-1,-1,-1,-1,-1,0.066
86734e0ad68168d903726dca95e4e1bde974fbcd,213,96,77,93,0,0,12,0.089
f59fb11a2757ba9574283189e2dd756ba270f237,113,43,149,43,0,0,389,0.089
302a61dd348915873e5bcb2e9391d7f530e6d14d,140,17,57,17,1,0,44,0.095
5edca337cc32659764c73325b5a72a728c0aa611,148,105,346,101,1,0,452,0.107
1c7b3e2a4512bb6e674f8915453c89c1b13942c5,-1,-1,-1,-1,-1,-1,-1,0.133
64871be260d63339651ab43cc7d77a0aa110a9c8,-1,-1,-1,-1,-1,-1,-1,0.140
268038ce2267dc0856b8c4caf9ffa72be55ce2b0,-1,-1,-1,-1,-1,-1,-1,0.173
b5e2039a8b0d05cc13ec6803a56e1a2105c5fef5,-1,-1,-1,-1,-1,-1,-1,0.240
986e79f17ea68facf02c76c74c02cb5b9ccdb72e,253,4,266,16,0,0,16,0.313
e953fa2b993dcd5b12137fdcca87ca08a37291a3,73,53,37,52,0,0,73,0.320
d679334966517a556ec83b14b46a7761d1ebe346,-1,-1,-1,-1,-1,-1,-1,0.338
bc3a6d86c9ea1a1b7414907531b497661df00b0f,62,0,15,1,0,0,9,0.354
b30a30acad086d569e44797d9f85e6c30ef0a0e1,81,63,96,77,0,0,3,0.383
b52a384339438acbe05301c13e5bdc88ca3af2e9,65,181,110,176,0,0,87,0.392
a26f73c0e4ab1f21bdc4202c65bc8a1f33e5b9fa,-1,129,72,120,0,0,531,0.437
03bf5063be463d5f207f8af96868289c79b469c5,-1,-1,-1,-1,-1,-1,-1,0.512
e7d276a0f0290de23f621661166c0d023149d308,-1,27,601,26,2,6,7,0.570
69fe8804102f29f28a5c79f713593177d4df606d,124,80,104,42,2,27,65,0.578
a9e3ae5e94ef51ed1f236358314799161c9af7d3,89,88,54,84,2,1,157,0.591
b9e2d14e66deed9113de622c9deaf90d758d0130,-1,-1,-1,-1,-1,-1,-1,0.684
733860211a31d46af22ef92f8e1133ddfdaae6f9,-1,-1,-1,-1,-1,-1,-1,0.876
