id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b66770151ca7835eb0787116953bb8c8068b77dd,270,98,102,31,11,263,671,0.001
8f7c6c5b40aa18b1af99b1a79843a2aca327cff1,4906,230,1337,577,5,580,1311,0.002
ef997057e33e0038d968ebe0bdefc13bb2bb65e5,1074,20,357,36,22,705,1965,0.003
9907e71ca7fff17e051b654a81b93ec311dec7e4,3184,27,990,43,1,0,1593,0.005
3173651a01641ad76aae4ebb8d863174f9d8de96,-1,-1,-1,-1,-1,-1,-1,0.005
72b7b09d0ca3562170953e5dee82f0010df1cc00,7067,868,2054,1538,2,34,616,0.005
b8abddb10f7688d6c8dba042386df349e733c1a1,-1,-1,-1,-1,-1,-1,-1,0.006
44abf0c93a59b639a601ebf51d670da28409f815,290,104,1046,98,1,2,419,0.006
52c344eca740859f202a41e37ac0199acbefccb9,303,1,310,2,0,0,307,0.006
a3570daaa948e9bb3d70a7005ee62579967f89d5,-1,-1,-1,-1,-1,-1,-1,0.006
c8d5c150a444e4c9d99c074ea252fc883730d7c8,5142,217,1556,214,11,170,721,0.006
f73da6123dec1e509b56f982d0a70a64d5576938,-1,-1,-1,-1,-1,-1,-1,0.006
7005fc31fdebbcd7cacf6fdc679cd532359f1ff0,589,594,248,209,3,267,452,0.006
6955c5578e8845b6bde75ed5ed2a13984362eaac,7328,233,830,431,9,779,1894,0.006
4ed5aaa33797fb82e3e0bf4144a4370a6302c007,4266,142,6492,328,19,646,1619,0.006
71494445e87620b300ecd8719485bfd4dcc778d0,99,19,86,20,3,36,1076,0.006
e9a99b4c1e662574665ea69878b872f564d2e1f7,152,60,94,59,10,292,156,0.007
a9e08c60c2d1431695ec73a5187fb668fd134b8e,3760,94,365,872,0,0,946,0.007
b317eb3baa12209c0d995b15ca66c8251c242b0e,3532,55,1019,214,0,0,290,0.007
eaa7f74d4962d39092959dc8017bfb5b92ff4694,95,9,1,8,0,0,92,0.007
4aa4a1d30cea31ebe9f6cb5a4df9686aa6349a0c,4045,209,502,714,1,0,670,0.007
f06dd00558a66ea477526bbbfc5bac09ff6aa505,296,7,58,11,0,0,13,0.007
2a01e2b1811a64f0ec1d94f23e667f84b061d07e,6,0,10,0,0,0,1,0.007
3aec0b0feb390b4da5b7caf857de8b7c8326b209,227,54,211,52,0,0,102,0.007
0df619b829f0bbe0e6d57cf4140768814940e3af,285,12,63,11,0,0,118,0.008
ff2e9e5251c83d3d0f15e61dc161a3446f2cf5e6,201,13,194,12,1,0,1137,0.008
b224c0ccfde80554dcd359eea65569c7afd87f95,403,31,261,28,6,359,456,0.009
