id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
afdde35aec2d0d006f1a0affd141e30903f8d93f,124,52,52,47,0,0,0,0.174
60a2f998105f3e4487e5d94b20b869af1ca74b27,387,299,215,190,8,0,437,0.256
033631ec4333ff9a0e9eb5d7abd1c61f4023865d,738,571,214,591,3,0,2,0.258
3c4724ba9264757e0ae93b9ed74c6a215265afa9,5319,135,271,128,4,38,164,0.266
8e0b3f00397c55b2e2e26ad9f504140e75913b70,-1,-1,-1,-1,-1,-1,-1,0.268
61445f4304ec61c94bbec6a22340cb7394a7dda0,161,116,10,82,3,0,278,0.315
67e8b6dbf7781d1a3212f70a5d938b6c4347e91c,38,75,142,74,5,0,7,0.365
9b9ffc40da95e60ee495a4258cd557e6ae2cb74a,826,668,279,914,13,106,49,0.375
aa6587678ab928af6f362433b63d8f265395f58d,236,483,27,476,0,0,0,0.379
f9579ac1f53f0c4a1cfc9c70b39bca464f30c3f5,164,79,84,64,4,0,17,0.379
50448a621694302cd1f8cd335ad303418b7c695a,-1,-1,-1,-1,-1,-1,-1,0.392
eb187e2e50a62810ff3f72d164f3129b482e71ce,83,18,59,14,0,0,18,0.395
29779d79cfed6a50a360f9584978d066ee565aae,1291,1193,62,1284,27,0,1372,0.398
bc160a40a0b453465c1555cbbdbcfce9a1e3c3e8,203,804,70,432,9,0,659,0.408
ee44626618cc9c90a91cefe75549b2a246f9f1e3,88,50,23,52,0,0,84,0.425
3984aa6119368397b81d8034fca3133d30311f80,240,24,123,23,9,25,44,0.430
a98750bce517c4572f3d1af6aa3c630d62d9f1cf,137,45,109,42,7,5,827,0.435
a4aecbef1add97cf3bfed1557b87770c89ace3fe,82,52,19,45,9,23,533,0.439
094c0b7e6bc6c715eeb1c201686b25473189a1c7,137,208,14,125,4,0,186,0.451
23d1c1e1e4c6eac09b5d387ebda16b10006d6126,98,47,18,44,1,4,3955,0.456
17ba39259ca91a2b07b68cb5e614c6965c914898,-1,-1,-1,-1,-1,-1,-1,0.467
8f5bc6489c9254b248593ed16a5c304437799e27,184,469,45,428,8,0,7,0.478
9c9ad1ad1da44aad01e0740f2704443e631fafab,-1,-1,-1,-1,-1,-1,-1,0.478
60aca4ca0fed76c053e845645fdc34f5fe652266,-1,-1,-1,-1,-1,-1,-1,0.479
6725cb56900f587dfadd1c1f3e4a9a34170b2ddd,-1,-1,-1,-1,-1,-1,-1,0.486
21c781d1dd66870e2bc99dbd0ca1d27b892ccffb,184,2,24,17,3,21,86,0.489
ec7ae6638be48dcedfaea07b2d7bd2f24056dc41,152,200,97,189,1,0,2,0.490
1234eaae13ecf6e64c01abafa882ea3ca8991d47,56,13,93,6,0,0,14,0.493
a6cb8fde05696ebf7d00cad818069d8a33cf8ab3,-1,-1,-1,-1,-1,-1,-1,0.495
dfc7908f450f186fe924894901976ce4ec909ebf,332,273,389,305,2,0,24,0.503
1fd09c9dfe29bc9ff016fb815803c08c16d748ff,319,310,16,327,1,0,3,0.520
2405b1ff949a8d2644d36875b1335778c3d4c913,4480,6,1729,6,0,0,189,0.521
5e2474bad5519f0fc10abba3eba7827d935d7fea,-1,-1,-1,-1,-1,-1,-1,0.521
3a3b52a31f0768cb2d0b2b0e6b4c9547076b6fd7,197,78,45,93,1,0,24,0.524
0145cafcaa104b00c4fb15bb71272d63d1445f01,173,114,168,127,3,0,2,0.527
7664eccf0e3c4cc57641a7ee5d5b365e12aee221,4100,736,129,251,0,0,304,0.535
f49aaf3a32c22eac67ffdb071e960f02db23b4ba,-1,-1,-1,-1,-1,-1,-1,0.539
dab91227ec459107a93821f182c48c22172a4bcf,102,52,51,56,4,0,565,0.542
bc33268c1715ab7cb3c993313f9dfba4f9f225fa,64,13,39,19,0,0,5,0.544
5dfef9a2db44521bd7d97b705ee394a915f0e67d,-1,-1,-1,-1,-1,-1,-1,0.548
497b24a4d143c925022303ba6f0a2817499490dc,79,118,16,133,6,0,0,0.550
33152b9527cbbf0c2ad644c3b081948b8a3122a2,53,33,42,29,2,6,87,0.563
fa611837c22d67a622183be50888911eaebb790b,507,309,105,299,1,0,5,0.566
c00cb55cbb18f6314ae86c31d4ff72cf848a7ef5,121,166,178,165,0,0,0,0.572
baf1d5b18d1e43508384a1036dbc089609295af6,203,66,10,53,11,20,241,0.575
c3cc888f6d951a54c675791c7608e3049650906f,-1,170,112,179,2,1,16,0.581
67815b9694b1f271f699ce94712c0aab95c161b6,20,16,75,19,1,0,0,0.591
6b7a6f6b638fa3b3f1e124f88434c8c2726ee92d,99,322,166,297,4,0,928,0.593
981ac815cab608d67eee62863fa17d0d6cc4b974,111,14,18,4,3,8,286,0.594
d900f9663f1e6b30dd7f57f14aa02a2cdd2add96,544,282,198,267,1,10,66,0.595
a2f4522a3b0b5ff01419a5d0250f0ee1161f58b1,-1,-1,-1,-1,-1,-1,-1,0.597
04761f5056e50ad70e6d284192a0ccf75ed21ea9,-1,-1,-1,-1,-1,-1,-1,0.610
a9da25ebe2262063b57028d8c3912ac8ff5fabbf,14,127,34,70,1,1,111,0.611
79b91f6a6d604fe897248b64c3c9e8739a8d8a17,149,136,23,84,1,0,293,0.625
d5b233fe2168166a3e6e1c6d6a165a3afd1ac4f6,30,195,188,187,0,0,1,0.664
6efda4f6bf04c2744d129bd1919e9c1e1559e5ce,169,72,35,77,2,3,181,0.664
1fc78917d5d69d9aadbbd2e33679a376b5300998,51,376,148,379,1,0,1409,0.668
2ddfc1181030a5c2bb94e04422524bd01f53a6bb,29,47,9,40,0,0,24,0.687
