id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2955f30a9228db13a87ce7066df935a1e760d2eb,99,201,217,190,8,550,623,0.223
7fb71283ad30701165fd31cd8287a3e47bf4a5d7,253,70,65,107,0,0,1469,0.386
fa47a9b8bf8d1160c571402bdab60285da3998ed,148,102,49,95,1,0,35,0.428
6a54d15824bac5aa9b707f3665f2f77942ae4529,52,101,125,98,1,0,2389,0.428
84e8d6e72bfe889e29c76499b522dcbb3d800373,35,144,167,139,0,0,7,0.496
ab587d0f2697782f7603b2d1ea2d9aa4aabca082,113,56,34,58,6,11,43,0.508
561777a22f3729c61628e6b888974ce2fc13ede3,135,301,123,276,2,0,2,0.527
7f66a37d6cd17a46b43787fddda4ad806c7e3541,139,241,69,231,5,0,9,0.533
1381af402beae576b55bda70eedc0d95e6990ea4,78,163,11,105,7,10,194,0.579
91a45f025edb133634c14e52ebef48f2f9d475ca,-1,-1,-1,-1,-1,-1,-1,0.644
aed4bcd11fccd0238bf311ffb947297e67a55585,-1,-1,-1,-1,-1,-1,-1,0.682
d197edc773fc12f59e962e437a6eb8074cda238c,62,109,82,80,1,4,107,0.704
d1d92898f06913d91a1a5e9cd320e024aafe1e67,65,40,29,52,0,0,30,0.728
e333890edc0294e59be21656d049dd91cdac65f6,-1,-1,-1,-1,-1,-1,-1,0.737
455d208ded820b796519b56e0b5d919e9f369d5c,92,286,3,196,3,1,2183,0.740
b01390d5f61525c5c9e19f27d71399453aa2941e,448,1094,21,1043,0,0,769,0.769
82533e26309a61313e7f5606b4ee4a97d732f31c,6400,50,2793,49,0,0,865,0.790
31a5795e7a1688485a4a022fdb5b0158657608a0,-1,-1,-1,-1,-1,-1,-1,0.799
d64de6f29a5063cd3a344d7c1eaa67833532da06,-1,-1,-1,-1,-1,-1,-1,0.818
3ff50b505114ef207a42d644d409649ab3029382,131,174,47,200,2,4,187,0.830
ff068968d6f474732007c211dbd429998bac9247,14,36,6,25,4,18,33,0.860
97e1020fbc1414484682f7be68876897f294a0d1,27,32,0,33,0,0,22,0.867
d4f5faaf232fa278383d4395a18878ab29716164,143,81,51,81,0,0,6,0.870
816275a4795636c54048363728d22416f8317ebc,80,477,93,465,0,0,25,0.870
833a18d22226ba02de91505b29b762feede8978e,287,107,56,108,2,0,92,0.879
138156e17587362d30650a7f87b627e66c615903,-1,-1,-1,-1,-1,-1,-1,0.881
55c00b63e1685b0931f660bde59149e463cdafd8,6,59,6,60,0,0,5,0.934
