id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0b45b2fa234f32cdb29e0bb0a24c85f2f4baddc5,214,6,51,5,8,194,120,0.003
7a166723df03170a3294b4138aa29368719969c1,61,10,29,10,4,481,5080,0.059
252985b4a3e7b5eac44ddf009fa6e455d0911215,-1,23,116,24,3,0,373,0.110
4a8045d5be61ba700177cc03995318e5c8b725cc,67,10,27,8,0,0,55,0.128
e4646a3ec97a153477b2d737ff30a1e8fd0ba26a,82,35,167,34,0,0,761,0.149
f30e6bd9675cf3366b4e9ac1ab139cb1153dd650,-1,-1,-1,-1,-1,-1,-1,0.199
3e34401dad96ab682ff1e43e2906da2eff1d768f,-1,-1,-1,-1,-1,-1,-1,0.246
496a5162e9077b3c1fe09de8cd3f9b340e84b8d4,3,24,3,11,2,12,91,0.277
765057ed9f604b859803f729650f0d06dedfc293,58,100,198,83,10,117,420,0.278
db5aa852aaa55638f8f82b01dbabcc0c500ed29e,81,195,40,134,4,49,2184,0.441
1518d0ba9163c3ab610e9705122bea82ed5a4d32,3360,137,469,401,1,1,1,0.709
120d7c0bbc0f9c76ceae8d337a6c3495ecd364d9,10,14,21,7,0,0,456,0.866
