id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
867ebcea7ab22345a446e999c58b58ffdbb6d8a7,70,35,81,32,0,0,20,0.006
078b7b95e5bcf3ca07c2a873040de7f491c53494,269,16,174,18,0,0,764,0.008
993e0f7a1bf8a13eeca65502131c43505bb623b4,171,110,127,101,5,122,123,0.012
71956405398af49d7b35dcad430f8ee7a01664bd,-1,-1,-1,-1,-1,-1,-1,0.014
ba0ca623d655fc3efc10d8c342238a034eac3127,248,110,125,29,0,0,1987,0.016
558dcdc80a4e8017900f9114248c65b1a7154a32,67,50,55,19,3,35,1107,0.017
11e97e96aca438bf8da7594c46696f2171508935,143,26,13,26,0,0,24,0.020
e4490f548e23a7f5273b05044a29d92a149245b0,107,56,97,53,5,148,303,0.029
ea3047af6a24fe1bbd99aa6d82ffacb6df62deae,174,172,43,29,5,523,113,0.029
c041657a0bc60681987b9a7a302e3b45a6f04ea8,141,46,139,45,2,49,469,0.054
60d26fa577c73d31516bda50336146005ef105fc,126,38,53,35,2,1,196,0.058
6ce1a7ef8592fefc70640cb9978e7f923aa8bf5c,156,91,334,88,1,93,88,0.070
a186b04cd1ad8fc6d29a2914f62323e712c626c2,240,12,144,17,1,9,4163,0.078
3d44f98946d99dd4e393fbfc5ae7afdbc18c0c6f,62,212,47,211,2,360,114,0.138
8588eb597c6f524fb218904527401663aea8f233,576,161,316,167,0,0,770,0.143
0545f1e665bd7d24e575e28756abd2bcdfdd3b54,55,46,130,52,0,0,3954,0.148
8b183c9c4698ac1b1df558ea27d25460f02f33c4,156,61,58,58,0,0,102,0.154
d73729be304e406465d2029291c99f2ff5a57b9f,149,10,58,10,0,0,6,0.159
c271397099b55ce3da3eef5c7dfcf5951c642498,-1,-1,-1,-1,-1,-1,-1,0.160
5495e045df211bafc04660759044bef0f8e6787a,193,155,451,146,1,1,3,0.166
677d5207c89573e53ab002698171fcc485df5698,107,120,211,108,3,49,213,0.186
214220c5549b52a8dc8e9aa39ca05b882991d456,54,21,2,7,0,0,0,0.193
f9dc3a436041fbb8f4f91eea133e3becf5e57ccb,147,27,286,27,0,0,3,0.203
6349b2d22d5ae5457a8452b4544ffddccc0ceac4,1088,138,403,134,7,383,33,0.207
a9324653390f5b281b80d072c4e8e3d62b74dbdd,178,156,121,155,1,137,15,0.208
5ddd248dfb85c88e90a0ec9a0a5382b31905adfd,86,67,266,61,9,43,1361,0.223
2dc12f34b53f4db2abc08b1356cea0bb8ab2e6e8,-1,-1,-1,-1,-1,-1,-1,0.224
09ce6016037b221448b3fd452be9844084030011,112,68,288,65,22,5,36,0.229
562d78541953ee57ec9d7d9b306a4254d97b6e32,248,124,47,132,1,2,4,0.231
ba9e97085af9c42652047c7efdeb68a68a5df58c,114,167,325,164,1,0,0,0.239
9b80631acc1da9f34acefdf3050e9cd5d689a937,170,63,705,62,1,19,68,0.239
51d0051f2985e7ebf3a4e8f3e0d588c533ac6255,137,389,207,361,2,23,1994,0.239
9f3e983b928d7219d68a48ab82c687c365836375,68,148,173,144,3,5,6,0.247
fd9e0401655f88c4b4717bda0583983af1f371f4,121,88,40,86,1,0,16,0.248
9b63fde31ccdf494c3c8a9bd042bbd2f758d0020,49,0,47,0,0,0,0,0.251
26beca2b6ab3a1c161b7ffbf09726eda348e057d,131,88,61,80,6,97,397,0.251
97e2cd1b07ecf665908f46e19a63d44a1d7bf69f,69,58,95,57,0,0,6,0.255
4e59c058104878b644ccc014ac6af8c66f672f23,155,270,423,267,3,18,18,0.262
6ab691a0cc82bad07046c6a8777395c4cbaf2c26,94,46,97,47,0,0,31,0.264
8f4434955b22c31b9d020368f6d503e97dec5870,83,210,129,153,0,0,23780,0.271
1b2e210d738f3b5a4bcad037c5449c2f6c6b0e35,262,73,337,70,2,35,80,0.272
d8f2a9cfae8626d5daf62eab94bb1efdfef4939f,95,55,27,56,1,2,12,0.276
c692575666b7a4a46ba008689728e51542b0254d,114,62,49,61,4,82,41,0.278
10f78c7082346c0367e6b7db539a3082a1fd44c5,134,82,191,82,0,0,2,0.287
50d7d4647b2f79524b82e02a0f9ed66d3154538a,74,116,148,111,11,25,12,0.287
7ffca570790183f13118fee32615f59d8da9ad8c,205,1156,216,1097,2,60,1959,0.297
f71b70946e67a66c48441d3865eeddd53c153cdf,85,96,32,93,3,6,247,0.298
49dbba095090dc4f134450fa5222eed31e5e3e0a,41,733,104,654,2,53,3812,0.300
876ab0fa947c8c7496537ad6385451496963a2c8,-1,-1,-1,-1,-1,-1,-1,0.301
c87c177c79f21b16019f51b1c770e1c6f647cc85,77,8,14,7,0,0,0,0.303
565d0f1d87a9b1c342509ddd9d21ce993d38d7c7,445,177,32,62,5,5,1237,0.319
2a32dbbb79bc492ac28d54ec435cb7d76074e31d,49,101,125,98,0,0,3,0.321
2825a27daa956c7c47b6dea37fcbdd70aab59622,50,96,43,90,0,0,22,0.322
c2d195fbc74553cdd45582d8643010ee0e7c0406,165,98,52,41,8,68,164,0.334
e59600c4b54f44773e5ff2812b104a24c527c607,90,43,80,41,3,27,312,0.344
7206d728146bc2e71c8c8091ceaa86e2ee2ef69a,541,420,44,395,2,0,843,0.359
d72725409c4d42be3713bada0eb4a995d6c17907,101,233,23,140,0,0,101,0.360
f3c898ab26ba47a0d3b592c85176dc5b0131c95e,57,75,63,67,0,0,0,0.361
451f33c676d4f623fe695ad1ccb54d55ddf351af,77,9,63,9,1,0,4,0.367
2c563964c5ade7410ac741effee6aa31396354e4,16,98,125,94,0,0,23,0.368
c630e3f12dcf14b95259b1d0723e07c0776f398b,-1,-1,-1,-1,-1,-1,-1,0.380
ebf8e6424fa56de81ffc679139cf1be2e597b646,45,22,26,21,5,207,65,0.387
7d36336f811cada8e63a85bb7a926b88af777fb3,190,0,123,0,0,0,204,0.400
6ee18607a6fc3eb8113f4905e103243c42de29da,27,91,66,64,1,1,451,0.410
bedaf34106d54b99ddac5270001ce512de967c93,42,54,73,45,3,133,9,0.434
74fd4cb1934b57037bfd67ec7e0ac1f023b8f479,31,58,5,45,0,0,89,0.446
d26d5dcb65cb38362534f434000f390f3c286e42,76,164,74,129,2,38,24,0.481
4d180229ed402c59a4cdc0c8c5351a4e205c98d3,108,335,145,326,0,0,647,0.545
cd8134261a7a2dc44e276751419a56a1512dbf80,32,67,17,75,2,1,158,0.578
8b1814e83aacd6a1e527c02fc8048b13964e8195,24,29,19,29,0,0,7,0.616
6ed4b2329a6f9514991818188120e99f31b935e0,23,98,90,90,0,0,11,0.651
4289380aa5fc765e0680add801fe890fba6352f1,1,1,1,2,0,0,2,0.717
e7718cc0300940f41c4976f7cf9e1ebc57d9a26e,-1,-1,-1,-1,-1,-1,-1,0.718
d837736ad621b1ee65283fce9fa3abf0f54e9b5a,-1,-1,-1,-1,-1,-1,-1,0.758
abe78057753ec51121e46dbcc365a92befc963a7,2854,2,17,5,0,0,248,0.806
83fe36bca8974012b5a122c1520d03f427d3a733,68,2,3,14,0,0,20,0.913
