id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b6a5a579509d576f342dffa9c547259de625c5bc,8441,999,12795,1036,0,0,4299,0.011
1a8811f825708723805297416ec75e5a6329d3db,6646,789,5304,713,23,772,2401,0.012
e9997bd264de3e771e71a45c5b179c2e35ade8d4,8129,1453,3030,1596,52,1595,4339,0.032
989c0878a84928bb96fcb40978dadf4cec0ecd16,4563,106,886,176,6,342,1320,0.043
a53ec5ed2ea8873ef570bbd169c82c22170bee9d,-1,-1,-1,-1,-1,-1,-1,0.044
efa04edc722f3dfd1b7344712f0f953e9755c623,192,78,104,81,0,0,2,0.052
86efa20394925044642a7381241f3d3cce143886,200,10,55,10,0,0,27,0.053
2916e0d204cb8f5f1448acfe2043dfb7298e7905,177,56,438,35,1,15,1512,0.061
b89688b3613f309fa1a5dc7167211b3d81bab6b1,-1,-1,-1,-1,-1,-1,-1,0.062
214532987d6b4c292b6afaebb0cd5592ce4c85a2,-1,-1,-1,-1,-1,-1,-1,0.080
1ec96a99d8cee14655ddf4d9019871febc38c3f5,-1,-1,-1,-1,-1,-1,-1,0.083
30a3730598a7bfb644a05dffe816f8566a9864dc,67,24,176,24,0,0,53,0.085
7d1157a46bf0aa63c4484c338beba30fc809a7f5,-1,-1,-1,-1,-1,-1,-1,0.091
f7440eb81e5582d91961e525cbc9133b586ddc1c,302,28,435,28,0,0,16,0.094
3c6a3c1abe0955f1066b6c46bb6f38f2cef5dbb1,99,18,163,19,2,1,168,0.096
f513074d34f635947abc8fe29436acb7637cda86,57,66,181,63,0,0,100,0.097
c29a079906fa25a62711bcf96d911265fbd75095,171,159,304,151,0,0,223,0.101
1ace88c3efe4291172e18af89fa83a61220865d3,-1,-1,-1,-1,-1,-1,-1,0.103
e0e3729276d803148bd9a2839e9e1cfccfc65deb,247,133,316,124,2,0,174,0.106
