id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e1cf3675fee30b617b3ff3a20b761990f8457a4b,152,61,174,60,0,0,0,0.048
2339d55c942063e7255f615c3284e5ce3b5b3bd1,101,20,244,23,1,17,5,0.145
3b34d04055fbda871005b4d517863505a62d5236,38,22,118,10,0,0,112,0.195
9aa7c0778be68b3b2ee44eb261dd3490deee4537,35,55,400,54,2,0,5,0.223
685219b0eaa4cb15e7ee208d16bda856883b900f,69,49,85,48,2,5,7,0.247
cb44233ad91920f0bfaacc625454a778373d1623,184,49,338,49,0,0,6,0.247
d553af07fda4ed7379a7e4aa78f116a1642ea8e1,107,32,464,32,0,0,8,0.250
5e60f5d69d628e9ee921e6528a7c3ab64a54413f,154,203,211,157,1,0,4,0.250
befe9e19ecab92f2ae0c11ebbc414dc808d31770,158,178,247,169,0,0,6,0.252
ee820d5622b0ac3032269af834b140bddcb9f186,-1,-1,-1,-1,-1,-1,-1,0.255
6f588345b1033b9c61df316e50fe3ce6efadc777,287,711,176,726,1,0,4,0.256
13f61697c54d2f4a61fb58cad54058317470b4d5,145,152,117,121,0,0,11,0.257
9e4be53b6c6364627a6e2d6ec2eedae32fd512a3,291,169,112,162,1,1,550,0.258
883827dbe86c92e8e1c2293f9d5d61b7817572e4,55,1342,1846,1088,0,0,0,0.261
df08c217369165faa28be864c8fad96da4e0afba,172,71,188,68,0,0,8,0.263
ddf12c0a8264014eb71c6057cc4364ec78daf08a,416,957,679,887,2,8,3272,0.263
4a173d006bbc909873455a81c04a9b94d1579718,50,221,197,205,0,0,1,0.268
eab156bb7525d72b21ba4c4706af5c229b65b7bb,27,52,143,53,1,0,1,0.269
b4d13b424763c8ceb087517a7fabeae005f8106c,130,86,140,66,0,0,1,0.271
16b90bef7e2d250c8ffa56d2633aab40cee093be,129,78,136,66,0,0,6,0.273
cb5bf835ce77b847a2bc9d780d209735626c4c52,9,0,261,0,0,0,0,0.273
2e3f5cff74c15cb356f717e2abc9d9993d24b612,53,265,380,255,2,0,3,0.285
294819ea54d803df58b52b92a0efa20b97c2125d,172,88,74,66,2,0,31,0.288
9257ab22aac83ea1a8f4b9b926b7366c9530a0ad,94,274,337,235,0,0,110,0.293
72c84d778059253fb41c255c34fecb696ae35c11,279,74,304,73,1,0,0,0.296
5b3b9e890bb95983a9d32a6c9e183433f5d0bcb8,130,661,126,606,0,0,2,0.298
115386a9dbd7b35d5987fce6b37d210f3ca17ab9,113,27,91,28,1,4,8,0.300
2cb972c0abfcac2253e52dd3f6b67fb576dafb38,189,216,221,192,0,0,35,0.305
1ee28a0aa57e6c36569ca7757df50afe2305aeba,153,15,40,11,0,0,5,0.310
d9899ab81ba267308fd8e6415ed84e609b63bd07,89,56,370,56,0,0,1,0.320
7f13e138abf81753b6685719a035c6d90bcdbd16,166,167,299,164,0,0,1,0.330
562f7b95d2fc744ac264f7c5b514f5873d96ee8b,182,94,166,75,0,0,1,0.350
d9c95422046e4d3b57d035e4a30029dc0d1257f5,39,21,255,19,0,0,1,0.353
c3c4127bb7821c1719fa6b2ea92d74caa40f542c,-1,-1,-1,-1,-1,-1,-1,0.355
c9f1e9339482d6f9dc682a6d5ba7e034bc818cad,38,32,235,32,0,0,0,0.359
79ff6e173f77a45dd33ff505ca35ff7a5ca8325c,196,56,127,54,0,0,2,0.361
412ce395ca356b9e740b78f21cace53c54da7f4e,177,159,216,151,0,0,52,0.362
c7165cb87bf014f3e716385c63cc6379ec59ec9a,57,106,169,111,1,0,2,0.372
4d26b39e0d8c739d5a9da87bbf20d75c975e1985,263,285,141,255,6,0,10,0.373
e50e44832a4e32cd18caf3f0c084816bcbcce5a9,209,616,20,578,2,0,7,0.389
57c9f97d301c658f5ed346bfb076366173d16f15,299,67,134,66,1,22,2,0.408
18e82085e2567c204c9a1227defde379e6ed7c07,97,243,55,231,0,0,4,0.415
68ffa09c4bce370575f8ba7b44b50888ba20ed80,99,1428,392,1319,1,0,1,0.419
bd0cad4fb7f9fd8486296a3bc3d153888544eb1f,91,47,33,42,5,0,0,0.421
3f190ab2441e737b3ad6eb2c67269a27e02ed383,258,52,90,51,2,15,17,0.458
15022d151c86fafcf6cfd9539a85e293df0502f1,-1,-1,-1,-1,-1,-1,-1,0.470
cbfc137d18deea63f0048517e881e0f4fa301011,-1,-1,-1,-1,-1,-1,-1,0.497
0e098cedc77aa41c4ad0b4f228131809a4938bb5,316,79,344,76,0,0,6,0.516
8b33ed89c67a7de212dc7fd11f82c4c387f4b641,-1,-1,-1,-1,-1,-1,-1,0.517
b60698f7d38b9ccbc82b34218e0e45d8f23406bb,66,131,82,123,0,0,0,0.522
58d1d48245faa152eaf156da5678ee155f64d5dd,61,121,181,119,2,0,12,0.533
3bbbee6cbc6259b36d9716b5cfd57ca177d70ca4,5,5,2,5,2,8,294,0.539
cb9c1ddbe7996705fbbc1115602c2bb0c3e43aa3,1857,5,90,70,1,15,217,0.560
b6494b694c749560fd1e3b2239918b10931543b6,143,88,142,75,0,0,118,0.563
1e58086417e35a523c2ff5f07be7ef72c78fdc62,80,32,90,32,0,0,1,0.566
e86b90efc5a868d2c97409e9b4a63bffb34e1e95,281,432,192,253,3,12,2964,0.577
2a9cbf12bd5a7b75285ad991cf3aa997cc464be9,60,15,12,15,0,0,47,0.603
2002963c0e0a3ebaa7c9c6cc6de9a6812ac6906f,131,63,46,60,0,0,21,0.631
6253b72c4bbff7cd51d3a55495885435eb00814a,88,91,52,91,0,0,3,0.636
3ccbfe5efdf6459da199638a0e393ce9dd3c0b94,21,33,41,32,0,0,1,0.638
1ceda3d04bab0f451591b99a7cb9c65716bbad0d,130,162,107,154,0,0,5,0.644
fbcbcd534a598737e3b34ef5c4755bf5bf6e9ec5,165,118,17,116,1,9,64,0.669
b87dadf79d96d4937705e88a12108fcc09d0e119,69,37,34,34,0,0,5,0.688
db50d7f3119802accd1d973e2bf3107adecf6e94,-1,-1,-1,-1,-1,-1,-1,0.738
5094378c71fb9cbe58d1ad060094d0777137dc0d,68,82,59,81,0,0,1,0.753
f290a72657dbc3a5a79c8312d6b7838f81ecbcab,94,14,30,14,1,1,3,0.809
68364f9627ce3f24cb7c3f7d1f7c07bba9436ab5,215,137,45,132,2,0,7,0.810
a62a01987bbe52c8e4d2155c2057b28e56a6b8c4,75,30,10,58,0,0,1,0.823
627c3104e739c9127cfc357e7379875e5744fd49,136,62,11,61,0,0,6,0.844
