id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6899d971f5d07c55fb2db317057ae973dcc88923,466,184,235,186,8,104,1626,0.016
332d321a472b84d637cdc87778cf25ce469aa7d0,160,89,275,82,0,0,966,0.036
8137cdaf3a8c89ca493183f322472f5647d4b7e4,-1,-1,-1,-1,-1,-1,-1,0.040
491fd6ec868f14a04c1cfa2919f6c076a0c4e42c,255,136,265,159,0,0,376,0.042
ee418c406cbf5b479e4c03c8190da3bd1f6bf060,99,56,115,47,5,131,329,0.096
a75653330d5dbdc53d5b29c97611b254eee6ceb9,-1,-1,-1,-1,-1,-1,-1,0.098
64a07e8c6f01e860d58fec3172aa33c2454920cc,135,147,464,141,1,0,41,0.216
9347f435d861f7a9162748465aa4119919027947,282,96,95,91,1,1,36,0.222
7a3af038033ae93a70a9a28b685edef20e2e1f62,65,363,81,344,1,3,147,0.224
c63eaf431d3c80e8f0100cb4275d4ea6f471bdcf,47,72,410,92,0,0,7,0.232
755cdfa437632fa5d53ae0d0ab2d03cd7dfdab8c,518,101,196,101,7,113,1362,0.235
bc2b0136a2e7112ef9ec9ee8cbfa4ad4095e27f2,38,260,137,255,0,0,21,0.237
b266d5eb5421abc42669923aaabbf83a5de0b5e9,107,109,147,101,1,4,1384,0.245
a66ad98f7b05354fc11a408e0c3cfd83639ac5a4,169,251,189,203,1,0,421,0.256
6b1617f5ae78c7010dec0cce8b02d87e98a95596,109,173,322,103,18,518,913,0.277
3b6b71f51dec556627ab8c643c4aec0bffa6eaa2,-1,-1,-1,-1,-1,-1,-1,0.282
a7ac7a72c9d9544612181bdd719dd16fb36807a0,172,794,220,874,2,0,14,0.284
e9151390aebb545130461440fc3239fb2cc38c9d,48,108,10,75,0,0,106,0.323
6f72c79e48772f88cecbb77a1c73eae1199daa46,129,66,254,65,1,14,17,0.387
e8a0166a22881fc90234f649c5c0183501467210,64,39,23,36,0,0,106,0.405
d0dd7687995f0bed8012997bc266c2f95712b88e,131,49,136,48,0,0,106,0.434
f19d544a5abd75fa1aed59b1ca0495d329c5d7f3,-1,-1,-1,-1,-1,-1,-1,0.444
5d34588123507fad635614a2e8ebf56c3183affa,166,113,212,66,1,23,629,0.452
0ac797de757cb4bb9b10c0d45ec8a02899382703,130,350,156,333,0,0,10,0.485
55dce7d76ff7f3751ee90f4ad44ffb6703fe7b93,-1,-1,-1,-1,-1,-1,-1,0.534
d249b817d3be0dcfef3b3ecd8bc6cccfc483bc76,493,90,15,74,2,100,680,0.552
29b1e49b0cb81d559c145b23dfb21685b7681af9,54,91,186,87,0,0,19,0.612
3d8aebe3e25e0325f45a4b37cada0965190d26c0,74,126,125,117,1,0,12,0.653
f83a70e5998c6994909dd7a64f33b111a231a46a,107,126,39,125,2,80,35,0.655
e788905204df45ca4faa70ebf611b8f520a70230,33,16,6,12,1,2,3,0.691
22dc0df858e404612c90eea2e302036ce6430cde,-1,-1,-1,-1,-1,-1,-1,0.891
77d633365ceea8bbcee08e45ccf7c10d06899e7e,-1,6,0,17,0,0,24,0.934
