id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8f97bf228b8c85c9d3e10fcec47c54eda133de1c,2753,284,9306,290,2,104,2003,0.010
e7e36f497b81da624cb79695d4c01347aca96b8e,359,95,395,107,3,64,541,0.017
6c8b63d1e001e8345d693fc208d0c2687dbdf079,272,30,120,15,1,11,1737,0.033
b93fc71252404accb2b16e29a4c15c443022cd4a,210,127,208,122,0,0,66,0.039
96f5b0e77673ddf714b2e9e22e93ab867679b948,-1,-1,-1,-1,-1,-1,-1,0.042
c5af281f7889feffd8f6290fc5fce61ec413cf47,151,204,81,85,3,462,1381,0.048
c91f5822904cad3315caaa69771fb68679f8093a,298,153,126,150,2,5,85,0.074
50f7b047217cd9a3987f70f365717599d4b170ba,159,89,78,87,4,10,45,0.085
f9bd54a984447126709a421ddf113cf5940af084,1368,233,70,177,1,48,897,0.099
f64a6871d37a02eabdae04c8f1a06315717da3d3,141,78,18,74,5,5,29,0.100
b3509be534718a95f33133f624b4711f105ecb42,109,87,146,48,0,0,66,0.112
2085bdab0b6cf527855842cde70a9327d3b10691,210,313,255,280,1,10,26,0.112
2c8178b539b0bc75130a6e0177b2fb911206434f,101,190,28,182,1,3,117,0.131
12b9b2d5d8b20b881773fadee1f8cb47e897ff19,-1,-1,-1,-1,-1,-1,-1,0.151
63a6d35b9b4ba30f20ed7e4cad561239f205fb45,88,104,780,96,1,53,1014,0.154
856806a7c8d7973783e003e7334374e0e61654b7,99,101,142,101,2,2,32,0.155
c47d76e22c6260df162b3ed5e5c3776237ba5f80,367,264,284,240,8,91,846,0.158
066ec57097285e4167cf3c506c06e3a93ad36002,111,47,21,56,2,77,62,0.158
51ba784f49e3fc76865575d04ee906cb7857bb51,232,155,165,152,0,0,397,0.162
12eb28c43cb5d0e037a7aad4ed7bb8509b8dd663,132,71,426,69,1,1,14,0.164
d36ffacab74dfb993fa75edf1eca2684d4c2d298,470,189,274,183,3,36,1908,0.164
70dd86f7792cdf18e06186c1986895c83b57ea15,227,117,126,106,1,0,242,0.186
8bece6da8755fa94959404663343f9c63d2569b3,446,52,258,50,0,0,43,0.188
851158043abd2d09dc25baede5a597ae16c9e6e5,144,495,173,317,7,25,157,0.189
6192a96e2b881b8274d159d548b7e94ca923a5e2,55,58,260,57,8,0,4,0.194
a0f2b3f9349906d1c8453b5149980b6b260be857,171,56,104,35,0,0,5,0.195
766ec1a7509ce806ed1688bd5f9000c279084fea,-1,-1,-1,-1,-1,-1,-1,0.201
2c9bf28db42349ae35eced13f73d507e78304c10,375,244,580,233,0,0,6,0.202
f15f9279ccf5402d468fb2f98f032d1d06c558f7,148,964,239,829,2,0,2,0.204
49a3161613e1b14d8a69859bb5dfa735aaa6df4e,153,135,204,89,4,23,17,0.215
e35a3cc2778c18ee9a22edb446d97959b4c9e45f,49,54,95,51,1,0,5,0.216
610995020e2358844c8e91e5833e06dfc94960c7,112,133,11078,130,0,0,0,0.218
907f8ff103232a822a29a5301bcedd4373977c6f,-1,-1,-1,-1,-1,-1,-1,0.220
0e6b628aca0f49e9f082b1ea284ead6e6d4666af,79,151,52,139,0,0,55,0.222
fbc04075e155ef32ddfc0649d7322a327d291078,365,174,319,165,2,11,530,0.223
a0af2f536e3669ff6ebedc53aae4286e80f1acd7,676,24,147,24,1,9,899,0.225
1adea249b46575a67c36205817a810f00cfb3ee5,78,166,158,159,1,0,3,0.238
feb1aad573cc6913486e2131c963e56855d83c43,306,162,233,165,2,13,275,0.239
5022e3bc0b9ce7cd750a9bfb41d963c83440c5d5,145,51,147,46,0,0,45,0.249
12e0f8b7f3e092f0f6a72ad1748deea4baf0397f,228,78,272,75,1,2,6,0.250
116e27f5bbb39e8864b2d023f91ed65a37aea07f,153,32,36,23,1,0,0,0.255
62b48bb107a26f986f2e265c008a24f8b767aa42,43,15,8,4,0,0,3,0.255
0f4b3cd720c5cd690b39bb4613344fc227f33f86,79,8,43,5,7,24,143,0.263
eaa3d85997905c897306c9193f7ad679f461a5a3,169,53,130,49,1,0,5,0.265
fbc8da1eff9ae77fd8d1f14878613ca10334efb3,449,311,189,289,2,9,62,0.265
5cfbe86bfc9b7bea5af048fc7c7df4a257edd4dd,7015,1000,2816,779,1,39,1140,0.269
