id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0c0b0cf7b2e26c3b6fb3acc859495005d8f37f5e,42,146,70,150,6,6,628,0.003
f763de61fc67ac9a69f6c9d46f7fcd3712eb07aa,3217,29,4752,26,3,53,335,0.004
4b54450d726aa2e1c546d913699bbf5e80fe08a0,280,30,490,29,1,0,335,0.004
fb8b1014f2a3111fbf3e9590a4003a8311fa4742,9997,87,3442,85,3,25,3475,0.004
5525d8c261fed1efe30f410162eeedb0a8215b87,2556,116,774,258,0,0,802,0.004
40f9bcd16cbc90e522755b29d0023a5b45839a54,120,34,13,17,18,1207,229,0.007
051e9d082834c50ec7f27163eb5ee5c52cb71424,-1,-1,-1,-1,-1,-1,-1,0.007
315b43ca4d3545806dc3d7f5fa61503c57ca39dc,230,26,127,20,0,0,0,0.008
31b3c5971606b9f0fac9852fa355f5eebf08e345,274,40,83,38,0,0,789,0.011
5bf3bc96d6ffe68986fe9d178c272b491b64b176,502,25,672,25,16,710,204,0.012
2affa1d76aad374464d697099686a02da851b841,1332,80,264,97,1,3,12,0.012
37f7bffff7e32e931a673087a32857fa53e09031,498,32,33,9,4,17,378,0.014
108531051b4651f8dd6ca42bef5c2204d8e1f397,1342,57,1227,54,66,3598,3006,0.015
04b48deb41b99501951d1417fa3c295be4755fe4,598,175,33,183,1,15,3254,0.017
cf70d4e888c4ae3cf37a80a52b7e967620b81d9c,-1,-1,-1,-1,-1,-1,-1,0.018
722eb72ca7d765cc93ea9652e1647261cbe14c51,407,12,164,12,15,1130,376,0.018
e9575dca938aac5df10bb437fad8a01c96775a6b,100,48,180,47,0,0,82,0.018
2e3fce2a91a45dd9ba1273d5af8030fca4c1a363,561,175,122,160,1,77,296,0.020
cd70c6eae66a166ed5856f9dd2312b5998b274c3,172,23,546,26,2,15,842,0.021
a8bd9b7480f58cb1991465b9f33150fd09248a76,560,36,211,34,5,237,245,0.021
