id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
67e4f739638e2a795e69682ce4708c6c9d519f71,47,36,77,30,3,194,962,0.012
090dab2f5e6c0d06f540b48b5335444f6ef7bef4,-1,-1,-1,-1,-1,-1,-1,0.019
4f078c65310fdbb3b8e44395c261660017873d44,111,236,116,226,2,0,5859,0.023
7af4096c6a0d9657397e145866306333069a8475,-1,-1,-1,-1,-1,-1,-1,0.026
94114e8bf62022963113b6b2b001fc104cdcc4a8,-1,-1,-1,-1,-1,-1,-1,0.042
10b312bbd1e07bfc783a6b8c156bd38da7b01039,-1,-1,-1,-1,-1,-1,-1,0.094
4a621eb8cf7819a6b3c7ca53b3af962ec4253a91,436,215,531,214,1,12,35,0.137
c26cf16dca1320d5b2cf4eb9614e5535628b35e1,23,87,33,75,1,36,562,0.259
dd74a2f5728a5b080738f087e6500b2ee7febebb,-1,-1,-1,-1,-1,-1,-1,0.298
dc4ebc4d5fc2edbfeb4d469a6a38fb8a1ab3e7fb,66,695,128,652,3,426,7156,0.305
c5d69d99955b2d16727b9462325ccb5b0996f340,-1,-1,-1,-1,-1,-1,-1,0.360
301631721b69c46b2829f0812ea662e4a9def454,36,29,2,11,2,3,60,0.366
7dbc106da6c62837a98ca362a8bce30f6da8acc8,405,225,150,221,5,294,329,0.369
b8177e24813433f48d96ae3c91cfc85085cd572a,48,72,33,66,5,10,63,0.475
e424389fbc7d28f2bf64edf04e482c3895cc6c2a,-1,-1,-1,-1,-1,-1,-1,0.480
c7f3c5c222c4c8dc27831bcde2c031cf6dea0609,1,212,66,194,1,30,1513,0.494
ce48099fac1deec05d186fe1a7193753934a4d1f,39,161,20,147,0,0,4635,0.495
7746af8249e7901c1064f57e5ceeaabf600efed6,-1,-1,-1,-1,-1,-1,-1,0.513
20338695dd4fef920d60121fdb34d3f30d67591f,472,265,25,273,0,0,12,0.604
c6af94025cde68d7f19ffe8f08f929d30e37d0de,-1,-1,-1,-1,-1,-1,-1,0.682
