id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
71948d3e44cfb30254bb79122da3c0f4db6fd258,859,965,906,998,4,314,2093,0.008
f45c59887e53136480cf2711b1ff3726523d24a5,1755,157,232,303,0,0,1046,0.025
41adc1a5b271bfa0b5317ec547e8279db8da99e8,404,11,70,11,9,495,258,0.079
0e887fdf1eb7cc4ce16d911b105f61ec35ea28bf,303,40,184,43,0,0,59,0.095
dd5ac28ebf739cd7f2b664caa3ed2b2ff2a6861b,214,16,62,17,23,1381,304,0.157
7d947feeb9481ce2a61381026866a9c712bfcd9b,814,91,261,86,1,0,509,0.171
18a19ad4b75cfbb596f0625a7071ce90eb2ec0d5,164,77,126,74,2,0,0,0.173
b4a6ed957d5423735cb80c332b0f8419205a1d28,-1,-1,-1,-1,-1,-1,-1,0.177
a6c0c989cedd1713ce96aed639f8a6b17471ce6b,266,50,208,47,1,4,89,0.191
fc7810f6a0d8eeb42a4e13aab66b6d9b84a1c07d,196,29,232,28,0,0,70,0.194
dd6d4d4a83c2986771d7ec794dcf80f8132a2744,66,50,94,49,1,1,38,0.197
e6c1cf1721f173481922080754c06ed66d4a6aba,1478,391,216,351,0,0,75,0.217
195fc269a10e2a3ba3aab3a328f078b2361bae55,219,216,135,210,1,5,14,0.219
5f2761dc68c53c972e9fa4db4fa46b703e329080,-1,150,203,141,1,1,48,0.220
216e9e5c2280a8436f62181eb3f4438ed66f33f7,59,67,68,45,0,0,2,0.222
0b6f3c1d06662b20d79476d0cb9f04ba801bfc06,949,843,485,526,2,69,986,0.222
b8b99a0b5cc204d5b8736ceded190fec5812503c,176,44,100,39,0,0,5,0.227
4061798453d0f577916968d56dd545cf8624dcb8,177,51,38,45,0,0,24,0.234
b2baca5c3741a531b496ee17dabf6d0a716aab79,173,85,531,78,0,0,30,0.234
bfdc8d79e680ba9eefe7d42e25cecbe4975bc894,139,76,228,64,1,2,10,0.235
d4b878ad095bf44837091c60ef13c075f3f78c61,241,232,273,247,1,0,0,0.236
