id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
02d45370af1f6c379b5eb74eb8472e9fe716c6d4,-1,-1,-1,-1,-1,-1,-1,0.001
b8e8d85679bc7d85adaf38d3b9021bd72d775902,1186,343,799,76,67,1236,1092,0.006
b35bcbfa6dad0b47a43c5f37d397f6ba9d0a0702,101,39,31,38,2,27,184,0.011
fa47d32219270fe8e515ffa722b59048c7aa3c9c,5333,1000,1293,914,2,1,17789,0.012
f23621396b5320e453e79ac9bbcbb8f16d609494,-1,-1,-1,-1,-1,-1,-1,0.016
3e3bd760975031de746e037ab2dc304137da56f9,425,14,54,20,1,1,427,0.018
c609b2484e325588ca6d07369e57571a6f4e8ad1,174,275,113,260,11,262,328,0.018
663b72ff2acc5a0edb430d68eee26db3ec70e805,260,102,173,112,1,5,232,0.019
926e63e0dac81ae5529d8ee99d4187abab87cec5,-1,-1,-1,-1,-1,-1,-1,0.023
7d0bb8a0e32c274cc65e6b6b68339cf981908606,184,85,421,79,1,2,487,0.024
5841f8288a92dc45bfee84b3fabb8701f8d9077e,80,30,2,1,30,1143,156,0.024
74db13e14f101bb98554a487ca23ed740dd1216d,180,44,35,43,16,887,263,0.032
05cce07bb49d48e624138c1b8ab7a5687e8413d2,320,54,302,54,1,1,216,0.035
0151659370174f5afa523fa1593c92234e179d40,-1,835,257,207,5,382,2945,0.038
5127d42850ef514a0b5ad7dcea399f57d1ca3f81,139,255,47,100,3,46,2896,0.042
8fd9dd9933b74fc47bcaf2c77bc66683c850efee,-1,-1,-1,-1,-1,-1,-1,0.044
6830388bdf7ebad571850e1840ef7269a2333775,-1,-1,-1,-1,-1,-1,-1,0.046
cd765b4fcc2cb218b1b1a798ab3d56230ea32c26,407,429,165,396,7,93,757,0.050
708f74904173cb0bd6d623e7c60aed538e639b8b,143,18,17,19,1,0,12,0.052
e62204f92babde447cd737cf7db34684adcd4108,1965,1000,664,196,1,7,3257,0.058
9efd4b67de8dc05c57df47b83f54e7f3198d3a06,283,60,27,21,0,0,172,0.064
9879e623b29cf370d94aff5c452d6f34ce4457a1,308,723,513,689,27,205,9782,0.071
0fecdcf45f500df59aaafef9ab4cc0f46613e90b,-1,-1,-1,-1,-1,-1,-1,0.072
5ff109244d857dbde0b57d06ad3eff464da1a097,315,169,1416,164,1,40,335,0.137
cce52a15490a2849b2ae82b71b05d9ecb18ceb1d,264,445,298,424,8,451,740,0.143
873cdcf21350f80dacece19c01e57cdc4ac8b1d2,134,40,92,41,0,0,106,0.144
d74ea6cfc48276253d5ae62c3064bb5284711d06,-1,-1,-1,-1,-1,-1,-1,0.173
f72886bf835147eeee957f982aa5b60b8bf4b74f,-1,-1,-1,-1,-1,-1,-1,0.196
95f7b87c93e273caff13bab21f567ffecbcaa160,-1,32,51,29,2,20,28,0.217
ad74e6d6013b6cfaa490fdadbb39e543e6605694,434,596,282,68,2,11,965,0.217
2a6ddf507252cf134d1e712db989f64549f34176,570,20,314,8,3,81,622,0.221
3ce2c74a6ce1c12af462d1ca0b26c41cffba9691,-1,-1,-1,-1,-1,-1,-1,0.223
b429f6c60c00e841d9bdcf1dd63c6af0f84ee486,157,125,193,119,1,0,54,0.253
3239acb64f748878bc8278ac214bb8bc7e5e1eaf,2,11,0,5,0,0,7,0.350
df10ecc3898c32a7db1f598106f73539c2c51136,-1,-1,-1,-1,-1,-1,-1,0.372
e730286cf9d0080b338b44a3d5c24d8cfd975076,910,201,150,319,1,5,5766,0.401
972df84e9d26178f27136096d164349e52809613,59,68,36,37,1,7,243,0.520
0ad166cc6387b41b9243402acb677c1cb283cfa2,79,37,137,39,9,94,161,0.566
