id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c8ca2619ed9f4f3ff9013cb86618bd85f608af30,9998,77,3828,22,5,191,2507,0.001
6c494f6f9562307a30e8f42718a6a0118e59b8b4,206,17,24,20,5,60,1464,0.001
9d99176513ccef9a5db858ed410369f99d5e1262,69,41,92,33,0,0,2,0.003
41c958bbdd9c4a6f0c5111e2ca75ce1c60ab3acb,357,18,116,42,18,340,1984,0.003
cceaafa882b7067b67e99eee7f9b64e2dedeb9aa,384,38,74,24,0,0,345,0.004
e953fbd60910063e71bdd67b9c15252d5f60a9f3,3192,87,5270,141,4,26,2520,0.005
4a10d7ea088014ebf90e09ae79f6904b43c15f0e,134,30,104,32,0,0,271,0.005
c95f519a126c7a8352196f5c68d989b63a551b5a,383,75,146,84,0,0,16,0.006
b24809f85a1d8596e60afb7e9e5afdd5ea42d6d6,381,25,339,26,1,0,297,0.006
90843fb424f7ef048a45c0904d6934af93f4db0f,-1,-1,-1,-1,-1,-1,-1,0.006
8f2e78beda5ff8c6ccbbad690b7d78cd3a27f4f4,479,63,137,74,20,1559,920,0.007
c81d33839247d7e81947c1878bfc9f3b3f153bd5,511,51,85,56,13,180,644,0.007
761fc786898a6ac71371529000a6a900277a2c11,-1,-1,-1,-1,-1,-1,-1,0.007
b9671b8f103a4ed54aee919c28955b303a38a6d9,-1,-1,-1,-1,-1,-1,-1,0.007
946056487557cfc944df37304101fad4427976e6,111,20,45,19,6,247,201,0.007
0b0c1a557874f7d30e6e3bb8cae8c1acecdf2df3,296,55,333,55,7,560,1069,0.008
a32fab67cf68c7b49f9791661089a22c88419c21,373,182,276,164,0,0,407,0.008
6c053bacdff2a798db3e1e5f93177c045ca23cef,-1,-1,-1,-1,-1,-1,-1,0.008
fda13ae3d5b1476ca5a78964d07561c1b1114aac,200,11,80,6,0,0,311,0.008
12e12ba3004f495d4d62b2ffe397f333de2b62e1,162,7,184,6,0,0,114,0.008
8b77f283e2cfb3ea0da3d9d1145aa49542e1409d,-1,-1,-1,-1,-1,-1,-1,0.008
3d211ae9c60f94a5246089a0a94b57700ee98131,2411,17,58,361,9,409,3671,0.008
c358ce0fc1d1c42c0002afb6d22fbd1e103b47a7,162,30,37,30,3,42,133,0.008
3a55e36bd7ae59c1a188de660f60c73202b17ed1,444,103,162,103,1,13,356,0.008
86303e67e2b739368b44364a792023f98cae3616,960,33,339,82,0,0,201,0.009
becc8d616df1e4bc29762b1bbe8898fe78a60ebf,272,14,52,18,4,111,47,0.009
254269c1a36aecd9c740329936c863f0da7ce5e3,-1,-1,-1,-1,-1,-1,-1,0.009
8f1ee292a35634ee3d12e29ea49841891a9155ef,-1,-1,-1,-1,-1,-1,-1,0.009
eb5f908d961effcd62a7007f7505e31daf809b72,259,1,11,5,2,34,43,0.009
f8ae95c93e68201c266bc0e929a05e0dac77b578,89,5,253,5,2,2,295,0.009
82f761f92756f79d240d5ca42bc9a3f165fa780b,-1,-1,-1,-1,-1,-1,-1,0.010
c900640085b34797b2670e64d921d2e9cbbb64f9,-1,-1,-1,-1,-1,-1,-1,0.010
343f9449ffb45e6b279285302a906332ae0a9c75,337,235,144,115,1,14,322,0.010
85f68742f69a4edeb78bb45ef6b98933d8ccda21,361,2,25,13,1,0,40,0.010
4276687eee2766ea60c31dd1dd3d12ff0d69971d,755,97,564,86,0,0,72,0.010
8d1ad95eacbf2207bf2acef78c6898887f8066d6,435,68,746,78,0,0,1704,0.010
2e94da62c4fe3c90bffea4f868547982f777b520,387,91,353,82,0,0,893,0.010
32c217ffc4ae6334c3219fe5857c8a610e4c5d20,-1,-1,-1,-1,-1,-1,-1,0.010
75d90ab05745821b98cfb80e2d1855f7f284d5b0,403,27,449,28,8,119,884,0.011
61544799fff365bbbc21462c3a7d7abcbfc621a9,2177,29,317,34,0,0,130,0.012
0b568966ddc54005d29efccbdd18679543f7e38c,327,18,108,16,2,26,283,0.012
fef458ac46639b6979711f3714f439db108a1422,199,46,20,46,0,0,105,0.012
6c87561f3fdca4ddef525cfa8021302c7a0aa38e,390,63,46,67,1,8,233,0.012
ef493499e8052be92a56bbe65cde56c2401b04ac,5940,548,119,518,1,8,2843,0.012
7cf8ae846627be510f09356de167bf17ff51624c,558,25,51,43,4,180,629,0.013
18bf0c2ba16711958056a2614f5b4b723e3ee53f,271,132,614,125,0,0,49,0.013
2892ab0d17be68e68ad0d80f0924076bc8353536,534,23,327,21,0,0,1796,0.014
ccc78292e8d9a043b5e60d0660c617e3e7b05798,341,14,22,23,0,0,125,0.014
d6de0c32ecca8208372656cba1e6b43e4018967f,-1,-1,-1,-1,-1,-1,-1,0.014
343a02d1675182b7341e7fd3d253497dd8029ac8,-1,-1,-1,-1,-1,-1,-1,0.014
02cfea8d4e3edf1f8e76f466e108c3896c80f720,-1,-1,-1,-1,-1,-1,-1,0.014
30f9c87e66127c95a70ff3cf79c815aa8f13a341,-1,-1,-1,-1,-1,-1,-1,0.014
410afaa37c06da2e01f75b5ebebb504d213f625d,255,146,378,132,5,128,1622,0.015
2cd77772d897324e074a9e30c05226d37681615a,-1,-1,-1,-1,-1,-1,-1,0.015
403418a4477b7f3cb26c4c5c3201bf4abb082051,-1,-1,-1,-1,-1,-1,-1,0.015
e6195139f7b76666054f6b5feb3d7c0f5a0fa974,603,39,325,49,2,0,639,0.015
ccc86fd2058ef6f13dc4a2d9f63cd9a9e7bef9a8,356,69,206,67,2,37,55,0.015
4eb1b3cb15c7ff7a1e9e40b6b04494bbe6938316,232,0,80,0,1,28,1165,0.016
edc5f78df8b9020cfb981ceaab510f5f2825e1d0,329,229,1705,210,0,0,984,0.016
89b374d34f7d6deab058d37bcd879d5e6344c678,724,25,206,25,0,0,42,0.016
6b56319dacb1094d8231f0c8fcf82791752c9b51,300,210,545,233,0,0,2233,0.016
ba1b65f547fffdb5185b1116317b8086a94b25ed,1522,59,124,71,6,320,10172,0.016
fd67770378f38dc9eff6bcb817db99284db7804f,1303,74,1332,126,0,0,260,0.017
7ec9c0ac5ea28393523cb769940668fbfec1cc2a,70,15,47,14,1,0,45,0.017
526043387ca4d67aa6e164f78519cbab84dcd456,-1,-1,-1,-1,-1,-1,-1,0.017
005fededba30934e63058acbcc0fb406c55e9d80,-1,-1,-1,-1,-1,-1,-1,0.018
c7bd9a44201e4a4f4ac84dbacfaffe7bc43f80b4,-1,-1,-1,-1,-1,-1,-1,0.018
a0d9c7e3e9907a61cc93c1d431105184d7bf3e9c,502,74,133,98,13,234,881,0.019
237253c787d8cc32a4419f65b29b034d3728ee97,420,182,115,48,5,74,1053,0.019
135f92da3fff32ee2b3fa16d5cc9367dabdf17d0,244,297,46,94,8,257,786,0.019
0591331febf8c2cf4d925ba4dffc26901271b9b4,380,55,124,51,39,719,4660,0.019
c0eb9ad97d421aaa0b86f56736e755f61b09559f,154,18,200,16,2,23,92,0.021
9f87f89d26a862d11bd9f8798959c14adce8e7ba,549,210,267,211,14,203,449,0.021
e61208420c7f884d6c8c3d24335dd3d0a00aa9bb,-1,-1,-1,-1,-1,-1,-1,0.022
315141de8bbc5f6295cfe59eba271cd1c3628c18,126,60,125,11,0,0,1338,0.022
