id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
98cf1ef3f98ba0f1726745455db42513d6a49755,199,140,386,142,0,0,1067,0.002
cea8afe22061c7b2a9d27ceab0a7678db5e2704f,-1,-1,-1,-1,-1,-1,-1,0.020
5369fe99923127ed3924569305be0d3d07f88462,-1,-1,-1,-1,-1,-1,-1,0.024
c5a5776eefea766fbf481c7404ba6717f45adee9,221,54,100,54,0,0,40,0.024
397d755c096b520cde3a4d572af28a530bd3726b,-1,-1,-1,-1,-1,-1,-1,0.024
540e4a0b9908f98a5c69cd5ad085f84738fdcb5a,-1,-1,-1,-1,-1,-1,-1,0.024
eda6159613411eb51fee37b9586f977777145dad,118,94,188,38,8,123,1091,0.026
5de959670ceab05f5408cbbb3a5c602eb701f201,-1,-1,-1,-1,-1,-1,-1,0.027
6716dce773e81d641ab5f94c8486354103538f1a,93,73,178,72,1,16,28,0.027
202f44c06d0833ac2cf07f712230dc94d44c0f46,312,138,286,65,3,31,849,0.028
9d8e20b69edbdd33778920120174f9b7481e7d81,-1,-1,-1,-1,-1,-1,-1,0.029
a5ced3c5e5608cad68635ec041c6ac45120a2e7c,55,45,46,48,5,56,908,0.034
ed28629d6b46660dfd85c2f04dc47d4c5494ae21,476,7,6,0,3,10,366,0.036
75f32f69ce7b04d931dd4b09dfe7b2f6c1f70b99,79,10,77,10,0,0,11,0.043
d6d28c09a1b6789722482d05cf1ae909914ec190,58,28,225,24,3,2,1,0.045
50332e45b2cda0ee7a2f0972d8ad612fa14b69e2,279,271,520,116,0,0,344,0.047
654170e0709f8136a67334ba10bbace7544a05f7,76,65,39,40,1,9,10,0.049
86dea006a90ea2085d55e1b85ea19c2e3d3a9db1,513,8,340,9,0,0,40,0.050
e82f453f4c7fc72a5d0b0e8f31ef85feab15b6a2,162,87,411,85,1,0,74,0.061
4821ea0cf5294bfb62e60a021f15d66d21e52efa,120,211,86,200,0,0,1814,0.075
9e7bfbd6d0d09e55d9fae8bbd191582633877c3d,138,98,175,95,0,0,912,0.077
ed3add969045cf413a8f69f4b7bdc328124834e1,-1,-1,-1,-1,-1,-1,-1,0.078
75ec2cac19152c810d5e4dd70651151f1695f8f0,695,238,339,212,2,0,29,0.083
a2a87802ed1f4341671be90aa69f47556ea3a854,-1,-1,-1,-1,-1,-1,-1,0.085
014107ee211a7777070ba43d27ba478c3d55f707,814,165,660,162,0,0,784,0.089
0ee5fc9f95965e92441c11f3ee680af3aedb6ccb,314,18,45,21,0,0,99,0.092
d2baee2c6ac8409104995c1218f5637943f8a9f5,-1,-1,-1,-1,-1,-1,-1,0.101
c4237c09ad91646ab698cce4bc4fdea8ada0244b,-1,-1,-1,-1,-1,-1,-1,0.102
933893dcd0b92ac3fa8d3a5bac4c65ca23c80f40,-1,-1,-1,-1,-1,-1,-1,0.104
1a6091e66be2eb00deb828c225cd6419fa3bf745,-1,-1,-1,-1,-1,-1,-1,0.108
5c2b1a601ce822ea4dbc52feb426fed7eb7d4cbd,394,126,283,122,2,36,48,0.113
46fdac8ca0138b72be1dbbe2bf4d13eba20189f9,171,151,174,147,1,34,421,0.127
0596ca7ac5cbd8d2222178454c8c5d44044c947a,249,104,445,104,0,0,67,0.131
9979b26c8e2e66627bef472be52528d8572a4ba0,161,121,130,118,1,16,116,0.133
7ea05786c4c7fb3d3224b03521b0fb663c682994,179,85,363,78,10,383,942,0.136
570c36ace29b5dc9d0959eacf1084ce0dcefe03e,-1,-1,-1,-1,-1,-1,-1,0.136
bcdfbcd40e31e5249d68a78ee086373e93db163c,309,269,1203,239,2,4,603,0.147
6f2908edd8c053a12cf4d75ac1e9f29ab3663b5e,-1,-1,-1,-1,-1,-1,-1,0.154
028caf7c5aa40d7654176453fb734e5d2f48c815,217,131,481,137,0,0,1074,0.156
622d774f398da478dd54ca15ac2d4884b769270b,204,331,348,280,4,33,1055,0.160
13491a06f989be3090ec1200f2b6946c3368da18,374,107,121,101,1,0,298,0.164
4e7400b46139fb70dcd004a2422dc1e93d346e9b,43,13,50,13,2,0,590,0.171
ce3dd1520af54a19354838b18313d4462361e1a0,58,35,1904,32,0,0,3,0.171
43e37fa1f39b113655ff9685e58a913a3bef6c15,97,230,175,226,0,0,75,0.172
42d44a1f6d9db5d280692c74feefe7881cf93a4c,212,78,171,132,0,0,2,0.191
