id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
129bc8b1a99b15cc0e12aeff76f9c68e7c9398da,8700,6,19525,45,1,0,603,0.005
37f7203d980525e3930ebd7c06207a3b37470cae,453,1000,350,1478,64,6476,29223,0.020
05c91245e5ce216802416c627a19fa9f6bb11155,91,146,75,94,3,109,3052,0.023
0b27e0e899e3b9adfac0769e91b68337870cfd0f,-1,1160,50,1111,0,0,4812,0.025
04f6c0377b4703cb5537440199b97f488a322cd5,-1,-1,-1,-1,-1,-1,-1,0.025
fd7800a7985f5efd5227a8cc02a360bfac8d5148,4886,290,64,840,24,918,1370,0.027
68e7df70d9555c7ba32a9dedd303e201888294c2,264,48,119,24,0,0,573,0.027
16f3171ba2e2a74304604b1a5769de39ec478d4c,-1,-1,-1,-1,-1,-1,-1,0.033
ded248a3f5370f693138758eca55701a938acc1c,-1,-1,-1,-1,-1,-1,-1,0.035
29aba2c92ebf00c4ffde229b7792e349e702e29c,-1,-1,-1,-1,-1,-1,-1,0.040
6a1bb840576c07c61dc4ff585f910f727c342dc3,396,6,166,7,11,198,331,0.045
c61f91ef53f812690cf059b2733394bb55298b2c,223,318,139,184,5,18,463,0.048
ab2d910e05217108d7d99f9accad5ee358b68cf3,455,166,218,174,0,0,553,0.053
d8a1284a218527cad653ba88aaae44957c842df0,136,14,43,20,0,0,121,0.063
4c418e438953f14b1ce6d8a8fc47341f37b16307,411,102,149,49,7,72,3632,0.074
b7c833dd35b4bb2de94010d860a5ea8644a1c56a,262,58,337,58,2,7,64,0.102
c15626c3d5b3599bce22a2b4a44bfb14285d58e8,187,242,388,229,5,108,1500,0.108
daea91104afddb81cccb9a6c8923f3dd14aebaa6,170,98,213,26,0,0,248,0.128
07560d9bdc8e76b3be3d873ffa8224c831609654,-1,-1,-1,-1,-1,-1,-1,0.180
773d31ec1e4d873f34f889923ac7b7c9c77bbe11,-1,-1,-1,-1,-1,-1,-1,0.200
238118128a616496ee69a11c752f12f2741b901e,130,41,277,39,0,0,613,0.216
d73628329fc71f999e89b476bdf36bf085acd977,85,142,134,74,0,0,54,0.217
f0dd90f243e885a9b6a74a1dd7e510915c2fa032,266,64,85,62,0,0,7,0.228
baa143b215ef68498264c765a6cf6313333e6e38,115,80,50,77,0,0,11,0.239
665fd929fc25a71c959fa9d3911414bf2b215d49,627,199,61,211,3,56,1666,0.248
42637628d9b1261fe5391171c6f4823ed106000f,387,66,235,62,2,130,739,0.251
47cc1bf85651a03e873555c35becb72c30eb9a9f,239,65,286,65,1,1,63,0.256
033867412e2b92ac7db83f35545d66a8cd55990e,464,866,330,327,9,90,7537,0.287
18f02bd9ee2d5bf579dd70ac58d920f91acd9ff5,-1,-1,-1,-1,-1,-1,-1,0.324
4addf93c1505f712a1f8f91a9c7cefaa8bfbeda0,-1,-1,-1,-1,-1,-1,-1,0.332
8b521e7d0b245cb16c6f3402a69dcca3e6954a59,5621,20,3471,19,50,12559,8293,0.353
8e3afd296bdf859af30e2440908d9b540288b0af,-1,-1,-1,-1,-1,-1,-1,0.354
3bc5b85d7c2a545cd0789df28293327313498fd3,85,124,56,79,0,0,190,0.354
3314b4739ee702275d61795151073bdbcca83a46,-1,-1,-1,-1,-1,-1,-1,0.425
bb2e78723e1119f50df1cefd12f44364153006d0,76,23,27,15,0,0,37,0.467
5e12fb3b6ab2fee9f5d8b2ac19086c3d6f236600,440,95,98,107,0,0,991,0.467
237b8e3d5cb92d98c90a9af754693da25e93dd46,4404,8,270,56,0,0,0,0.525
b9c55c7683157d2ec8d5c0e23dd7e8ed0e924809,7157,52,1,249,0,0,768,0.561
9780951f579becd3204a5f4c82c985b973c601a5,47,160,8,104,1,0,607,0.622
feaea2f108a48d93b0f5f2f064ef2e9c5af7c743,4253,1,34,238,0,0,46,0.672
9e3f76e900ccccf3cc17d29876a58c19e7d28e74,8,110,1,94,0,0,2,0.768
df84c9c0a55e71c50976d240f65c6421017b3308,-1,-1,-1,-1,-1,-1,-1,0.772
b34fe3f8c7f52a5bb5b9978994e1f28c248d5953,94,85,5,48,0,0,253,0.791
d01f62a31d9d0e94106af8b12255bd5060405cc6,1,0,0,1,0,0,0,0.797
0cc6d91eabfbcb91ca997db4b180ece7565f51c9,255,95,52,60,0,0,7154,0.828
74f0cfe9e2655b806363fb148c999399ec60f46c,-1,-1,-1,-1,-1,-1,-1,0.925
fd0f719ca7010356f9db8b66a4f045c7af6788b9,165,2,32,8,0,0,24,0.964
