id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f75513e5b7e8fc572163d32af9a7e5759e710e83,7410,70,57,40,7,683,394,0.008
be7440f5e579cf2a1d2efb80d41d267ac5d49c03,-1,-1,-1,-1,-1,-1,-1,0.027
f42ac4969269e6ce00a0f93d923491bc7c81e1ff,172,248,166,141,0,0,796,0.039
ae7cd54af70e1a430d0156a047624dc00f798acc,103,80,107,56,2,56,91,0.040
546e3a2f4f93b3e8737fa55406c5e40065834c1c,660,83,1622,113,4,105,574,0.069
d5d02d055a7926ce1888915d6b2a8e4429d19f12,144,87,189,82,0,0,425,0.075
ef4ccc1b420513bd344daf25968a1183343ec45b,102,2,227,2,0,0,5,0.082
efa41f8af228bfc439a5be206f45b7b6963882b4,297,161,148,156,0,0,1731,0.083
8d1e502fb7863a802493bbcf94bd651819b26cd5,226,29,568,27,0,0,673,0.086
e71ce87839606344b9296b6727ab376bc05fe811,-1,-1,-1,-1,-1,-1,-1,0.088
000b7999222801d8d07da4ec890ef10c6b90376e,333,98,327,95,5,163,400,0.090
25c4b59df0c9a8f13d3393ff5403f18e452fbbb9,133,154,469,150,1,0,61,0.096
44abad73abb58b3d893c2b0483a8ea6fd068050b,166,158,456,150,2,44,876,0.108
c393a83cd665d335a9a2e0160d8e655501d2ae0a,108,46,223,33,3,25,279,0.112
5f701b69d0817bd83e19ea871da6a7e6b2285676,-1,-1,-1,-1,-1,-1,-1,0.113
068b7c933633e3e7cb8b5ea8f9c6a68d2634a729,32,44,534,41,0,0,130,0.118
9b1a78b5616bbd407edf3eddbb63baf6241a4674,80,177,68,123,1,0,13,0.119
bec584bccab8178b89cff723ae212b1b45742a59,351,741,10,319,5,13,207,0.127
384ee7eb72ba6f2a942ef8660052ba1a44d751a1,116,127,106,123,0,0,38,0.135
33bce2119c07666826851871904e265eacf78e0b,308,75,29,52,1,20,484,0.136
a8cfe59e0ba01035b8dd3ccbf409bcc76f4c3dec,77,35,30,12,0,0,30,0.136
55de3106949386644c8292629a34124d2579ec11,242,101,382,96,0,0,2,0.144
8ba17e6dd2de1f00ecd6e2e7e3920636b7f7bd02,-1,-1,-1,-1,-1,-1,-1,0.146
67adfe732c077e291fd23e3736ac151ca57937ab,5489,528,5,757,0,0,6350,0.157
ec675452d5322a0cec375b432ebe3bdd0dc9f713,8716,1000,1416,1091,11,1188,401,0.161
3a508b46527778a939f2ab290b542e2bdad1ae06,252,94,152,92,2,3,1647,0.163
250dfc3eddf7b8d4de5ff45ad704122ba643ff39,-1,-1,-1,-1,-1,-1,-1,0.172
b759cb05b86d0406fe33aa76738c515ff58ead8e,-1,-1,-1,-1,-1,-1,-1,0.173
668259c23830fdd4d40b315ddd4750d294b0b0e6,195,70,44,65,1,0,421,0.176
a060aea167cec1f86a1f602880b169fdbdf01174,-1,-1,-1,-1,-1,-1,-1,0.204
b9fc0a83fb28b1a3bac797a0c713beca6f04e3ea,84,111,106,101,0,0,19,0.210
3bdb0dac250490dcfce31e8fc985a69b1c4dece2,160,23,107,27,1,37,212,0.212
a9c10039da438431deb37922346463ee5bf65326,413,45,553,41,3,56,1633,0.213
5ab34b48ac7f0c770aff306694f33f86e7088ee9,27,7,2,7,0,0,2,0.214
e4dc283f7208ec75a1f028d94fe00dc5e68748a4,544,379,37,150,1,35,122,0.223
4b503a42e69c6949c573d7f35dff3264dfa4f22e,354,16,136,30,27,263,10736,0.224
359eba7b66cbdb7a66a107e440060c2d8070bb3a,1891,266,171,720,4,68,446,0.226
533c8d16196e1963b67a0693f77bd7fd02012699,350,205,1742,203,0,0,7541,0.228
18b8359b7653450a68a013c47a527fe30987761b,-1,-1,-1,-1,-1,-1,-1,0.241
d18d33227c89a61a8b327fbbde7e7124b102f0f0,171,54,350,52,3,72,43,0.242
30c2526635062ed18610a0b4c3d1e38fca6daf94,136,287,118,229,11,8,861,0.249
5d77b07d2b01106328a97e1307a10ee00582e162,96,104,119,98,16,0,279,0.255
febe0e22c9bb2c077e57d7de4da83e78b1d0850f,2104,8,221,15,0,0,1,0.261
677ab0bc5eea3154e3c53cc1d59ab0bb8f0ed28c,248,74,273,75,3,23,1970,0.261
cb885156a9fe42ac6a8f4dd86e035b37c88c4eb0,117,51,149,53,12,42,108,0.261
1fbb42d206ae8cec16c6adacb45cb053b54fb556,-1,-1,-1,-1,-1,-1,-1,0.263
5a2ecf48821bb3b8794fc6add3bd368ee2f070dc,-1,-1,-1,-1,-1,-1,-1,0.271
ab865aa04db1d430233c594676ecef0178f71865,-1,-1,-1,-1,-1,-1,-1,0.273
ef443299f9315e73b86b85103acd668e83e9a733,250,117,38,115,1,107,13,0.275
1637baa0d6f14a8044137b17bda64a55adcd0fbd,3722,1000,551,2379,0,0,122,0.293
1cfa2617666e7f55e7a51197e1f178d53be9192b,2127,103,1,178,0,0,6,0.297
ffa8781f321e8cf4681c221f3e067e247fc79936,367,90,158,86,1,0,491,0.298
ae8b56c732b7cc43dcd665afc0efc0dfe3cf9d73,79,117,18,109,0,0,108,0.345
e317f42be9fd1e16d9184ba8d7bb57306752b157,1856,102,154,220,0,0,962,0.350
a246303f7d4b82e5f774f5ae74dc651df353e5d3,335,104,60,43,0,0,325,0.365
38770ce6a8f6ceeed4d3fe00ab961f7b88ee00e2,-1,-1,-1,-1,-1,-1,-1,0.377
a139e066ee2e9b8eeae1506b82e1db5179b8f606,56,55,188,52,1,0,10,0.382
e7836cbe4e2804f901bd2440fdb2deaee43436ae,127,103,39,53,4,935,1112,0.386
ca593c167e42ff9569c78aec80c579fed40092bd,-1,32,112,31,0,0,53,0.400
c6a5fde3fdc33b6712ccfe17cba716f334335576,1240,231,7,322,1,63,1400,0.401
05715f58160ab2771ba0b2b02b42843e033c1e54,-1,-1,-1,-1,-1,-1,-1,0.442
000892913aee53077044adf8f694a199a74219d2,6620,90,0,90,0,0,7,0.470
2871769a16f5c242920dfbec81681a6b2a2d72eb,-1,-1,-1,-1,-1,-1,-1,0.552
9b88a5d49b39a201ca672919598d0b5d45e1daa5,21,8,8,8,0,0,9,0.579
9b3cc6921edb49d63916e49d608e5145c6114a06,162,117,81,78,0,0,67,0.593
e91ad74f2c2ee3a29d3e194cd934e7e8859d26c6,124,10,5,2,0,0,648,0.621
9fc3f92f28cc5a8df7f6c9ff6bbe0b5e0a6c3566,813,9,58,23,0,0,7,0.658
c812ab786cf9e9c726d7fcb1b8d5b877b7a38834,78,74,78,44,0,0,66,0.714
6b86d97bc64cee35b23cd14fd85b89c38a8dae81,-1,-1,-1,-1,-1,-1,-1,0.719
3ee3caf9687d4ee05897f7c61642f2c72687b435,161,71,69,64,1,0,62,0.736
0c45b3730d64ad759cb591c0e4b497c6044be4cf,105,132,29,132,0,0,29,0.744
