id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c71d6877f2367d1bd08d73e69376411b212fd63b,-1,-1,-1,-1,-1,-1,-1,0.011
665d752b3d576e9e0f2c2f6321680e1ec329bfae,1052,33,359,111,24,758,1621,0.013
1ddb1b6408772adc1442149264e5f44618ece271,1166,126,174,124,4,42,3361,0.017
c2cb0965807410eca6e18382d7807a45e47d1ca9,237,7,55,9,9,220,27,0.017
a335e6809f08024a76d0b4756c7dcb7f963a836b,296,46,204,46,1,0,0,0.058
b2a1c4f15bd7328968edbc53d988ee525cc30f12,939,1905,501,1859,3,30,1935,0.062
3f8e059cdb6964e7b42ed55b3223ad550b29c973,500,259,603,301,2,0,2234,0.064
cee885004803c9a4f683975596171f5056c92738,273,9,552,9,3,6,93,0.066
6dafbdf25edef3ea0235db76489c3cbf384578b7,486,33,613,34,0,0,20,0.071
7f22a647add6b377d910cf755b84330187161083,105,36,79,33,1,20,51,0.080
18cd31cd2a797d4b2c312f02b6bd9c67901b9cd2,214,68,115,67,1,13,19,0.082
a17aabea47acc628d0b3468fc2071e6ca3340e16,299,54,273,51,0,0,115,0.086
7989f773cb9c49f31c6bed54fa2f42ebe3106df2,233,158,132,146,0,0,52,0.086
2a736a951f25badc5a521b60ef73c9221bbfb82f,250,254,238,240,1,0,310,0.089
46af2acf9e8beee2ed8ea87d2ad4fe9e6fcda85f,142,118,187,83,2,0,5,0.089
79cb18854d59f0461c9cc3e630ff29e118520be0,162,307,386,296,0,0,9,0.095
a898e6606c0e5b67052c8884d1ed375df78d9c26,300,175,166,172,0,0,361,0.097
419ce76632676b74d27b74ad6af8221a62a22d23,272,116,145,112,1,0,3,0.097
52601be9542fda0bbc8d16fb54f0481bf10dacfb,276,203,66,200,1,2,262,0.098
940fc66fdee86cea60d63a26d7bcf7f161f7ef8b,168,232,148,109,1,7,671,0.098
11589a719f76b017672160a90eb63edcd0eb468e,-1,-1,-1,-1,-1,-1,-1,0.100
b5e68f26869b8f5d9cd4f15161cd2c1c278cb1b3,386,22,90,23,2,0,0,0.101
f453b4514c591f904239c02c27eeb0c620b2a9cc,218,58,158,58,1,0,7,0.101
f2019a1a28e715a449c8d1def208c2334daab259,440,72,153,69,1,0,23,0.104
acf365ab916ced312548929a21f0a6fcf347fdc4,-1,-1,-1,-1,-1,-1,-1,0.106
5de68fd348aaface8c35dcb946a96e30e644a12b,140,35,140,37,0,0,7,0.109
af86625fbcb71fbd8b69ac63a72dbed53b6315fb,208,31,124,31,0,0,2,0.111
f8bc0f454bc4e2cbe56c915d4ce8009bf9a93f13,-1,-1,-1,-1,-1,-1,-1,0.111
b3001518938801b08c4b5fb53ca665da6c5456b0,144,53,178,52,0,0,44,0.116
75a8c1ad48b42dfe64df778dbf592f86c417ed22,106,69,147,66,2,15,30,0.118
a4c2f1fd9b4cd51507e2c9275aaf6572fa675d9e,358,-2,146,12,7,38,8751,0.120
8ec8f36882ac6bfa07b6fdc3e27e3090696e6ad1,166,326,182,302,8,12,307,0.124
8ebc4c5e26f98e94ba2cfbe02d074a249565945a,233,170,110,163,5,102,368,0.126
0ddf2cf6b08f7bcde9d8ea5d3c3ab695e4c40ffb,313,165,1102,159,5,17,43,0.127
9dff347f400a07079fa3ce15b3b8d6c2fc844c1b,188,121,173,121,0,0,3,0.127
a2b89721c46945ca697a48c68a8f3132360bd462,426,119,206,121,0,0,770,0.130
9606f9a4f3a04a6896e9ec370ca2565e247830a4,100,27,84,25,0,0,0,0.131
b148a5a7ef4d7641d20cf5ad91b14656b99f07c7,100,287,725,308,1,9,95,0.134
043ac5887f56c077ac0ec119d71131d6758daf0f,220,151,476,145,1,1,391,0.135
cc45cdf50bfe951b1627baed672c98d2d5377bca,153,96,152,97,0,0,49,0.139
43d6fe04b6e8a5c5c89a73c1b894c3d5bc42aaf7,244,39,81,39,0,0,661,0.140
d0762a82a7ab36d27c6aac0984416b2aefe8b3a2,53,63,29,61,4,235,843,0.142
448d83519797ad78acd57a6cfdd6ab11707b2b74,86,32,106,28,0,0,136,0.143
1c18189196d3fbf655be42b2a7891e6b55983889,119,85,205,82,0,0,1995,0.146
48e4dcaae200fc0ba093f07313258a48af49f007,-1,-1,-1,-1,-1,-1,-1,0.155
777b0dc95a89b990cd9e5b2c47ca33b9799b10c1,235,203,324,134,1,0,56,0.156
17134ccddfc45996fec8637a1e90e683cc1a125d,152,23,33,24,1,0,1,0.156
a60006821bc6eb1c2e2a8c266580fa6f051b540e,191,146,315,144,0,0,585,0.159
20d95f1f6108e67b22d2a13197d1a5ea4222dc3e,216,39,124,39,0,0,67,0.160
717f17d751d4b134d1682d4e2f89dfc8f50b2f10,170,134,82,89,5,0,61,0.162
9dc13261b43204b7a497581d8eeedf8a01bc078f,117,48,97,47,2,0,6,0.164
b7e79cd7dc37c49f535a3b701e48f1bacd69e12c,132,93,215,46,6,14,6773,0.164
0379075d9f3d596f8eb4902be725d6d679560d57,175,-2,170,58,1,0,3,0.164
dd4cb0b55b78c663f91dfbc5702fd3c2a3edc288,106,82,227,80,0,0,35,0.165
df36ff18296e3ce5e8559f0f9945dcf1860988e9,445,262,425,250,0,0,1452,0.166
0309fecd46eb5d17d86e0936027b1df0a1fb6b4f,273,174,80,156,0,0,10,0.166
eb2769071dacfcd4950cca471b8803f3c4decb49,86,85,178,81,0,0,32,0.167
75aa24136215db10f8a959c690a61c5fff9a0163,149,42,58,35,1,0,2,0.173
270261ec12154b70ad6d5f9baabc09da67c49d60,152,57,189,56,0,0,35,0.173
3df0f6a865436bb0590e2e3120cc0ad92ada6a90,239,26,1074,26,1,0,1,0.180
cae4f0746a2550391b390d2fd64aa12fe06e9601,-1,-1,-1,-1,-1,-1,-1,0.183
60c96693406dd2b6fa653a0d4dac852f5a4fc862,158,37,90,37,0,0,1,0.183
a3df9f9508807931d5d2d44ac86d7c21b0d84407,202,166,419,150,1,4,57,0.183
c50f34c3b96a12bad72caee749c58e681b3b5ad6,268,27,77,25,1,3,12,0.185
846b83e466410b7981f186d4710980b33c30c9f8,229,101,30,100,0,0,142,0.185
6ad9aa055646daf3cb7390fdcea73501c8ed0ae4,141,46,14,20,1,0,1,0.190
